Year,GtonsCO2eq
1959,7.5
1960,5.5
1961,6.1
1962,4.3
1963,4.4
1964,3.8
1965,8.5
1966,8.5
1967,4.7
1968,7.7
1969,10.3
1970,8.8
1971,5.7
1972,11.4
1973,11.3
1974,5.3
1975,9.6
1976,7.5
1977,14.9
1978,10.0
1979,16.6
1980,13.3
1981,8.9
1982,7.8
1983,14.3
1984,9.6
1985,12.7
1986,8.0
1987,20.9
1988,17.5
1989,10.7
1990,9.2
1991,5.7
1992,5.4
1993,9.5
1994,13.0
1995,15.1
1996,8.3
1997,15.4
1998,21.8
1999,10.5
2000,9.6
2001,14.3
2002,18.5
2003,17.7
2004,12.1
2005,18.9
2006,13.7
2007,16.2
2008,13.8
2009,12.6
2010,19.0
2011,13.1
2012,18.3
2013,19.2
2014,15.5
2015,56.0
2016,54.02
2017,54.79
2018,55.57
2019,56.37
2020,57.17
2021,58.07
2022,58.98
2023,59.89
2024,60.82
2025,61.76
2026,62.71
2027,63.67
2028,64.64
2029,65.62
2030,66.60
2031,67.38
2032,68.14
2033,68.93
2034,69.70
2035,70.50
2036,71.31
2037,72.11
2038,72.94
2039,73.77
2040,74.61
2041,75.23
2042,75.86
2043,76.51
2044,77.17
2045,77.86
2046,78.55
2047,79.27
2048,80.01
2049,80.77
2050,83.35
2051,82.07
2052,82.57
2053,83.08
2054,83.61
2055,84.19
2056,84.76
2057,85.37
2058,85.99
2059,86.62
2060,85.73
