Year,World
2012,21534.0
2013,22203.0
2014,22548.0
2015,24255.0
2016,24919.0
2017,25848.88525517477
2018,26340.14241814749
2019,26814.905362616093
2020,27478.127123084974
2021,28102.521544024563
2022,28718.866709238955
2023,29324.073654392618
2024,29915.163010220065
2025,30459.966165666694
2026,31054.19050660885
2027,31605.352307506422
2028,32143.197827396532
2029,32668.67062425249
2030,33152.60192192188
2031,33690.09566708297
2032,34188.908572158165
2033,34681.32935861061
2034,35169.17979989117
2035,35662.7707477315
2036,36143.08370453549
2037,36628.52493361192
2038,37112.9300704835
2039,37596.40155410227
2040,38121.64039711577
2041,38559.97707228455
2042,39040.24623931082
2043,39512.853771020455
2044,39984.9725155285
2045,40485.341769300336
2046,40928.034617357574
2047,41399.32111520489
2048,41870.76152401033
2049,42342.60055890223
2050,42878.08186766969
2051,43488.415150414745
2052,44081.80976144593
2053,44687.83711503981
2054,45307.345256982546
2055,45961.24272456476
2056,46649.27509901242
2057,47346.71084427238
2058,48060.924385022896
2059,48794.34250255077
2060,49549.18288306366
