Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,21534.0,,,,,,,,,
2013,22203.0,,,,,,,,,
2014,22548.0,,,,,,,,,
2015,24255.0,,,,,,,,,
2016,24919.0,,,,,,,,,
2017,25848.88525517477,,,,,,,,,
2018,26340.14241814749,,,,,,,,,
2019,27018.579764492304,,,,,,,,,
2020,27762.2291798295,,,,,,,,,
2021,28493.488184043952,,,,,,,,,
2022,29212.94189677449,,,,,,,,,
2023,29921.175437659953,,,,,,,,,
2024,30618.77392633918,,,,,,,,,
2025,31306.32248245101,,,,,,,,,
2026,31984.406225634273,,,,,,,,,
2027,32653.61027552782,,,,,,,,,
2028,33314.51975177047,,,,,,,,,
2029,33967.71977400108,,,,,,,,,
2030,34470.0,,,,,,,,,
2031,35253.33193498149,,,,,,,,,
2032,35886.91431300898,,,,,,,,,
2033,36515.12771557976,,,,,,,,,
2034,37138.55726233268,,,,,,,,,
2035,37757.78807290658,,,,,,,,,
2036,38373.40526694029,,,,,,,,,
2037,38985.993964072644,,,,,,,,,
2038,39596.139283942495,,,,,,,,,
2039,40204.426346188666,,,,,,,,,
2040,40912.0,,,,,,,,,
2041,41417.76617636533,,,,,,,,,
2042,42023.9891835735,,,,,,,,,
2043,42630.69441171335,,,,,,,,,
2044,43238.46698042371,,,,,,,,,
2045,43847.89200934342,,,,,,,,,
2046,44459.55461811132,,,,,,,,,
2047,45074.03992636624,,,,,,,,,
2048,45691.93305374702,,,,,,,,,
2049,46313.819119892505,,,,,,,,,
2050,46915.0,,,,,,,,,
2051,47571.910547032916,,,,,,,,,
2052,48209.28614730552,,,,,,,,,
2053,48852.99516489818,,,,,,,,,
2054,49503.62271944972,,,,,,,,,
2055,50161.75393059899,,,,,,,,,
2056,50827.97391798482,,,,,,,,,
2057,51502.867801246044,,,,,,,,,
2058,52187.0207000215,,,,,,,,,
2059,52881.01773395005,,,,,,,,,
2060,53585.44402267049,,,,,,,,,
