,Current adoption %,Current adoption Mha,% new allocation,Total % allocated,New Mha in Solution
Forest Protection,0.0,0.0,0.0,0.0,0.0
IP Forest Management,0.0,0.0,0.0,0.0,0.0
Peatland Protection,0.0,0.0,0.0,0.0,0.0
Wetland Protection,0.0,0.0,0.0,0.0,0.0
Managed Grazing,0.0,0.0,0.0,0.0,0.0
Silvopasture,0.0,0.0,0.0,0.0,0.0
Conservation Agriculture,0.07436134009784863,0.36362695307847975,0.5080660457942675,0.5824273858921162,2.484442963933968
Regenerative Agriculture,0.045269709543568466,0.22136887966804977,0.5364576763485478,0.5817273858921163,2.6232780373443987
Improved Rice,0.002957528526970954,0.014462314496887963,0.11839842879371665,0.1213559573206876,0.5789683168012744
SRI,0.0036175031120331954,0.017689590217842326,0.05921367649673978,0.06283117960877298,0.2895548780690575
Tropical Forest Restoration,0.0,0.0,0.0,0.0,0.0
Temperate Forest Restoration,0.0,0.0,0.0,0.0,0.0
Afforestation,0.0,0.0,0.0,0.0,0.0
Bamboo,0.0,0.0,0.0,0.0,0.0
Mulitstrata Agroforestry,0.20527814661134164,1.0038101369294605,0.0,0.20527814661134164,0.0
Perennial Bioenergy Crops,0.0,0.0,0.0,0.0,0.0
Tropical Tree Staples,0.028141538610976118,0.1376121238076732,0.0,0.028141538610976118,0.0
Biochar,0.0,0.0,0.0,0.0,0.0
Irrigation Efficiency,0.03008985268160217,0.1471393796130346,0.9698490778771943,0.9999389305587965,4.74256199081948
Nutrient Management,0.04866553418487849,0.2379744621640558,0.9135180195907284,0.9621835537756069,4.467103115798662
Smallholder Intensification,0.005940257976917855,0.02904786150712831,0.03358763451122478,0.03952789248814264,0.16424353275988918
Tree Intercropping,0.0,0.0,0.0,0.0,0.0
Grassland Protection,0.0,0.0,0.0,0.0,0.0
Farmland Restoration,0.0,0.0,0.0,0.0,0.0
Inaccessible,0.0,0.0,0.0,0.0,0.0
