,Current adoption %,Current adoption Mha,% new allocation,Total % allocated,New Mha in Solution
Peatland Protection,0.0,0.0,0.018168966805168676,0.018168966805168676,3.2709713761560777
Mangrove Protection,0.0,0.0,0.0,0.0,0.0
IP Forest Management,0.0,0.0,0.0,0.0,0.0
Forest Protection,0.0,0.0,0.0,0.0,0.0
Sustainable Forest Management,0.0,0.0,0.0,0.0,0.0
Peatland Restoration,0.0,0.0,0.0,0.0,0.0
Mangrove Restoration,0.0,0.0,0.0,0.0,0.0
Tropical Forest Restoration,0.0,0.0,0.0,0.0,0.0
Temperate Forest Restoration,0.0,0.0,0.0,0.0,0.0
Afforestation,0.0,0.0,0.0,0.0,0.0
Bamboo,0.0,0.0,0.0,0.0,0.0
Grassland Protection,0.0,0.0,0.0,0.0,0.0
Multistrata Agroforestry,0.0,0.0,0.0,0.0,0.0
Silvopasture,0.0,0.0,0.0,0.0,0.0
Managed Grazing,0.0,0.0,0.0,0.0,0.0
Tropical Tree Staples,0.0,0.0,0.0,0.0,0.0
Farmland Restoration,0.0,0.0,0.0,0.0,0.0
Perennial Bioenergy Crops,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0
SRI,0.005799318457637997,1.044055222267846,0.0393840332025841,0.045183351660222096,7.090334121067662
Improved Rice,0.035344627314369895,6.363117148374077,0.06110445026802728,0.09644907758239718,11.000675488361335
Conservation Agriculture,0.1285911967506884,23.150360078675437,0.46661257031185266,0.5952037670625411,84.00457646334038
Regenerative Agriculture,0.010042941285159587,1.8080375085955893,0.5710238079433162,0.5810667492284758,102.8018021561294
Tree Intercropping,0.24499483688967102,44.106586101757216,0.0,0.24499483688967102,0.0
Biochar,0.0,0.0,0.0,0.0,0.0
Irrigation Efficiency,0.03810563634115486,6.860183469908277,0.18894252502273287,0.22704816136388772,34.015450504989516
Nutrient Management,0.09861944421521386,17.754525208809245,0.901380555784786,0.9999999999999999,162.27615079119076
Boreal Forest Restoration,0.0,0.0,0.0,0.0,0.0
Sustainable Intensification,0.0,0.0,0.0,0.0,0.0
