,Current adoption %,Current adoption Mha,% new allocation,Total % allocated,New Mha in Solution
Peatland Protection,0.0,0.0,0.014160598016804417,0.014160598016804417,0.015917829106503724
Mangrove Protection,0.0,0.0,0.0,0.0,0.0
IP Forest Management,0.0,0.0,0.0,0.0,0.0
Forest Protection,0.0,0.0,0.0,0.0,0.0
Sustainable Forest Management,0.0,0.0,0.0,0.0,0.0
Peatland Restoration,0.0,0.0,0.0,0.0,0.0
Mangrove Restoration,0.0,0.0,0.0,0.0,0.0
Tropical Forest Restoration,0.0,0.0,0.0,0.0,0.0
Temperate Forest Restoration,0.0,0.0,0.0,0.0,0.0
Afforestation,0.0,0.0,0.0,0.0,0.0
Bamboo,0.0,0.0,0.0,0.0,0.0
Grassland Protection,0.0,0.0,0.0,0.0,0.0
Multistrata Agroforestry,0.0,0.0,0.0,0.0,0.0
Silvopasture,0.0,0.0,0.0,0.0,0.0
Managed Grazing,0.0,0.0,0.0,0.0,0.0
Tropical Tree Staples,0.08285922678563576,0.09314147681514565,0.0,0.08285922678563576,0.0
Farmland Restoration,0.0,0.0,0.0,0.0,0.0
Perennial Bioenergy Crops,0.0,0.0,0.0,0.0,0.0
Livestock Feed,0.0,0.0,0.0,0.0,0.0
SRI,0.005530224149516266,0.006216486254902186,0.03755657377901433,0.043086797928530596,0.04221708168897355
Improved Rice,0.03370460045561819,0.037887105439957214,0.05826914127643751,0.09197374173205569,0.06549993382485446
Conservation Agriculture,0.12262443369517835,0.1378412675457141,0.4449612697864265,0.5675857034816049,0.5001778486380335
Regenerative Agriculture,0.010042941285159587,0.011289199998058892,0.5710238079433162,0.5810667492284758,0.641883865342426
Tree Intercropping,0.20033393205536856,0.22519397068591537,0.0,0.20033393205536856,0.0
Biochar,0.0,0.0,0.0,0.0,0.0
Irrigation Efficiency,0.03810563634115486,0.04283427907163778,0.18894252502273287,0.22704816136388772,0.21238896978037883
Nutrient Management,0.09861944421521386,0.11085742690621238,0.901380555784786,0.9999999999999999,1.0132355730937872
Boreal Forest Restoration,0.0,0.0,0.0,0.0,0.0
Sustainable Intensification,0.0,0.0,0.0,0.0,0.0
