"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Metzger 2005,https://www.ag.ndsu.edu/archive/carringt/livestock/Beef%20Report%2005/Costs%20and%20Returns%20for%20Cow.htm,USA,N. Dakota,1  - Peer Reviewed,2005,,,2005 US$cow,0.0,US$2014/ ha/ yr,,"cow-calf, average of 11 years and 245 producers; refer table 1",
NSW 2016a,http://www.dpi.nsw.gov.au/__data/assets/pdf_file/0005/175523/16-North-Coast-weaners-unimproved.pdf,OECD90,Australia,2 - Public Sector/ Multilateral Agency,2016,,,2016 AU$,0.0,US$2014/ ha/ yr,,coastal weaners native pasture; refer page 1,
NSW 2016b,http://www.dpi.nsw.gov.au/__data/assets/pdf_file/0004/175522/18-North-coast-weaners-improved.pdf,OECD90,Australia,2 - Public Sector/ Multilateral Agency,2016,,,2016 AU$,0.0,US$2014/ ha/ yr,,cow-calf; refer page 1,
Holmgren 2015,http://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1716&context=extension_curall,USA,Utah ,1  - Peer Reviewed,2015,,,2015 US$/cow,0.0,US$2014/ ha/ yr,,cow-calf; refer table 1   ,
Griffith 2015,https://ag.tennessee.edu/arec/Documents/budgets/archived/CowCalf2015.pdf,USA,Tennessee,1  - Peer Reviewed,2015,,,2015 US$/cow,0.0,US$2014/ ha/ yr,,cow-calf; refer page 3   ,
Holmgren 2013,https://extension.usu.edu/boxelder/files/uploads/Farm%20Management/Cow_Calf.pdf,USA,Utah ,1  - Peer Reviewed,2013,,,2013 US$,0.0,US$2014/ ha/ yr,,cow-calf; source not found,
NSW 2016c,http://www.dpi.nsw.gov.au/__data/assets/pdf_file/0003/175530/26-Young-cattle-15-20-mths.pdf,OECD90,Australia,2 - Public Sector/ Multilateral Agency,2016,,,2016 AU$,0.0,US$2014/ ha/ yr,,cow-calf ; refer page 1,
Browne 2012,"http://ageconsearch.umn.edu/bitstream/124249/2/2012AC%20Browne,%20Natalie%20CP.pdf",OECD90,Australia,1  - Peer Reviewed,2012,,,2012 AU$/hectare,0.0,US$2014/ ha/ yr,,steer average; refer table 6,
Browne 2012,"http://ageconsearch.umn.edu/bitstream/124249/2/2012AC%20Browne,%20Natalie%20CP.pdf",OECD90,Australia,1  - Peer Reviewed,2012,,,2012 AU$/hectare,0.0,US$2014/ ha/ yr,,cow-calf average; refer table 6,
Guevara 2012,http://cdn.intechopen.com/pdfs/40419/InTech-Status_of_beef_cattle_production_in_argentina_over_the_last_decade_and_its_prospects.pdf,Latin America,Argentina,1  - Peer Reviewed,2010,,,2010 US$/hectare,0.0,US$2014/ ha/ yr,,cow-calf; refer table 6,
