,Total Area (km2),"AEZ1: Forest, prime, minimal","AEZ2: Forest, good, minimal","AEZ3: Forest, good, moderate","AEZ4: Forest, good, steep","AEZ5: Forest, marginal, minimal","AEZ6: Forest, marginal, moderate","AEZ7: Forest, marginal, steep","AEZ8: Grassland, prime, minimal","AEZ9: Grassland, good, minimal","AEZ10: Grassland, good, moderate","AEZ11: Grassland, good, steep","AEZ12: Grassland, marginal, minimal","AEZ13: Grassland, marginal, moderate","AEZ14: Grassland, marginal, steep","AEZ15: Irrigated Cropland, prime, minimal","AEZ16: Irrigated Cropland, good, minimal","AEZ17: Irrigated Cropland, good, moderate","AEZ18: Irrigated Cropland, good, steep","AEZ19: Irrigated Cropland, marginal, minimal","AEZ20: Irrigated Cropland, marginal, moderate","AEZ21: Irrigated Cropland, marginal, steep","AEZ22: Rainfed Cropland, prime, minimal","AEZ23: Rainfed Cropland, good, minimal","AEZ24: Rainfed Cropland, good, moderate","AEZ25: Rainfed Cropland, good, steep","AEZ26: Rainfed Cropland, marginal, minimal","AEZ27: Rainfed Cropland, marginal, moderate","AEZ28: Rainfed Cropland, marginal, steep",AEZ29: All Barren Land
OECD90,10551207.729999997,2102113.26,957483.84,678258.96,268785.38,1613707.34,511379.74,191435.83,2165607.28,196505.82,187980.12,56770.1,761158.99,190285.55,47294.08,4741.79,3689.91,1451.67,313.79,1396.99,1203.28,475.64,99266.06,44302.63,18435.95,2472.87,11532.51,5734.34,2879.06,0.0
Eastern Europe,13143790.37,2929124.94,357450.24,437033.49,151783.67,3249636.68,586739.91,145234.0,1262733.67,155236.12,87163.52,22138.87,1330499.08,229227.63,47083.38,3316.56,878.17,2137.78,812.83,933.08,2131.92,2132.52,1700749.75,65132.23,103389.52,7101.33,33637.22,10338.52,3621.97,0.0
Asia (Sans Japan),62393.88,749.64,123.28,5127.76,7918.25,702.42,4488.58,11808.06,4929.97,492.48,3635.79,2499.24,1829.96,3335.67,6257.6,207.76,13.92,143.42,186.2,89.11,208.73,415.85,281.07,41.66,778.9,529.82,199.76,749.45,1247.15,0.0
Middle East and Africa,478.8099999999999,1.52,2.51,23.05,27.02,1.52,10.37,4.7,4.33,18.3,125.98,76.1,11.93,71.26,58.63,0.09,0.38,0.99,0.02,0.08,0.06,0.0,0.78,2.52,18.78,11.66,0.56,2.79,2.36,0.0
Latin America,3892.759999999999,180.67,59.85,662.87,1483.21,26.67,140.22,562.77,80.74,14.15,224.08,242.15,8.22,23.1,76.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.74,16.41,24.79,0.28,0.91,5.87,0.0
TOTAL,23761763.549999993,5032170.029999998,1315119.7200000002,1121106.1300000001,429997.5300000001,4864074.63,1102758.82,349045.36,3433355.99,352266.87,279129.49,81726.46,2093508.18,422943.20999999996,100769.78,8266.2,4582.38,3733.86,1312.8400000000001,2419.26,3543.99,3024.0099999999998,1800306.7600000002,109479.78000000001,122639.56,10140.470000000001,45370.33,16826.010000000002,7756.41,0.0
China,21615.57,330.49,21.47,2478.79,4356.98,91.26,375.66,867.91,1056.03,147.46,1819.69,1669.85,578.7,1512.18,1689.0,206.98,13.02,138.81,178.23,86.48,184.75,238.24,115.79,5.28,260.32,220.94,6.63,39.32,65.62,0.0
India,11267.91,82.53,30.1,450.67,1612.22,103.25,657.62,3951.83,76.07,46.57,161.55,436.21,83.16,424.17,2040.78,0.11,0.72,2.32,6.87,1.65,15.96,75.93,13.29,10.52,56.36,145.38,32.33,144.37,511.98,0.0
EU,2087099.0000000002,344929.92,361018.09,142892.32,46268.5,66637.95,61142.18,65221.51,351815.95,110937.83,40613.86,5695.8,43036.49,16219.49,13458.01,147.07,123.39,19.12,18.67,109.88,89.29,109.58,209277.99,70484.33,44026.52,2420.45,14312.56,5642.84,1960.0,0.0
USA,3342105.7499999995,530468.51,75623.48,297650.79,125503.89,201350.1,95651.21,17698.05,1402328.96,50158.15,115374.93,38930.66,158504.8,87361.96,7476.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29866.78,1989.88,3598.71,889.19,493.66,361.65,355.8,0.0
