,Total Area (km2),"AEZ1: Forest, prime, minimal","AEZ2: Forest, good, minimal","AEZ3: Forest, good, moderate","AEZ4: Forest, good, steep","AEZ5: Forest, marginal, minimal","AEZ6: Forest, marginal, moderate","AEZ7: Forest, marginal, steep","AEZ8: Grassland, prime, minimal","AEZ9: Grassland, good, minimal","AEZ10: Grassland, good, moderate","AEZ11: Grassland, good, steep","AEZ12: Grassland, marginal, minimal","AEZ13: Grassland, marginal, moderate","AEZ14: Grassland, marginal, steep","AEZ15: Irrigated Cropland, prime, minimal","AEZ16: Irrigated Cropland, good, minimal","AEZ17: Irrigated Cropland, good, moderate","AEZ18: Irrigated Cropland, good, steep","AEZ19: Irrigated Cropland, marginal, minimal","AEZ20: Irrigated Cropland, marginal, moderate","AEZ21: Irrigated Cropland, marginal, steep","AEZ22: Rainfed Cropland, prime, minimal","AEZ23: Rainfed Cropland, good, minimal","AEZ24: Rainfed Cropland, good, moderate","AEZ25: Rainfed Cropland, good, steep","AEZ26: Rainfed Cropland, marginal, minimal","AEZ27: Rainfed Cropland, marginal, moderate","AEZ28: Rainfed Cropland, marginal, steep",AEZ29: All Barren Land
OECD90,15886656.946134469,1402160.0589300795,1392458.2251620234,646240.7783240236,186936.12332859315,510879.00845524546,237099.28390498582,68584.99566079747,2136535.5044633187,2121752.3759810613,984706.6734840838,284843.13328895735,778449.7448048315,361279.03866579273,104506.09926413799,109478.09347499351,108720.59203471676,50457.29828497277,14595.630686582814,39888.49881000952,18512.278538308048,5354.991049783735,715069.0195619847,710121.3099789784,329567.7671133671,95333.07526338626,260536.41263298035,120915.12049641211,34976.752683464525,2056699.061806599
Eastern Europe,11847020.223466707,1449106.9749417445,1457234.025778765,928676.3927599001,219279.39485460616,240998.04216327527,153584.93453979172,36264.528491548444,1228606.9269042257,1235497.3436411049,787366.4737850782,185913.24733397723,204327.126355913,130215.03429814485,30746.419468047363,27291.182305598057,27444.239898885062,17489.859048352522,4129.711639183061,4538.741181778219,2892.4810385977908,682.9736350756234,486721.8482610249,489451.53852731123,311921.1335923984,73650.92722259762,80945.72349547438,51585.66240926492,12180.42466080231,1968276.9112342407
Asia (Sans Japan),4075075.5797328535,226121.4621263234,184987.65876484054,182335.0330031072,89213.6743615521,114416.7661618681,112776.08989447985,55179.57352410602,257556.6062963741,210704.4291601438,207683.0384326033,101616.05620148838,130322.85267814934,128454.09149340406,62850.57402384258,100762.29688023774,82432.60598248658,81250.56575506835,39754.62858440933,50985.41311234864,50254.30909601878,24588.645928951035,177091.6976123686,144876.90916177531,142799.45045945531,69869.53336653268,89607.85572668494,88322.92619062084,43215.02371787857,825045.8120357352
Middle East and Africa,2442866.1037148647,96235.84039895522,117141.89965196684,67683.28226984345,11465.806358270574,42859.522814438016,24763.753953273856,4195.0744409835515,214933.05997081945,261624.63837397163,151163.7962199798,25607.724059972224,95722.42887065097,55307.35110200597,9369.276380484109,4037.10815702403,4914.120525718192,2839.3239962677294,480.99232244388094,1797.963507597775,1038.8432487194584,175.9840115159589,61212.13425484271,74509.7217277624,43050.885656889346,7292.984352117814,27261.390909455353,15751.327419780582,2668.3349864873444,1017761.5337726263
Latin America,3423361.0061623068,476782.28699534107,601953.7638926418,229097.1986588226,69834.41908765478,112794.17233140729,42928.26202973056,13085.582271799694,387826.5082455741,489644.0844037589,186353.32945068492,56805.04424944771,91749.57039913417,34918.91041708131,10644.136368434034,9141.3002375839,11541.200742929652,4392.458221817635,1338.9284988344173,2162.5916533708146,823.0593765646216,250.88859127708136,124044.63761121605,156610.55063796844,59604.309473133,18168.84864391486,29345.704765334936,11168.663039718353,3404.481154420503,186946.11471271038
TOTAL,37674979.8592112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,2431268.2686537653,69026.4452923847,58082.80875332177,88214.76647930167,48600.62323999218,42352.04804929712,64323.267224490795,35437.95444582763,132734.25895070177,111690.21590190526,169632.40114048167,93456.46705371219,81440.78242847258,123690.29249826787,68145.34055999845,40874.29138449852,34393.97232983828,52236.7341128063,28779.05746652772,25078.938157173743,38089.28529058792,20984.72940267646,65490.02718745678,55107.063796584516,83695.27694195171,46110.67720251818,40182.23401834287,61027.806103506446,33622.368793502836,618768.1344476376
India,773208.287239088,52099.796660248096,62096.443485311516,19733.16197023578,5698.052933669488,48790.06273845905,15504.627262328111,4477.041590740312,23546.264479633275,28064.203226830465,8918.312173090164,2575.208925863266,22050.445392509653,7007.24527885656,2023.3784417497093,37794.58782743946,45046.42316325811,14314.964184230907,4133.520202609272,35393.6181997028,11247.471859038571,3247.7658734787137,73428.67347588883,87517.79786073374,27811.623074238123,8030.750504521354,68763.98403343366,21851.98955832996,6309.875396409636,25730.997466249573
EU,3041132.7289209496,405249.683067674,243153.3363747063,234528.27749111297,55534.03850341872,96016.25770314533,92610.39912510096,21929.25103040173,321659.18255414965,192998.30865146223,186152.33318029883,44079.0805651471,76211.06753473952,73507.73245051234,17405.923447164878,36799.88157057659,22080.249179579256,21297.025506082933,5042.930631287806,8719.03683077195,8409.757891009682,1991.349714924923,304438.4022140676,182665.69058999998,176186.23050591914,41719.20338714243,72130.92891386253,69572.32322707227,16474.056425928975,12570.790653689057
USA,5542770.465502409,674439.7626209179,455912.6077447831,343541.21608586,99799.19299724718,78907.95134044322,59459.05663024499,17272.93724952355,721152.9628965358,487490.13050381973,367335.64595100447,106711.50740722333,84373.29181796881,63577.32333767385,18469.2993589425,87572.26204969622,59197.72316216076,44606.92128090309,12958.371623197765,10245.759778066285,7720.428683233226,2242.7950886303825,474522.91890136775,320771.39187386184,241709.02970858105,70216.80361938062,55518.12551662993,41834.25514186979,12152.908318738953,523057.88481390296
