,Total Area (Mha),"DEZ1: Epipelagic, EEZ","DEZ2: Epipelagic, ABNJ","DEZ3: Mesopelagic, EEZ","DEZ4: Mesopelagic, ABNJ","DEZ5: Bathypelagic, EEZ","DEZ6: Bathypelagic, ABNJ"
OECD90,675.1802751,675.1802751,0.0,0.0,0.0,0.0,0.0
Eastern Europe,46.76221848,46.76221848,0.0,0.0,0.0,0.0,0.0
Asia (Sans Japan),562.81883391,562.81883391,0.0,0.0,0.0,0.0,0.0
Middle East and Africa,186.18409826000007,186.18409826000007,0.0,0.0,0.0,0.0,0.0
Latin America,308.09763176000007,308.09763176000007,0.0,0.0,0.0,0.0,0.0
ABNJ,11.56803166,0.0,11.56803166,0.0,0.0,0.0,0.0
TOTAL,1790.6110891700002,1779.0430575100002,11.56803166,0.0,0.0,0.0,0.0
China,83.39125715,83.39125715,0.0,0.0,0.0,0.0,0.0
India,41.1753962,41.1753962,0.0,0.0,0.0,0.0,0.0
EU,217.56480637,217.56480637,0.0,0.0,0.0,0.0,0.0
USA,114.84704039,114.84704039,0.0,0.0,0.0,0.0,0.0
