,Total Area (Mha),"DEZ1: Epipelagic, EEZ","DEZ2: Epipelagic, ABNJ","DEZ3: Mesopelagic, EEZ","DEZ4: Mesopelagic, ABNJ","DEZ5: Bathypelagic, EEZ","DEZ6: Bathypelagic, ABNJ"
OECD90,1425.6164192200001,1425.6164192200001,0.0,1425.6164192200001,0.0,1085.4135080199999,0.0
Eastern Europe,90.45548121,90.45548121,0.0,90.45548121,0.0,70.4471566,0.0
Asia (Sans Japan),842.75499875,842.75499875,0.0,842.75499875,0.0,691.4061643299999,0.0
Middle East and Africa,559.8173328400002,559.8173328400002,0.0,559.8173328400002,0.0,455.6282837,0.0
Latin America,554.6661457099998,554.6661457099998,0.0,554.6661457099998,0.0,462.38143269,0.0
ABNJ,280.96296957,0.0,280.96296957,0.0,280.96296957,0.0,0.0
TOTAL,3754.2733473000003,3473.3103777300003,280.96296957,3473.3103777300003,280.96296957,2765.2765453399998,0.0
China,11.9552086,11.9552086,0.0,11.9552086,0.0,6.9922811,0.0
India,104.1015452,104.1015452,0.0,104.1015452,0.0,90.5143401,0.0
EU,510.88024882,510.88024882,0.0,510.88024882,0.0,406.33627344,0.0
USA,202.53131143,202.53131143,0.0,202.53131143,0.0,158.60721405,0.0
