# From UN High Variant - World Population Prospects 2015
Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2014, 7249.1805960, 1002.4128040, 408.7081020, 3825.4097470, 1386.1103550, 626.5395880, 1369.4356700, 1295.2915430, 500.4108700, 319.4486340
2015, 7332.6242890, 1007.3414610, 409.3438860, 3862.8119400, 1419.8555410, 633.2714610, 1376.0489430, 1311.0505270, 500.9100840, 321.7736310
2016, 7423.6776090, 1013.0619820, 410.3160610, 3904.0351760, 1455.6197700, 640.6446200, 1383.8367700, 1328.3317430, 501.9322690, 324.4317600
2017, 7517.7009090, 1019.0261320, 411.3677510, 3946.5629760, 1492.5076120, 648.2364380, 1391.9054680, 1346.2448500, 503.1890720, 327.2369940
2018, 7613.9886830, 1025.1784710, 412.4591560, 3989.9252370, 1530.4299880, 655.9958310, 1400.0242850, 1364.6510540, 504.6180720, 330.1665450
2019, 7711.4863890, 1031.4227300, 413.5389910, 4033.4394020, 1569.2429850, 663.8422810, 1407.8747950, 1383.3242700, 506.1163280, 333.1797660
2020, 7809.3914970, 1037.6872200, 414.5675210, 4076.5867370, 1608.8370730, 671.7129460, 1415.2207400, 1402.0908010, 507.6068190, 336.2448550
2021, 7907.4360810, 1043.9555990, 415.5271360, 4119.1808140, 1649.1838720, 679.5886600, 1421.9752630, 1420.9018330, 509.0748040, 339.3558340
2022, 8005.7318670, 1050.2499970, 416.4168570, 4161.2854460, 1690.3046740, 687.4748930, 1428.1795230, 1439.7852610, 510.5415950, 342.5178110
2023, 8104.2990520, 1056.5797210, 417.2345270, 4202.9284720, 1732.1955250, 695.3608070, 1433.8826540, 1458.7291280, 512.0071500, 345.7214850
2024, 8203.2699280, 1062.9634130, 417.9843400, 4244.2192180, 1774.8631310, 703.2398260, 1439.1843230, 1477.7370160, 513.4786260, 348.9574060
2025, 8302.6994440, 1069.4084730, 418.6690960, 4285.2144260, 1818.3054700, 711.1019790, 1444.1579290, 1496.7967430, 514.9589660, 352.2157300
2026, 8402.5584910, 1075.9160670, 419.2882200, 4325.8930290, 1862.5217710, 718.9394040, 1448.8095660, 1515.8942620, 516.4442700, 355.4915490
2027, 8502.6367320, 1082.4603190, 419.8368900, 4366.1235990, 1907.4837070, 726.7322170, 1453.1066040, 1534.9708710, 517.9218590, 358.7752740
2028, 8602.6057890, 1088.9892110, 420.3104480, 4405.7302490, 1953.1308050, 734.4450760, 1457.0429980, 1553.9180850, 519.3763720, 362.0471830
2029, 8702.0524610, 1095.4350140, 420.7036670, 4444.4919870, 1999.3864710, 742.0353220, 1460.6074380, 1572.6009360, 520.7891790, 365.2837900
2030, 8800.6903030, 1101.7479870, 421.0161110, 4482.2548000, 2046.1992030, 749.4722020, 1463.7983820, 1590.9208080, 522.1470450, 368.4680030
2031, 8898.4030780, 1107.9106120, 421.2482110, 4518.9599250, 2093.5438210, 756.7405090, 1466.6208520, 1608.8397700, 523.4440710, 371.5917280
2032, 8995.2896880, 1113.9317470, 421.4113410, 4554.6583450, 2141.4431550, 763.8451000, 1469.1008120, 1626.3736040, 524.6832640, 374.6571140
