year,Insulation (Residential Only),Cool Roofs,Green Roofs,High Performance Glass-Residential Model,High Performance Glass- Commercial Model,Dynamic Glass (Commercial Only),Building Automation (Commercial Only),Smart Thermostats (Residential Only),Heat Pumps,District Heat,Residential LED (Excludes Commercial LED),Commercial LED (Excludes Household LED),Water Saving - Home (WaSH),Solar Hot Water (SHW),Biogas for Cooking,Clean Cookstoves
2014,53939.55647040,2171561071.46307000,156755794.71865100,32762.74891978,1077.50105677,40.33521504,18396.32731570,31.80623440,275.37593099,149.34463543,1.22503102,1.44073641,33103.16482479,315.33521527,129.41130669,2091.93706285
2015,54128.67262263,2897113121.93626000,167066846.03899000,33060.56168983,1380.70041734,40.78203775,18668.81943211,33.15467580,281.20632023,149.26320683,1.23863227,1.63339402,35008.71237468,337.77176523,129.41130669,2222.07120133
2016,54724.45107408,3622665172.40944000,177377897.35932500,33358.37445989,1469.30251842,41.22886046,18941.31154851,34.50311720,287.08425444,149.18177824,1.25223351,3.71030048,36914.25992457,360.20831519,129.41130669,2324.86320451
2017,55315.40624352,4348217222.88263000,187688948.67966100,33656.18722994,1560.94678400,41.67568317,19214.08005258,35.85155860,293.00973364,149.10034964,1.26583476,5.98087629,38819.80747446,374.45472000,129.41130669,2428.75855239
2018,55900.79467631,5073769273.35581000,198000000.00000000,33954.00000000,1655.62155332,53.73025905,19486.59578132,37.20000000,298.98275781,149.01892104,1.27943601,8.45474618,40725.35502435,394.16122158,129.41130669,2533.70314606
2019,59878.59701593,5213418738.28049000,173602479.48996600,39716.98824748,3612.39836681,80.08529118,20674.32668968,38.54844140,375.20823470,204.65173318,2.57583406,13.16759788,43252.35949617,414.45436703,135.60480934,2624.42861531
2020,63837.94927558,5377606654.05045000,188484664.93048700,45383.35534690,5606.87601184,113.24162192,21570.93356098,39.89688280,433.38805569,221.85421129,3.87223211,17.88044957,45792.59621087,434.30150929,141.79831198,2715.09277788
2021,67739.27574013,5568079755.66690000,205296864.18255100,50953.60762775,7684.67922527,152.34908895,22481.65502914,66.62000000,489.41769417,240.44560870,5.16863016,22.59330127,48371.37841104,453.70264835,147.99181463,2805.75694044
2022,71583.70834595,5786678329.16990000,224186689.08734100,56429.46283323,9802.60003948,198.25785460,23407.76185636,84.29333333,543.35387469,260.33886723,6.46502821,27.30615297,50966.50243122,472.65778421,154.18531727,2896.42110300
2023,75372.75233429,6035338722.23930000,245311519.95012800,61812.96941223,11976.75910058,305.99723001,24350.96133758,104.12000000,595.25332180,281.44692873,7.76142626,32.01900466,53587.47166337,491.16691688,160.37881992,2987.08526557
2024,79108.59456652,6316095630.27233000,268839071.67806500,67106.80510608,14208.34406971,420.94728039,25313.35772171,126.10000000,645.17276006,303.68273502,9.05782431,36.73185636,56235.98849868,509.23004635,166.57232256,3077.74942813
2025,82793.09627843,6631084113.40705000,294947986.18144200,72313.40833193,16498.52073308,564.69401098,26297.38324247,150.23333333,736.65722353,320.91094951,10.35422236,41.44470805,58913.65032239,526.84717262,172.76582521,3168.41359070
2026,86427.07989867,6982541296.29226000,323828451.54211800,77434.30073785,18848.41842312,740.57579416,27305.69719540,176.52000000,739.29850824,351.18934930,11.65062041,46.15755975,61621.93063079,544.01829570,178.95932785,3259.07775326
2027,90011.00527987,7372807698.76536000,355682848.36314500,82470.65437597,21259.16398502,951.93100233,28341.05189255,204.96000000,783.61826726,376.28604095,12.94701846,50.87041145,64362.03505869,560.74341558,185.15283050,3349.74191582
2028,93546.00978929,7804328142.05438000,390726423.60699000,87424.25824739,23731.90341547,1202.09800787,29406.12646475,235.55333333,826.18491563,402.16224471,14.24341651,55.58326314,67134.96615441,577.02253226,191.34633314,3440.40607839
2029,97033.28632195,8279652171.74359000,429187992.10442900,92296.96096060,26267.78556617,1494.41518318,30503.33249181,268.30000000,867.05517791,428.73090242,15.53981456,60.29611484,69941.55655960,592.85564575,197.53983579,3531.07024095
