year,Space Heating - Residential - Case 1 - Average,Space Heating - Residential - Case 2 - High,Space Heating - Residential - Case 3 - Low,Space Heating - Residential - [Case 4],Space Heating - Residential - [Case 5],Space Heating - Residential - [Case 6],Space Heating - Commercial - Case 1 - Average,Space Heating - Commercial - Case 2 - High,Space Heating - Commercial - Case 3 - Low,Space Heating - Commercial - [Case 4],Space Heating - Commercial - [Case 5],Space Heating - Commercial - [Case 6],Space Heating - Total - Case 1 - Average,Space Heating - Total - Case 2 - High,Space Heating - Total - Case 3 - Low,Space Heating - Total - [Case 4],Space Heating - Total - [Case 5],Space Heating - Total - [Case 6]
2012,7920.52802201,11956.77839124,3884.27765278,,,,1689.61133795,2593.21618828,786.00648762,,,,9610.13935996,14549.99457952,4670.28414040,,,
2013,8030.16034866,12122.27864963,3938.04204768,,,,1740.62774615,2671.51619292,809.73929937,,,,9770.78809480,14793.79484255,4747.78134706,,,
2014,8862.43801364,13378.67968407,4346.19634321,,,,1806.72561484,2772.96322944,840.48800024,,,,10669.16362848,16151.64291351,5186.68434345,,,
2015,8961.78954956,13528.66012661,4394.91897252,,,,1898.66809393,2914.07658481,883.25960305,,,,10860.45764350,16442.73671142,5278.17857557,,,
2016,9060.42934325,13677.56612762,4443.29255888,,,,1993.64587493,3059.84852281,927.44322704,,,,11054.07521818,16737.41465043,5370.73578592,,,
2017,9158.27057240,13825.26662073,4491.27452408,,,,2091.64873206,3210.26334893,973.03411518,,,,11249.91930446,17035.52996966,5464.30863926,,,
2018,9255.19014728,13971.57579044,4538.80450412,,,,2192.66314572,3365.30031328,1020.02597816,,,,11447.85329300,17336.87610372,5558.83048228,,,
2019,9351.02360811,14116.24536933,4585.80184688,,,,2296.67092659,3524.93149887,1068.41035431,,,,11647.69453470,17641.17686820,5654.21220119,,,
2020,9445.65185930,14259.09557149,4632.20814712,,,,2402.50807798,3687.37040309,1117.64575287,,,,11848.15993728,17946.46597458,5749.85389998,,,
2021,9539.03049029,14400.05935498,4678.00162561,,,,2513.61595857,3857.89882470,1169.33309244,,,,12052.64644886,18257.95817968,5847.33471805,,,
2022,9631.18960389,14539.18216281,4723.19704496,,,,2626.54521040,4031.22268765,1221.86773315,,,,12257.73481428,18570.40485046,5945.06477811,,,
2023,9722.17826263,14676.53805951,4767.81846576,,,,2742.44413606,4209.10440723,1275.78386488,,,,12464.62239869,18885.64246674,6043.60233064,,,
2024,9812.07979595,14812.25283861,4811.90675329,,,,2861.31393410,4391.54582299,1331.08204521,,,,12673.39373005,19203.79866160,6142.98879849,,,
2025,9900.96176428,14946.42848894,4855.49503962,,,,2983.15491180,4578.54740653,1387.76241707,,,,12884.11667608,19524.97589548,6243.25745669,,,
2026,9988.84052936,15079.08971007,4898.59134865,,,,3107.96415459,4770.10468459,1445.82362460,,,,13096.80468396,19849.19439465,6344.41497326,,,
2027,10075.71483581,15210.23460687,4941.19506474,,,,3235.73765857,4966.21151194,1505.26380520,,,,13311.45249438,20176.44611881,6446.45886995,,,
2028,10161.61746549,15339.91266665,4983.32226433,,,,3366.47370371,5166.86524871,1566.08215871,,,,13528.09116920,20506.77791536,6549.40442304,,,
2029,10246.58433768,15468.17811291,5024.99056244,,,,3500.17086767,5372.06371187,1628.27802346,,,,13746.75520534,20840.24182478,6653.26858590,,,
2030,10330.64856142,15595.08092686,5066.21619599,,,,3641.30054243,5588.66959574,1693.93148912,,,,13971.94910386,21183.75052260,6760.14768511,,,
2031,10413.83418767,15720.65741565,5107.01095969,,,,3776.44182810,5796.08449752,1756.79915869,,,,14190.27601577,21516.74191317,6863.81011837,,,
2032,10496.16374968,15844.94159535,5147.38590401,,,,3919.01138919,6014.90031951,1823.12245886,,,,14415.17513887,21859.84191486,6970.50836287,,,
2033,10577.66636535,15967.97742215,5187.35530855,,,,4064.53524079,6238.25038783,1890.82009375,,,,14642.20160614,22206.22780997,7078.17540230,,,
2034,10658.37194389,16089.81004681,5226.93384098,,,,4213.01260341,6466.13350608,1959.89170073,,,,14871.38454730,22555.94355289,7186.82554171,,,
2035,10738.30676329,16210.47913839,5266.13438819,,,,4364.44226652,6698.54781638,2030.33671667,,,,15102.74902982,22909.02695478,7296.47110486,,,
2036,10817.49047838,16330.01436771,5304.96658904,,,,4518.82165880,6935.48937223,2102.15394538,,,,15336.31213718,23265.50373994,7407.12053442,,,
2037,10895.93883093,16448.43949847,5343.43816340,,,,4676.14805681,7176.95399369,2175.34211992,,,,15572.08688774,23625.39349216,7518.78028331,,,
2038,10973.66816725,16565.77920692,5381.55712759,,,,4836.41979329,7422.93912190,2249.90046468,,,,15810.08796054,23988.71832882,7631.45759227,,,
2039,11050.69284772,16682.05517140,5419.33052403,,,,4999.63531069,7673.44236627,2325.82825510,,,,16050.32815840,24355.49753767,7745.15877913,,,
2040,11127.02469160,16797.28523422,5456.76414898,,,,5159.27036724,7918.45031784,2400.09041663,,,,16286.29505884,24715.73555207,7856.85456562,,,
2041,11202.67630307,16911.48842254,5493.86418360,,,,5334.88765344,8187.98780216,2481.78750471,,,,16537.56395651,25099.47622470,7975.65168831,,,
2042,11277.65461810,17024.67520686,5530.63402934,,,,5506.91701248,8452.01853439,2561.81549057,,,,16784.57163057,25476.69374124,8092.44951991,,,
