Year,Baseline Cases,Conservative Cases,Ambitious Cases,100% RES2050 Cases
2012,9661.665739,10696.204756,10688.869026,10956.295590
2013,9870.953797,10565.740270,10418.129348,10299.911041
2014,9974.683447,10438.093173,10152.293250,9532.783330
2015,10075.050206,10251.384754,9893.292061,8991.819567
2016,10169.496098,10191.192515,9633.111625,8450.855803
2017,10259.450049,10071.909640,9382.738431,7874.536861
2018,10345.491068,9955.385524,9135.048646,7318.234321
2019,10427.054629,9841.605510,8891.528437,6781.948183
2020,10501.857763,9731.912335,8653.968991,6275.686648
2021,10576.660898,9622.219160,8416.409545,5769.425112
2022,10644.659366,9516.583509,8184.517259,5293.188180
2023,10708.091896,9413.633331,7956.207347,4836.967649
2024,10766.936369,9313.353968,7731.333006,4400.763520
2025,10827.378193,9217.083563,7511.318421,3994.583994
2026,10870.772661,9120.749060,7291.303836,3588.404468
2027,10915.720241,9028.394200,7075.855406,3212.249545
2028,10955.991283,8938.651527,6863.255344,2856.111024
2029,10991.563668,8851.506382,6653.356850,2519.988905
2030,11020.043826,8768.228216,6447.217106,2213.891388
2031,11048.523984,8684.950050,6241.077361,1907.793872
2032,11069.867676,8605.509549,6038.402765,1631.720958
2033,11086.424230,8528.607947,5837.842533,1375.664446
2034,11098.171526,8454.230588,5639.249864,1139.624336
2035,11104.272266,8383.610277,5443.314939,933.608829
2036,11107.149866,8312.989967,5247.380014,727.593322
2037,11104.336670,8246.097391,5053.809230,551.602418
2038,11096.625736,8181.670428,4861.618807,395.627916
2039,11083.994945,8119.694421,4670.661943,244.533202
2040,11067.350933,8061.365533,4481.261815,141.850242
2041,11043.885309,8003.036645,4291.861688,111.465586
2042,11016.362225,7948.325561,4103.724696,64.657945
2043,10983.830803,7896.006804,3916.234060,0.000000
2044,10946.268924,7846.065717,3729.242979,0.000000
2045,10903.557644,7799.661818,3560.767846,0.000000
2046,10855.965313,7753.257920,3392.292713,0.000000
2047,10803.179341,7710.361896,3278.875144,0.000000
2048,10745.274432,7669.784912,3165.618187,0.000000
2049,10715.046260,7631.512311,3052.375042,0.000000
2050,10763.928840,7596.666970,2938.859012,0.000000
2051,10812.975991,7561.821628,2825.342983,0.000000
2052,10858.975499,7530.374231,2711.260467,0.000000
2053,10902.968609,7501.172588,2596.604560,0.000000
2054,10944.933201,7474.202040,2481.228460,0.000000
2055,10978.349940,7466.157014,2364.251609,0.000000
2056,11022.688350,7426.895605,2247.728479,0.000000
2057,11058.434667,7406.530402,2160.116684,0.000000
2058,11092.063986,7388.337666,2043.351209,0.000000
2059,11123.554188,7372.302739,1979.921195,0.000000
2060,11161.626799,7304.700163,1902.666574,0.000000
