Year,Baseline Cases,Conservative Cases,Ambitious Cases,100% RES2050 Cases
2012,5217.496999,5454.035955,4825.503418,7109.519618
2013,5406.609749,5662.884900,5112.078660,6756.009808
2014,5598.241776,5871.733845,5398.653902,6402.499998
2015,5688.980013,6046.391480,5625.748959,6093.156448
2016,5779.718251,6221.049114,5852.844015,5783.812897
2017,5881.196183,6387.151396,6076.389856,5465.377282
2018,5985.029627,6543.656644,6286.425157,5152.926117
2019,6091.109205,6690.896542,6482.852512,4846.853412
2020,6200.340977,6824.901784,6658.673132,4551.136423
2021,6309.572750,6958.907026,6834.493751,4255.419433
2022,6421.741404,7080.340982,6989.512820,3970.846182
2023,6535.725524,7193.836325,7130.534311,3694.227438
2024,6651.419055,7299.724741,7257.460817,3425.957213
2025,6769.146215,7394.866135,7363.050029,3170.997790
2026,6887.513150,7490.007529,7468.639241,2916.038368
2027,7007.704569,7575.065270,7552.696345,2675.177771
2028,7129.187076,7653.842821,7622.268832,2444.241739
2029,7251.857478,7726.671867,7677.259295,2223.624285
2030,7376.104636,7791.241524,7710.181907,2019.272721
2031,7500.351795,7855.811181,7743.104519,1814.921156
2032,7625.971879,7912.784819,7753.764464,1627.623505
2033,7752.372164,7965.136689,7749.452755,1452.220477
2034,7879.451923,8013.198476,7730.071982,1289.106085
2035,8007.713334,8055.488508,7687.892801,1145.212670
2036,8135.249188,8097.778540,7645.713619,1001.319254
2037,8263.767436,8134.960186,7580.541213,877.434839
2038,8392.566619,8169.178487,7499.910113,767.415106
2039,8521.548130,8200.765127,7403.722912,671.654067
2040,8650.560306,8229.067645,7284.006744,599.110674
2041,8779.665642,8257.370164,7164.290575,526.567281
2042,8908.606326,8283.051929,7020.850624,534.434485
2043,9037.338681,8307.428772,6861.464941,544.324000
2044,9165.765930,8330.832377,6686.036118,555.484190
2045,9298.833504,8353.783835,6491.415998,567.047121
2046,9421.319658,8376.046610,6286.659422,578.610052
2047,9548.254212,8398.520607,6062.516733,589.072450
2048,9674.499791,8421.348104,5821.941273,597.798978
2049,9799.961192,8444.860785,5564.835635,604.038000
2050,9924.237111,8470.064611,5289.083973,592.000000
2051,10048.152072,8495.268438,5000.644192,606.046978
2052,10170.692547,8522.826778,4693.363572,600.313662
2053,10292.070822,8552.397040,4369.163143,589.086294
2054,10412.193046,8584.310909,4027.945497,571.613238
2055,10530.407666,8620.403556,3753.893186,547.142857
2056,10648.295184,8656.496203,3464.601096,514.923515
2057,10764.088609,8697.430998,3181.336917,474.203576
2058,10878.252996,8742.036138,3068.444139,424.231403
2059,10990.695663,8790.643306,2970.973306,364.255359
2060,11129.646275,8828.687011,2911.706865,293.523810
