Year,coal,natural gas,hydro,oil products
2012,8410.245752631392,3278.178296625934,3683.0,735.973784114683
2013,8398.164898579875,3640.633360397501,3787.0,771.6588990735196
2014,8378.918158467277,4003.0884241690674,3904.0,801.8419818582436
2015,8348.922589263057,4341.720406055074,3897.0,824.2110302806557
2016,8318.927020058836,4680.35238794108,4049.0,846.5800787030677
2017,8278.182621762993,5000.36651079209,4037.0,861.5741066620247
2018,8230.27233740607,5307.568435555326,3933.7072435933387,871.944130244583
2019,8175.196166988065,5601.657943182459,3957.996375822332,877.909656400171
2020,8109.371167478437,5875.478387008777,3984.589993813652,877.7074503141605
2021,8043.54616796881,6149.298830835094,4013.3949324887685,877.5052442281499
2022,7966.97233936756,6402.249772763932,4044.318026769152,871.5743197993977
2023,7883.23262470523,6640.887421363344,4077.2661115762717,862.116925741389
2024,7792.327023981818,6864.911557584999,4112.146021831598,849.3525690035524
2025,7690.672594166784,7066.4149871433565,4148.864592456602,832.0667821448305
2026,7589.01816435175,7267.918416701714,4187.328658372751,814.7809952861086
2027,7476.614905445094,7446.300701500112,4227.445054501519,793.4127922053584
2028,7357.045760477356,7608.868597727431,4269.120615764372,769.6156542424942
2029,7230.310729448538,7755.321886335337,4312.262177082783,743.609088346944
2030,7092.826869328097,7877.002825417465,4356.776573378221,714.7273944512222
2031,6955.343009207656,7998.683764499592,4402.570639572156,685.8457005555003
2032,6807.110319995593,8094.99191595928,4449.551210586058,654.5278925584637
2033,6651.71174472245,8173.984583606234,4497.625121341397,621.8786844264549
2034,6489.1472833882235,8235.361548392122,4546.699206759644,588.1175831089029
2035,6315.833992962376,8269.714520789752,4596.680301762268,553.1276559118921
2036,6142.520702536529,8304.06749318738,4647.4752412707385,518.1377287148815
2037,5958.458583019059,8310.796035100087,4698.990860206527,482.35798953726953
2038,5767.230577440509,8298.707997958407,4751.133993491103,446.3443849718278
2039,5568.836685800876,8267.503162714005,4803.811476045937,410.31642196798475
2040,5359.693965069621,8207.022692218865,4856.9301427924975,374.7059352053969
2041,5150.551244338367,8146.542221723725,4910.396828652256,339.095448442809
2042,4930.6596945154915,8056.185677881183,4964.118368546682,304.3414518203332
2043,4703.602258631534,7945.511459742598,5018.001597397247,270.45112455716946
2044,4469.378936686495,7814.219348259639,5071.953350125418,237.643973602747
2045,4224.406785649833,7651.39995866346,5125.880461652668,206.90060101029303
2046,3979.4346346131724,7488.5805690672805,5179.689766900465,176.15722841783906
2047,3723.713654484889,7293.633463261218,5233.28810079028,147.91664808621056
2048,3460.8267882955242,7076.867587917457,5286.582298243584,121.63727186103631
2049,3190.774036045079,6837.98272398767,5339.479194181845,97.53860669174571
2050,2909.9724547030114,6565.318939082183,5391.885623526534,77.15002200513698
2051,2629.170873360944,6292.655154176695,5443.708421199122,56.76143731852824
2052,2337.6204629272543,5985.612010198844,5494.854422121078,40.52194701345843
2053,2038.9041664324832,5655.249001441638,5545.230461213871,27.34119556198516
2054,1733.0219838766297,5301.265908856754,5594.743373398974,17.438689913538155
2055,1416.3909722291555,4911.252252433686,5643.299993597854,12.892566868485801
2056,1099.7599605816813,4521.2385960106185,5690.807156731983,8.346443823433447
2057,926.4085638437227,4094.593937652706,5737.17169772283,8.0
2058,606.6598552832229,3643.12831927379,5782.300451491866,7.4
2059,553.6935521221556,3166.5415218255384,5826.100252960561,7.0
2060,500.72724896108826,2970.3301790265346,5868.477937050384,5.828559984456603
