Year,coal,natural gas,hydro
2012,10735.428566187727,9113.458839826842,3683.0
2013,10121.969669455599,8381.795298701301,3787.0
2014,9358.0,7650.1317575757585,3904.0
2015,8873.573415320307,7010.740735930736,3897.0
2016,8389.146830640613,6371.349714285714,4049.0
2017,7847.390501496086,5797.404900432901,4037.0
2018,7323.559814248458,5265.086528138528,4010.582060606061
2019,6817.654768897731,4772.891324675324,4094.0151168831176
2020,6338.638186392354,4337.874329004328,4169.662337662338
2021,5859.621603886979,3902.8573333333316,4237.9032380952385
2022,5407.493484226952,3522.011999999999,4299.117333333334
2023,4973.291006463827,3175.276744588744,4353.68413852814
2024,4557.014170597602,2861.148294372293,4401.98316883117
2025,4167.625797576728,2592.9235064935056,4444.39393939394
2026,3778.237424555853,2324.698718614718,4481.295965367966
2027,3415.7375143803292,2099.3710476190463,4513.068761904762
2028,3071.163246101707,1900.6370909090883,4540.091844155844
2029,2744.514619719983,1726.993575757574,4562.744727272728
2030,2444.754456183611,1587.979177489176,4581.406926406927
2031,2144.9942926472395,1448.964779220778,4596.457956709957
2032,1872.1225919562166,1341.5729523809523,4608.277333333333
2033,1617.1765331620954,1253.2584761904745,4617.244571428571
2034,1380.156116264874,1182.5180779220773,4623.739186147187
2035,1170.0241622130043,1135.1322510822501,4628.1406926406935
2036,959.8922081611345,1087.746424242423,4630.828606060606
2037,776.6487169546126,1060.708623376624,4632.182441558442
2038,611.330867644996,1045.2318095238097,4632.581714285715
2039,433.665433822498,1039.8127099567082,4632.40593939394
2040,256.0,1046.4736363636366,4632.0346320346325
2041,222.93117109753985,1053.134562770565,4631.847307359308
2042,129.31588937552442,1068.8689696969686,4632.22348051948
2043,0.0,1088.6480000000029,4633.542666666666
2044,0.0,1110.968380952383,4636.184380952382
2045,0.0,1134.0942424242448,4640.528138528139
2046,0.0,1157.2201038961066,4646.953454545454
2047,0.0,1178.1449004329006,4655.839844155844
2048,0.0,1195.597956709962,4667.566822510822
2049,0.0,1208.0760000000028,4682.513904761905
2050,0.0,1184.0,4701.060606060606
2051,0.0,1212.093956709965,4723.58644155844
2052,0.0,1200.627324675328,4750.470926406925
2053,0.0,1178.1725887445955,4782.093575757575
2054,0.0,1143.2264761904826,4818.833904761905
2055,0.0,1094.2857142857229,4861.0714285714275
2056,0.0,1029.847030303039,4909.185662337662
2057,0.0,948.4071515151609,4963.556121212119
2058,0.0,848.4628051948148,5024.562320346319
2059,0.0,728.5107186147306,5092.583774891774
2060,0.0,587.0476190476311,5168.0
