"Country","FAO commodity","2/3_vegan","lacto_ovo_vegetarian","low_red_meat","meatless_day","no_dairy","no_red_meat","pescetarian","vegan","GrandTotal"
"Afghanistan","Apples and products","6.533305067","7.323977969","6.103314974","3.198253944","6.103314974","6.103314974","7.323977969","8.544640964","6.404584816"
"Afghanistan","Bananas","7.569435779","8.485503174","7.071252645","3.705471823","7.071252645","7.071252645","8.485503174","9.899753703","7.42030151"
"Afghanistan","Barley and products","31.21732532","29.42582461","30.85390829","32.3457764","32.98599024","30.6149989","30.12482153","30.40977046","30.92235575"
"Afghanistan","Bivalve molluscs","0","0","0","0","0","0","0","0","0"
"Afghanistan","Bovine Meat","9.34729466","0","28.04188398","24.03590055","28.04188398","0","0","0","10.85793303"
"Afghanistan","Butter, Ghee","7.363860242","22.09158073","22.09158073","22.09158073","0","22.09158073","22.09158073","0","15.42055042"
"Afghanistan","Cereals, Other","0","0","0","0","0","0","0","0","0"
"Afghanistan","Citrus, Other","1.772650044","1.987179496","1.655982914","0.867766764","1.655982914","1.655982914","1.987179496","2.318376079","1.737725002"
"Afghanistan","Coconuts - Incl Copra","0","0","0","0","0","0","0","0","0"
"Afghanistan","Cottonseed Oil","3.120585277","3.120585277","3.120585277","3.120585277","3.120585277","3.120585277","3.120585277","3.120585277","3.120585277"
"Afghanistan","Cream","0.567673469","1.703020408","1.703020408","1.703020408","0","1.703020408","1.703020408","0","1.188756585"
"Afghanistan","Dates","1.68209684","1.885667372","1.571389477","0.823438183","1.571389477","1.571389477","1.885667372","2.199945267","1.648955891"
"Afghanistan","Eggs","3.690847589","16.37131755","11.44354753","11.82951059","31.6128932","14.35933365","4.993772728","0","12.40429082"
"Afghanistan","Forage fish","0","0","0","0","0","0","0","0","0"
"Afghanistan","Freshwater Fish","0","0","0","0","0","0","0","0","0"
"Afghanistan","Fruits, Other","22.22909857","24.91930601","20.76608834","10.88182803","20.76608834","20.76608834","24.91930601","29.07252368","21.79113722"
"Afghanistan","Grapes and products (excl wine)","64.50494986","72.31146056","60.25955047","31.57715861","60.25955047","60.25955047","72.31146056","84.36337066","63.23406273"
"Afghanistan","Groundnut Oil","0","0","0","0","0","0","0","0","0"
"Afghanistan","Honey","0.39007316","1.170219479","1.170219479","1.170219479","1.170219479","1.170219479","1.170219479","0","0.958867158"
"Afghanistan","Insects","0","0","0","0","0","0","0","0","0"
"Afghanistan","Maize and products","24.96989425","23.53692129","24.6792068","25.87251176","26.38460149","24.48810965","24.09603002","24.32395297","24.73395608"
"Afghanistan","Milk - Excluding Butter","72.67798118","322.3742731","225.3395493","232.9397049","0","282.7554798","98.33441007","0","168.7095051"
"Afghanistan","Millet and products","3.280558278","3.092293511","3.242367602","3.399144656","3.466423284","3.217261154","3.16574952","3.19569416","3.249560592"
"Afghanistan","Mutton & Goat Meat","10.88511328","0","32.65533985","27.9902913","32.65533985","0","0","0","12.64428216"
"Afghanistan","Nuts and products","15.62600698","15.62600698","15.62600698","15.62600698","15.62600698","15.62600698","15.62600698","15.62600698","15.62600698"
"Afghanistan","Offals, Edible","1.869160867","0","5.607482601","4.806413658","5.607482601","0","0","0","2.17124037"
"Afghanistan","Oilcrops Oil, Other","2.340438958","2.340438958","2.340438958","2.340438958","2.340438958","2.340438958","2.340438958","2.340438958","2.340438958"
"Afghanistan","Oilcrops, Other","0","0","0","0","0","0","0","0","0"
"Afghanistan","Olive Oil","0","0","0","0","0","0","0","0","0"
"Afghanistan","Olives (including preserved)","0","0","0","0","0","0","0","0","0"
"Afghanistan","Oranges, Mandarines","10.05455783","11.27137938","9.392816149","4.922015564","9.392816149","9.392816149","11.27137938","13.14994261","9.856461274"
"Afghanistan","Palm Oil","55.78046183","55.78046183","55.78046183","55.78046183","55.78046183","55.78046183","55.78046183","55.78046183","55.78046183"
"Afghanistan","Pineapples and products","0","0","0","0","0","0","0","0","0"
"Afghanistan","Potatoes and products","9.934752678","9.364616824","9.819097084","10.29387641","10.49762116","9.743065406","9.587068985","9.677752513","9.840880137"
"Afghanistan","Poultry Meat","5.617434938","0","17.41697054","14.4448327","48.11452288","21.85476929","0","0","13.04022072"
"Afghanistan","Pulses, Other and products","257.0053533","75.1277991","52.51431583","54.28549612","145.0712249","65.89482678","275.8883759","360.1021405","149.8023665"
"Afghanistan","Rape and Mustard Oil","2.340438958","2.340438958","2.340438958","2.340438958","2.340438958","2.340438958","2.340438958","2.340438958","2.340438958"
"Afghanistan","Rice (Milled Equivalent)","145.6834525","137.3229666","143.987476","150.9496515","153.9373695","142.8725457","140.5850104","141.9147958","144.3069032"
"Afghanistan","Sesame seed","9.105121231","9.105121231","9.105121231","9.105121231","9.105121231","9.105121231","9.105121231","9.105121231","9.105121231"
"Afghanistan","Sesameseed Oil","1.170219479","1.170219479","1.170219479","1.170219479","1.170219479","1.170219479","1.170219479","1.170219479","1.170219479"
"Afghanistan","Soyabean Oil","15.21285323","15.21285323","15.21285323","15.21285323","15.21285323","15.21285323","15.21285323","15.21285323","15.21285323"
"Afghanistan","Sugar (Raw Equivalent)","97.12821675","97.12821675","97.12821675","97.12821675","97.12821675","97.12821675","97.12821675","97.12821675","97.12821675"
"Afghanistan","Sugar beet","0","0","0","0","0","0","0","0","0"
"Afghanistan","Sugar cane","0","0","0","0","0","0","0","0","0"
"Afghanistan","Sunflower seed","0","0","0","0","0","0","0","0","0"
"Afghanistan","Sunflowerseed Oil","17.55329218","17.55329218","17.55329218","17.55329218","17.55329218","17.55329218","17.55329218","17.55329218","17.55329218"
"Afghanistan","Sweeteners, Other","3.120585277","3.120585277","3.120585277","3.120585277","3.120585277","3.120585277","3.120585277","3.120585277","3.120585277"
"Afghanistan","Tomatoes and products","0","0","0","0","0","0","0","0","0"
"Afghanistan","Vegetables, Other","45.960718","51.52297079","42.93580899","22.49918627","42.93580899","42.93580899","51.52297079","60.11013258","45.05519238"
"Afghanistan","Wheat and products","1332.694192","1256.213502","1317.17961","1380.868729","1408.200003","1306.980365","1286.054275","1298.218988","1320.10169"
"Albania","Apples and products","21.98093062","21.98093062","21.98093062","21.98093062","21.98093062","21.98093062","21.98093062","21.98093062","21.98093062"
"Albania","Bananas","6.422818449","6.422818449","6.422818449","6.422818449","6.422818449","6.422818449","6.422818449","6.422818449","6.422818449"
"Albania","Barley and products","2.348420915","2.210164529","1.729234191","1.773206691","2.683978361","2.098595482","2.196132026","2.672441181","2.204054376"
"Albania","Beans","244.9523484","53.95405933","53.95405933","53.95405933","53.95405933","53.95405933","53.95405933","340.4514929","105.6981113"
"Albania","Bivalve molluscs","0","0","0","0","0","0","0","0","0"
"Albania","Bovine Meat","23.34986723","0","64.97395864","60.04251572","70.04960168","0","0","0","26.50750177"
"Albania","Butter, Ghee","5.785889582","17.35766875","17.35766875","17.35766875","0","17.35766875","17.35766875","0","12.11614548"
"Albania","Cassava and products","0","0","0","0","0","0","0","0","0"
"Albania","Cephalopods","0.236004315","0","0.708012946","0.606868239","0.708012946","0.708012946","0.708012946","0","0.437993902"
"Albania","Cereals, Other","0","0","0","0","0","0","0","0","0"
"Albania","Citrus, Other","0","0","0","0","0","0","0","0","0"
"Albania","Coconut Oil","0","0","0","0","0","0","0","0","0"
"Albania","Coconuts - Incl Copra","0","0","0","0","0","0","0","0","0"
"Albania","Cottonseed Oil","0","0","0","0","0","0","0","0","0"
"Albania","Cream","0.178921982","0.536765945","0.536765945","0.536765945","0","0.536765945","0.536765945","0","0.374677866"
"Albania","Crustaceans","0","0","0","0","0","0","0","0","0"
"Albania","Dates","10.46001862","10.46001862","10.46001862","10.46001862","10.46001862","10.46001862","10.46001862","10.46001862","10.46001862"
"Albania","Demersal Fish","0.235161443","0","0.705484328","0.604700853","0.705484328","0.705484328","0.705484328","0","0.436429638"
"Albania","Eggs","12.6671965","38.0015895","38.0015895","38.0015895","38.0015895","38.0015895","38.0015895","0","31.13815551"
"Albania","Forage fish","0","0","0","0","0","0","0","0","0"
"Albania","Freshwater Fish","0.234824294","0","0.704472881","0.603833898","0.704472881","0.704472881","0.704472881","0","0.435803933"
"Albania","Fruits, Other","41.21698137","41.21698137","41.21698137","41.21698137","41.21698137","41.21698137","41.21698137","41.21698137","41.21698137"
"Albania","Grapefruit and products","0.458772746","0.458772746","0.458772746","0.458772746","0.458772746","0.458772746","0.458772746","0.458772746","0.458772746"
"Albania","Grapes and products (excl wine)","55.7356942","55.7356942","55.7356942","55.7356942","55.7356942","55.7356942","55.7356942","55.7356942","55.7356942"
"Albania","Groundnut Oil","0","0","0","0","0","0","0","0","0"
"Albania","Groundnuts (Shelled Eq)","1.590278795","1.590278795","1.590278795","1.590278795","1.590278795","1.590278795","1.590278795","1.590278795","1.590278795"
"Albania","Honey","2.348453534","7.045360602","7.045360602","7.045360602","7.045360602","7.045360602","7.045360602","0","5.772904158"
"Albania","Insects","0","0","0","0","0","0","0","0","0"
"Albania","Lemons, Limes and products","0.672102073","0.672102073","0.672102073","0.672102073","0.672102073","0.672102073","0.672102073","0.672102073","0.672102073"
"Albania","Maize Germ Oil","5.577577143","5.577577143","5.577577143","5.577577143","5.577577143","5.577577143","5.577577143","5.577577143","5.577577143"
"Albania","Maize and products","87.87610131","82.70265385","64.70661115","66.3520282","100.4324024","78.52782606","82.17756842","100.00069","82.47401665"
"Albania","Marine Fish, Other","0.314222888","0","0.942668665","0.808001713","0.942668665","0.942668665","0.942668665","0","0.583157596"
"Albania","Milk - Excluding Butter","153.7731973","461.319592","461.319592","461.319592","0","461.319592","461.319592","0","322.0141698"
"Albania","Millet and products","0","0","0","0","0","0","0","0","0"
"Albania","Molluscs, Other","0","0","0","0","0","0","0","0","0"
"Albania","Mutton & Goat Meat","18.92849415","0","52.67092888","48.67327068","56.78548245","0","0","0","21.48822036"
"Albania","Nuts and products","20.25158881","20.25158881","20.25158881","20.25158881","20.25158881","20.25158881","20.25158881","20.25158881","20.25158881"
"Albania","Oats","1.964111541","1.848480241","1.446252165","1.483028746","2.244756398","1.755169007","1.836744099","2.23510723","1.843369989"
"Albania","Offals, Edible","2.764729631","0","7.693209855","7.109304765","8.294188892","0","0","0","3.138607808"
"Albania","Oilcrops Oil, Other","23.48453534","23.48453534","23.48453534","23.48453534","23.48453534","23.48453534","23.48453534","23.48453534","23.48453534"
"Albania","Oilcrops, Other","0","0","0","0","0","0","0","0","0"
"Albania","Olive Oil","13.21005113","13.21005113","13.21005113","13.21005113","13.21005113","13.21005113","13.21005113","13.21005113","13.21005113"
"Albania","Olives (including preserved)","50.58713734","50.58713734","50.58713734","50.58713734","50.58713734","50.58713734","50.58713734","50.58713734","50.58713734"
"Albania","Onions","17.89685977","17.89685977","17.89685977","17.89685977","17.89685977","17.89685977","17.89685977","17.89685977","17.89685977"
"Albania","Oranges, Mandarines","8.315361924","8.315361924","8.315361924","8.315361924","8.315361924","8.315361924","8.315361924","8.315361924","8.315361924"
"Albania","Palm Oil","0","0","0","0","0","0","0","0","0"
"Albania","Palmkernel Oil","0","0","0","0","0","0","0","0","0"
"Albania","Peas","0","0","0","0","0","0","0","0","0"
"Albania","Pelagic Fish","1.258689681","0","3.776069044","3.236630609","3.776069044","3.776069044","3.776069044","0","2.335967479"
"Albania","Pigmeat","19.62772802","0","54.61663555","50.47130062","58.88318405","0","0","0","22.28201258"
"Albania","Pineapples and products","0","0","0","0","0","0","0","0","0"
"Albania","Plantains","0","0","0","0","0","0","0","0","0"
"Albania","Potatoes and products","72.7151947","68.43430111","53.54304251","54.90458244","83.10520821","64.97973939","67.99980653","82.74797738","68.24510976"
"Albania","Poultry Meat","15.84010318","0","47.52030954","40.73169389","47.52030954","47.52030954","0","0","24.16724256"
"Albania","Pulses, Other and products","10.72154083","2.361564011","2.361564011","2.361564011","2.361564011","2.361564011","2.361564011","14.90152925","4.626396213"
"Albania","Rape and Mustard Oil","0.293556692","0.293556692","0.293556692","0.293556692","0.293556692","0.293556692","0.293556692","0.293556692","0.293556692"
"Albania","Rice (Milled Equivalent)","55.42709552","52.16398801","40.81313877","41.85097143","63.34687451","49.53075127","51.83279489","63.07457562","52.01977706"
"Albania","Roots, Other","0","0","0","0","0","0","0","0","0"
"Albania","Rye and products","5.638115424","5.306187932","4.151564953","4.257134625","6.443725526","5.038331705","5.272498542","6.416026932","5.291518609"
"Albania","Sesame seed","0","0","0","0","0","0","0","0","0"
"Albania","Sesameseed Oil","0","0","0","0","0","0","0","0","0"
"Albania","Sorghum and products","0","0","0","0","0","0","0","0","0"
"Albania","Soyabean Oil","1.761340151","1.761340151","1.761340151","1.761340151","1.761340151","1.761340151","1.761340151","1.761340151","1.761340151"
"Albania","Soyabeans","0","0","0","0","0","0","0","0","0"
"Albania","Sugar (Raw Equivalent)","152.355923","152.355923","152.355923","152.355923","152.355923","152.355923","152.355923","152.355923","152.355923"
"Albania","Sugar beet","0","0","0","0","0","0","0","0","0"
"Albania","Sunflower seed","0","0","0","0","0","0","0","0","0"
"Albania","Sunflowerseed Oil","105.680409","105.680409","105.680409","105.680409","105.680409","105.680409","105.680409","105.680409","105.680409"
"Albania","Sweet potatoes","1.795443325","1.689741871","1.322055159","1.355673549","2.051987786","1.604443746","1.679013571","2.04316724","1.685070463"
"Albania","Sweeteners, Other","13.21005113","13.21005113","13.21005113","13.21005113","13.21005113","13.21005113","13.21005113","13.21005113","13.21005113"
"Albania","Tomatoes and products","19.97517969","19.97517969","19.97517969","19.97517969","19.97517969","19.97517969","19.97517969","19.97517969","19.97517969"
"Albania","Vegetables, Other","71.48263107","71.48263107","71.48263107","71.48263107","71.48263107","71.48263107","71.48263107","71.48263107","71.48263107"
"Albania","Wheat and products","916.3983452","862.4480832","674.7799515","691.9388541","1047.33922","818.9117267","856.9723348","1042.837193","860.0637859"
"Algeria","Apples and products","12.73573044","11.85563278","10.54404816","10.73141739","10.54404816","10.54404816","11.85563278","13.83157157","11.54547723"
"Algeria","Bananas","7.970339674","7.419552475","6.598729913","6.715990279","6.598729913","6.598729913","7.419552475","8.656144554","7.225449349"
"Algeria","Barley and products","54.28739409","51.59644753","57.11415602","56.32591195","64.11063224","56.23194089","56.9220579","52.87401312","55.96147531"
"Algeria","Beans","86.7962332","28.86855536","20.61863363","21.79719388","43.21921463","23.46820739","61.56901576","119.885033","47.79895362"
"Algeria","Bivalve molluscs","0","0","0","0","0","0","0","0","0"
"Algeria","Bovine Meat","5.527156676","0","16.58147003","14.2126886","16.58147003","0","0","0","6.420413524"
"Algeria","Butter, Ghee","2.669221903","8.007665708","8.007665708","8.007665708","0","8.007665708","8.007665708","0","5.589577962"
"Algeria","Cassava and products","0","0","0","0","0","0","0","0","0"
"Algeria","Cephalopods","0","0","0","0","0","0","0","0","0"
"Algeria","Cereals, Other","0","0","0","0","0","0","0","0","0"
"Algeria","Citrus, Other","0","0","0","0","0","0","0","0","0"
"Algeria","Coconut Oil","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356","0.810648356"
"Algeria","Coconuts - Incl Copra","0.238754316","0.238754316","0.238754316","0.238754316","0.238754316","0.238754316","0.238754316","0.238754316","0.238754316"
"Algeria","Cottonseed Oil","0","0","0","0","0","0","0","0","0"
"Algeria","Crustaceans","0","0","0","0","0","0","0","0","0"
"Algeria","Dates","67.25556495","62.6078955","55.68160535","56.67107537","55.68160535","55.68160535","62.6078955","73.04254475","60.97000854"
"Algeria","Demersal Fish","0","0","0","0","0","0","0","0","0"
"Algeria","Eggs","9.231600304","38.77603665","27.69480091","29.27783459","58.05173932","31.52232796","15.50623203","0","27.72487829"
"Algeria","Forage fish","0","0","0","0","0","0","0","0","0"
"Algeria","Freshwater Fish","0.272871651","0","0.818614952","0.701669959","1.715918519","0.931750658","2.444454747","0","0.80798032"
"Algeria","Fruits, Other","25.93899538","24.14649127","21.47517317","21.85679004","21.47517317","21.47517317","24.14649127","28.17090649","23.51479422"
"Algeria","Grapefruit and products","0","0","0","0","0","0","0","0","0"
"Algeria","Grapes and products (excl wine)","13.12124547","12.21450694","10.8632202","11.05626117","10.8632202","10.8632202","12.21450694","14.2502581","11.89496288"
"Algeria","Groundnut Oil","9.457564153","9.457564153","9.457564153","9.457564153","9.457564153","9.457564153","9.457564153","9.457564153","9.457564153"
