Year,Residential LED (Excludes Commercial LED),Smart Thermostats (Residential Only),Commercial LED (Excludes Household LED),Telepresence,Heat Pumps,Electric Cars,Public Transit,Electric Bicycles,Bicycle  Infrastructure,Electric Trains,Smart Glass (Commercial Only),High Performance Static Glass-Residential Model,High Performance Static Glass- Commercial Model,Carpooling,High Speed Rail,Building Automation (Commercial Only),District Heating,Water Saving - Home (WaSH),Solar Hot Water (SHW),Water Distribution Efficiency,GreenRoofs,CoolRoofs,Insulation (Residential Only),Alternative Cement,FarmWater Use EFF
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,8.249937652,0,0,0,0,0,0,0.277733656,0.221674085,0,0,0,0,0,1.788199452,0,0,-1.355030796,0,3.750587993
2016,0,0,0,0,0,3.485661334,0,0,0,0,0,0,0.179837588,0.150683607,0,0,0,0,0,3.576398904,0,0,-0.880539629,0,7.501175985
2017,0,0,0,0,0,-4.273729202,0,0,0,0,0,0,0.087266507,0.076582738,0,0.005762436,0,0,0,5.364598356,0,0,-0.427747794,0,11.25176398
2018,3.32652E-12,0,-9.9069E-13,0,0,-12.03311974,0,0,0,0,0.066962992,0,8.59666E-14,-1.75913E-13,0,0.006254732,0,0,0,7.152797809,0,-8.70807E-14,4.25537E-13,1.65543E-13,15.00235197
2019,36.39766548,0,21.51136599,0,-10.7723276,-19.79251027,-1.784144503,-1.198790852,1.10162985,-1.094741514,0.216422684,3.471578109,3.172145468,8.942382959,-2.510982737,19.08816674,33.9955657,0.516107469,4.062670673,8.940997261,-0.044083484,0.229921154,15.6897865,1.166459919,18.75293996
2020,72.79533096,0,42.96153685,0,-18.68602068,-30.54701503,-2.46064988,-1.353713972,1.330161355,-2.189483028,0.405117816,6.881780721,6.410282239,10.59052257,-2.570133334,32.10040238,44.54181345,1.04320405,8.026294722,10.72919671,-0.03827767,0.561688798,31.29656843,2.332919839,22.50352796
2021,109.1929964,8.939646638,64.35076054,0,-26.30805392,-29.89202613,-3.200527482,-1.512133415,1.571785454,-3.284224541,0.628143959,10.23092947,9.794271573,11.92828111,-2.707407673,45.40691477,55.93554824,1.602311882,11.89087215,12.51739617,-0.030020538,1.002552729,46.64229969,3.499379758,26.25411595
2022,145.5906619,14.69100151,85.679285,0,-33.64612166,-55.38320954,-4.003178482,-1.67358994,1.824783174,-4.378966055,0.890405541,13.52011548,13.24848251,13.42215951,-2.920804472,59.03419817,68.12364916,2.174991265,15.65640294,14.30559562,-0.019124606,1.560151028,61.73207271,4.665839677,30.00470394
2023,181.9883274,21.20098831,106.9473582,-0.110577962,-40.70791828,-84.9336903,-4.868004052,-1.837624304,2.087202186,-5.473707569,1.509356532,16.75063999,16.80113253,14.92644866,-3.208332105,73.01784815,81.05299529,2.769134578,19.32288712,16.09379507,-0.005389985,2.24252048,76.57265939,5.832299596,33.75529193
