# From AMPERE3 WP2+3 MESSAGE model, [US$2005/yr] combined with UN High Variant Populations
Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2014, 58307.86613595100, 37610.56454497360, 2565.30035309092, 10328.42174137560, 3181.35136225540, 4019.87605599091, 4925.93191927553, 1438.95780410241, 14278.40293675870, 13982.92989375090
2015, 60951.28238452940, 38611.50761888530, 2737.45197527721, 11360.84718002810, 3407.42063399523, 4214.14027132866, 5651.65573203583, 1580.58053630553, 14528.91262877290, 14323.19825268940
2016, 63639.15166679750, 39608.35091986440, 2907.02906013396, 12423.51485953760, 3636.99087815818, 4418.66093631075, 6376.68140981194, 1734.38736909887, 14786.28191087650, 14666.53295537910
2017, 66373.48128892330, 40602.13364054850, 3074.19263564007, 13516.33935054130, 3870.94526473763, 4633.50110611392, 7100.96224898980, 1900.42888485115, 15050.51078306950, 15013.20862441860
2018, 69156.27855707500, 41593.89497357550, 3239.10372977445, 14639.23522367640, 4110.16696372696, 4858.72383591491, 7824.45154595535, 2078.75566593109, 15321.59924535200, 15363.49988240650
2019, 71989.55077742090, 42584.67411158320, 3401.92337051599, 15792.11704958020, 4355.53914511956, 5094.39218089046, 8547.10259709453, 2269.41829470741, 15599.54729772390, 15717.68135194130
2020, 74860.62738482660, 43581.52597966830, 3573.08100226272, 16942.64249433370, 4620.14259694464, 5341.37070097499, 9236.97633813648, 2476.11767721216, 15800.14000002610, 16081.04362087300
2021, 77815.54929936740, 44567.44257309160, 3721.93240373619, 18187.49684224280, 4868.26763508814, 5597.31793707219, 9989.70314743750, 2687.95342482403, 16176.02217273600, 16438.81341604670
2022, 80812.29021330440, 45561.51028186790, 3879.44385217265, 19429.82395027620, 5137.39028365087, 5864.70145863186, 10709.55923941320, 2915.92709090178, 16474.54899537620, 16806.31325581440
2023, 83867.53530410800, 46558.75256617600, 4035.50795913191, 20701.79529362710, 5416.19609459043, 6142.78281607304, 11428.39027110620, 3156.43893415077, 16779.93540810580, 17178.80179752370
