Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,856.0,,,,,,,,,
2015,894.015377902746,,,,,,,,,
2016,932.0307558054919,,,,,,,,,
2017,970.0461337082379,,,,,,,,,
2018,1008.0615116109839,,,,,,,,,
2019,1046.0768895137444,,,,,,,,,
2020,1084.0922674164904,,,,,,,,,
2021,1122.1076453192363,,,,,,,,,
2022,1160.1230232219823,,,,,,,,,
2023,1198.1384011247283,,,,,,,,,
2024,1236.1537790274742,,,,,,,,,
2025,1274.1691569302202,,,,,,,,,
2026,1312.1845348329662,,,,,,,,,
2027,1350.1999127357121,,,,,,,,,
2028,1388.215290638458,,,,,,,,,
2029,1426.230668541204,,,,,,,,,
2030,1464.24604644395,,,,,,,,,
2031,1502.2614243467106,,,,,,,,,
2032,1540.2768022494565,,,,,,,,,
2033,1578.2921801522025,,,,,,,,,
2034,1616.3075580549485,,,,,,,,,
2035,1654.3229359576944,,,,,,,,,
2036,1692.3383138604404,,,,,,,,,
2037,1730.3536917631864,,,,,,,,,
2038,1768.3690696659323,,,,,,,,,
2039,1806.3844475686783,,,,,,,,,
2040,1844.3998254714243,,,,,,,,,
2041,1882.4152033741702,,,,,,,,,
2042,1920.4305812769162,,,,,,,,,
2043,1958.4459591796767,,,,,,,,,
2044,1996.4613370824227,,,,,,,,,
2045,2034.4767149851687,,,,,,,,,
2046,2072.4920928879146,,,,,,,,,
2047,2110.5074707906606,,,,,,,,,
2048,2148.5228486934066,,,,,,,,,
2049,2186.5382265961525,,,,,,,,,
2050,2224.5536044988985,,,,,,,,,
2051,2262.5689824016445,,,,,,,,,
2052,2300.5843603043904,,,,,,,,,
2053,2338.5997382071364,,,,,,,,,
2054,2376.615116109897,,,,,,,,,
2055,2414.630494012643,,,,,,,,,
2056,2452.645871915389,,,,,,,,,
2057,2490.661249818135,,,,,,,,,
2058,2528.676627720881,,,,,,,,,
2059,2566.6920056236268,,,,,,,,,
2060,2604.7073835263727,,,,,,,,,
