Year,World
2012,549.0184471947126
2013,588.1218572646112
2014,626.7523633333333
2015,664.94061
2016,702.7435499999999
2017,733.9926442341699
2018,742.6090637215566
2019,750.6984301301463
2020,758.6775001134531
2021,766.1156834296013
2022,773.5728194266924
2023,780.7695813232347
2024,787.783924058717
2025,794.2010246974286
2026,803.0557141828623
2027,812.2958316697038
2028,820.6821456071484
2029,828.0881387039567
2030,835.3617798688347
2031,839.4225947369271
2032,842.7701844998943
2033,844.5779195326821
2034,844.6948347711829
2035,843.0043079577379
2036,839.2183732583864
2037,833.3046853230131
2038,825.0599757937252
2039,814.3164057427439
2040,799.8402095818503
2041,784.6102741049722
2042,764.9519115642385
2043,742.1015979604674
2044,715.8799981728021
2045,686.1369541443465
2046,652.5622208335092
2047,614.9794858775869
2048,573.2208096827562
2049,527.0945873159145
2050,476.21046933873777
2051,423.0301317932584
2052,420.93592737572385
2053,421.6267142050491
2054,422.33600370009026
2055,423.0663171749252
2056,423.82012145854367
2057,424.5998288948472
2058,425.4077973426463
2059,426.24633017566396
2060,427.117676282533
