Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,288.8065523636364,98.03202872727272,44.50721345454546,112.67646290909094,17.30104981818182,16.289797454545454,,,,
2013,289.6192985454546,98.10431309090909,44.53116218181818,113.2220523636364,17.36235672727273,16.39941418181818,,,,
2014,290.46242836363643,98.17834472727273,44.55582345454546,113.78914290909094,17.42594981818182,16.513167454545453,,,,
2015,291.3359418181819,98.25412363636363,44.58119727272727,114.37773454545457,17.491829090909093,16.631057272727272,,,,
2016,292.23983890909096,98.33164981818182,44.60728363636364,114.9878272727273,17.559994545454547,16.753083636363634,,,,
2017,293.1741196363636,98.41092327272727,44.63408254545455,115.61942109090913,17.630446181818183,16.879246545454542,,,,
2018,294.13878400000004,98.491944,44.661594,116.27251600000002,17.703184,17.009545999999997,,,,
2019,295.13383200000004,98.574712,44.689818,116.94711200000003,17.778208000000003,17.143981999999998,,,,
2020,296.1592636363637,98.65922727272728,44.718754545454544,117.64320909090912,17.855518181818184,17.282554545454545,,,,
2021,297.21507890909095,98.74548981818182,44.74840363636364,118.3608072727273,17.935114545454546,17.425263636363635,,,,
2022,298.3012778181819,98.83349963636364,44.77876527272727,119.09990654545457,18.016997090909094,17.57210927272727,,,,
2023,299.4178603636364,98.92325672727274,44.809839454545454,119.86050690909093,18.101165818181823,17.723091454545454,,,,
2024,300.5648265454546,99.0147610909091,44.84162618181818,120.64260836363638,18.18762072727273,17.87821018181818,,,,
2025,301.7421763636364,99.10801272727274,44.87412545454546,121.44621090909092,18.276361818181822,18.03746545454545,,,,
2026,302.9499098181819,99.20301163636366,44.90733727272727,122.27131454545456,18.367389090909093,18.20085727272727,,,,
2027,304.1880269090909,99.29975781818183,44.941261636363635,123.11791927272728,18.46070254545455,18.368385636363634,,,,
2028,305.45652763636366,99.3982512727273,44.97589854545454,123.9860250909091,18.556302181818186,18.54005054545454,,,,
2029,306.75541200000004,99.49849200000003,45.011247999999995,124.87563200000001,18.654188000000005,18.715851999999995,,,,
2030,308.08468,99.60048000000002,45.047309999999996,125.78674000000001,18.754360000000005,18.895789999999995,,,,
2031,309.44433163636364,99.7042152727273,45.08408454545454,126.71934909090909,18.856818181818188,19.07986454545454,,,,
2032,310.83436690909093,99.80969781818185,45.12157163636363,127.67345927272727,18.96156254545455,19.268075636363633,,,,
2033,312.2547858181818,99.91692763636367,45.15977127272727,128.64907054545455,19.068593090909097,19.46042327272727,,,,
2034,313.70558836363637,100.02590472727276,45.198683454545446,129.6461829090909,19.177909818181824,19.656907454545447,,,,
2035,315.1867745454545,100.13662909090912,45.23830818181818,130.66479636363636,19.289512727272736,19.857528181818175,,,,
2036,316.69834436363635,100.24910072727278,45.27864545454545,131.7049109090909,19.403401818181827,20.062285454545446,,,,
2037,318.24029781818183,100.36331963636368,45.319695272727266,132.76652654545452,19.5195770909091,20.271179272727267,,,,
2038,319.81263490909095,100.47928581818186,45.361457636363625,133.84964327272726,19.638038545454556,20.48420963636363,,,,
2039,321.41535563636364,100.59699927272732,45.40393254545453,134.95426109090909,19.75878618181819,20.701376545454536,,,,
2040,323.04846000000003,100.71646000000005,45.447119999999984,136.08038,19.881820000000012,20.922679999999993,,,,
2041,324.711948,100.83766800000005,45.491019999999985,137.22799999999998,20.00714000000001,21.14811999999999,,,,
2042,326.40581963636356,100.96062327272733,45.53563254545453,138.39712109090905,20.134746181818194,21.377696545454537,,,,
2043,328.1300749090909,101.08532581818189,45.58095763636362,139.58774327272724,20.264638545454556,21.611409636363625,,,,
2044,329.8847138181818,101.2117756363637,45.62699527272726,140.7998665454545,20.396817090909103,21.849259272727263,,,,
2045,331.66973636363633,101.3399727272728,45.67374545454544,142.03349090909086,20.53128181818183,22.091245454545444,,,,
2046,333.5182436336347,101.47413375132193,45.72259262834725,143.31253745181644,20.669759106259608,22.339220695889466,,,,
2047,335.37010755722326,101.60659915197006,45.77102194934333,144.59355355722323,20.809112990619152,22.589819908067533,,,,
2048,337.2526929891731,101.74085486596906,45.82017794722406,145.8963149227278,20.950770678426522,22.844574574825618,,,,
2049,339.16599992948403,101.8769008933189,45.87006062198945,147.22082154833024,21.094732169681723,23.103484696163726,,,,
2050,341.1100283781562,102.01473723401962,45.920669973639505,148.56707343403048,21.240997464384755,23.366550272081852,,,,
2051,343.08477833518947,102.15436388807119,45.97200600217421,149.9350705798285,21.38956656253561,23.633771302579994,,,,
2052,345.090249800584,102.29578085547361,46.02406870759358,151.32481298572438,21.540439464134295,23.905147787658162,,,,
2053,347.1264427743397,102.4389881362269,46.076858089897605,152.73630065171804,21.69361616918081,24.180679727316345,,,,
2054,349.1933572564566,102.58398573033104,46.130374149086286,154.16953357780955,21.849096677675153,24.460367121554555,,,,
2055,351.2909932469346,102.73077363778603,46.18461688515963,155.62451176399884,22.006880989617322,24.74420997037278,,,,
2056,353.4193507457738,102.87935185859189,46.23958629811763,157.10123521028595,22.166969105007322,25.032208273771026,,,,
2057,355.57842975297416,103.0297203927486,46.295282387960285,158.59970391667088,22.329361023845152,25.324362031749292,,,,
2058,357.7682302685358,103.18187924025618,46.3517051546876,160.11991788315362,22.494056746130806,25.620671244307577,,,,
2059,359.98875229245857,103.33582840111461,46.40885459829957,161.66187710973418,22.66105627186429,25.921135911445884,,,,
2060,362.23999582474244,103.4915678753239,46.46673071879621,163.22558159641255,22.830359601045604,26.22575603316421,,,,
