Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,291.0378820932598,98.07970460083898,44.5152995065915,114.47580379402143,17.29727054844956,16.669803643358364,,,,
2013,297.39088209325985,99.35030460083898,45.7858995065915,115.74640379402143,18.567870548449562,17.940403643358366,,,,
2014,303.7438820932598,100.62090460083898,47.0564995065915,117.01700379402143,19.838470548449564,19.211003643358367,,,,
2015,310.09688209325986,101.89150460083899,48.3270995065915,118.28760379402144,21.109070548449566,20.48160364335837,,,,
2016,316.4498820932598,103.16210460083899,49.5976995065915,119.55820379402144,22.379670548449567,21.75220364335837,,,,
2017,322.8028820932599,104.43270460083899,50.868299506591505,120.82880379402144,23.65027054844957,23.022803643358372,,,,
2018,329.15588209325983,105.70330460083899,52.13889950659151,122.09940379402144,24.92087054844957,24.293403643358374,,,,
2019,335.5088820932599,106.97390460083899,53.40949950659151,123.37000379402144,26.191470548449573,25.564003643358376,,,,
2020,341.86188209325985,108.244504600839,54.68009950659151,124.64060379402144,27.462070548449574,26.834603643358378,,,,
2021,348.2148820932599,109.515104600839,55.95069950659151,125.91120379402145,28.732670548449576,28.10520364335838,,,,
2022,354.56788209325987,110.785704600839,57.221299506591514,127.18180379402145,30.003270548449578,29.37580364335838,,,,
2023,360.92088209325993,112.056304600839,58.491899506591515,128.45240379402145,31.27387054844958,30.646403643358383,,,,
2024,367.2738820932599,113.326904600839,59.76249950659152,129.72300379402145,32.54447054844958,31.917003643358385,,,,
2025,373.62688209325995,114.597504600839,61.03309950659152,130.99360379402145,33.81507054844958,33.187603643358386,,,,
2026,379.9798820932599,115.868104600839,62.30369950659152,132.26420379402145,35.085670548449585,34.45820364335839,,,,
2027,386.33288209325997,117.138704600839,63.57429950659152,133.53480379402146,36.35627054844959,35.72880364335839,,,,
2028,392.6858820932599,118.40930460083901,64.84489950659152,134.80540379402146,37.62687054844959,36.99940364335839,,,,
2029,399.03888209326,119.67990460083901,66.11549950659152,136.07600379402146,38.89747054844959,38.27000364335839,,,,
2030,405.39188209325994,120.95050460083901,67.38609950659152,137.34660379402146,40.16807054844959,39.540603643358395,,,,
2031,411.74488209326,122.22110460083901,68.65669950659152,138.61720379402146,41.43867054844959,40.8112036433584,,,,
2032,418.09788209325995,123.49170460083901,69.92729950659152,139.88780379402147,42.709270548449595,42.0818036433584,,,,
2033,424.45088209326,124.76230460083902,71.19789950659153,141.15840379402147,43.9798705484496,43.3524036433584,,,,
2034,430.80388209326,126.03290460083902,72.46849950659153,142.42900379402147,45.2504705484496,44.6230036433584,,,,
2035,437.15688209326004,127.30350460083902,73.73909950659153,143.69960379402147,46.5210705484496,45.893603643358404,,,,
2036,443.50988209326,128.574104600839,75.00969950659153,144.97020379402147,47.7916705484496,47.164203643358405,,,,
2037,443.53685972297023,129.844704600839,76.28029950659153,146.24080379402147,49.062270548449604,48.43480364335841,,,,
2038,443.53685972297023,131.115304600839,77.55089950659153,147.51140379402148,50.332870548449606,49.70540364335841,,,,
2039,443.53685972297023,132.385904600839,78.82149950659154,148.78200379402148,51.60347054844961,50.97600364335841,,,,
2040,443.53685972297023,133.656504600839,80.09209950659154,150.05260379402148,52.87407054844961,52.24660364335841,,,,
2041,443.53685972297023,134.92710460083902,81.36269950659154,151.32320379402148,54.14467054844961,53.517203643358414,,,,
2042,443.53685972297023,136.19770460083902,82.63329950659154,152.59380379402148,55.41527054844961,54.787803643358416,,,,
2043,443.53685972297023,137.46830460083902,83.90389950659154,153.86440379402148,56.685870548449614,56.05840364335842,,,,
2044,443.53685972297023,138.73890460083902,85.17449950659154,155.1350037940215,57.956470548449616,57.32900364335842,,,,
2045,443.53685972297023,140.00950460083902,86.44509950659155,156.4056037940215,59.22707054844962,58.59960364335842,,,,
2046,443.53685972297023,141.28010460083902,87.71569950659155,157.6762037940215,60.49767054844962,59.87020364335842,,,,
2047,443.53685972297023,142.55070460083903,88.98629950659155,158.9468037940215,61.76827054844962,61.140803643358424,,,,
2048,443.53685972297023,143.82130460083903,90.25689950659155,160.2174037940215,63.03887054844962,62.411403643358426,,,,
2049,443.53685972297023,145.09190460083903,91.52749950659155,161.4880037940215,64.30947054844962,63.68200364335843,,,,
2050,443.53685972297023,146.36250460083903,92.79809950659156,162.7586037940215,65.58007054844963,64.95260364335843,,,,
2051,443.53685972297023,147.63310460083903,94.06869950659156,164.0292037940215,66.85067054844963,66.22320364335843,,,,
2052,443.53685972297023,148.90370460083903,95.33929950659156,165.2998037940215,68.12127054844963,67.49380364335843,,,,
2053,443.53685972297023,150.17430460083904,96.60989950659156,166.5704037940215,69.39187054844963,68.76440364335843,,,,
2054,443.53685972297023,151.44490460083904,97.88049950659156,167.8410037940215,70.66247054844963,70.03500364335844,,,,
2055,443.53685972297023,152.71550460083904,99.15109950659156,169.1116037940215,71.93307054844963,71.30560364335844,,,,
2056,443.53685972297023,153.98610460083904,100.42169950659157,170.3822037940215,73.20367054844964,72.57620364335844,,,,
2057,443.53685972297023,155.25670460083904,101.69229950659157,171.6528037940215,74.47427054844964,73.84680364335844,,,,
2058,443.53685972297023,156.52730460083905,102.96289950659157,172.9234037940215,75.74487054844964,75.11740364335844,,,,
2059,443.53685972297023,157.79790460083905,104.23349950659157,174.1940037940215,77.01547054844964,76.38800364335845,,,,
2060,443.53685972297023,159.06850460083905,105.50409950659157,175.4646037940215,78.28607054844964,77.65860364335845,,,,
