"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Eucalyptus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Eucalyptus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Eucalyptus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Eucalyptus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Eucalyptus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Eucalyptus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Eucalyptus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Pinus,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Tectonia,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Tectonia,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Tectonia,
"USDA, Rotational length",ftp://ftp.aphis.usda.gov/foia/FOLDER_10/AR00041183%20FAO%20Document%20MAI%20Forest%20Plantation%20Species.pdf,World,,Tropical-Humid,,,,,years,,years,,Tectonia,
