Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,490.5239834755743,,,,,,,,,
2015,280.528101470087,,,,,,,,,
2016,544.4127722472228,,,,,,,,,
2017,857.4297454451914,,,,,,,,,
2018,1183.886535061472,,,,,,,,,
2019,2003.7138361260595,,,,,,,,,
2020,2564.487012499657,,,,,,,,,
2021,3130.225431734888,,,,,,,,,
2022,3700.9290938317513,,,,,,,,,
2023,4276.597998790248,,,,,,,,,
2024,4857.2321466103795,,,,,,,,,
2025,5448.404712711646,,,,,,,,,
2026,6049.186834524133,,,,,,,,,
2027,6654.613269186205,,,,,,,,,
2028,7264.684016697863,,,,,,,,,
2029,7879.399077059106,,,,,,,,,
2030,8498.758450269936,,,,,,,,,
2031,9122.762136330351,,,,,,,,,
2032,9751.410135240352,,,,,,,,,
2033,10384.702446999938,,,,,,,,,
2034,11022.639071609112,,,,,,,,,
2035,11673.962776930082,,,,,,,,,
2036,12301.909551565679,,,,,,,,,
2037,12941.786278936037,,,,,,,,,
2038,13593.59295904116,,,,,,,,,
2039,14177.825046634045,,,,,,,,,
2040,14693.84504822474,,,,,,,,,
2041,15074.02844871921,,,,,,,,,
2042,15416.447654457876,,,,,,,,,
2043,15724.897281654685,,,,,,,,,
2044,15927.782628076564,,,,,,,,,
2045,16137.632684371572,,,,,,,,,
2046,16354.447450539712,,,,,,,,,
2047,16578.22692658098,,,,,,,,,
2048,16808.97111249538,,,,,,,,,
2049,17040.851496374762,,,,,,,,,
2050,17266.8377748226,,,,,,,,,
2051,17487.858810408805,,,,,,,,,
2052,17708.879845995005,,,,,,,,,
2053,17925.256568731624,,,,,,,,,
2054,18136.988978618654,,,,,,,,,
2055,18344.077075656096,,,,,,,,,
2056,18546.520859843957,,,,,,,,,
2057,18744.32033118223,,,,,,,,,
2058,18937.47548967092,,,,,,,,,
2059,19125.986335310023,,,,,,,,,
2060,19301.110100237325,,,,,,,,,
