Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,490.5239834755743,,,,,,,,,
2015,280.528101470087,,,,,,,,,
2016,544.4127722472228,,,,,,,,,
2017,857.4297454451914,,,,,,,,,
2018,1183.886535061472,,,,,,,,,
2019,2161.5884578791765,,,,,,,,,
2020,2766.54551496123,,,,,,,,,
2021,3376.859031367347,,,,,,,,,
2022,3992.529007097528,,,,,,,,,
2023,4613.555442151774,,,,,,,,,
2024,5239.938336530082,,,,,,,,,
2025,5877.68998173004,,,,,,,,,
2026,6525.808329168717,,,,,,,,,
2027,7178.936919522046,,,,,,,,,
2028,7837.075752790031,,,,,,,,,
2029,8500.224828972669,,,,,,,,,
2030,9168.38414806996,,,,,,,,,
2031,9841.553710081906,,,,,,,,,
2032,10519.733515008505,,,,,,,,,
2033,11202.923562849759,,,,,,,,,
2034,11891.123853605666,,,,,,,,,
2035,12593.766006582413,,,,,,,,,
2036,13271.189337071091,,,,,,,,,
2037,13961.482593229579,,,,,,,,,
2038,14664.645775057872,,,,,,,,,
2039,15294.910094490353,,,,,,,,,
2040,15851.587829285945,,,,,,,,,
2041,16261.726261016773,,,,,,,,,
2042,16631.12501923061,,,,,,,,,
2043,16963.877701756788,,,,,,,,,
2044,17182.74858800382,,,,,,,,,
2045,17409.132940596595,,,,,,,,,
2046,17643.030759535115,,,,,,,,,
2047,17884.442044819378,,,,,,,,,
2048,18133.366796449387,,,,,,,,,
2049,18383.517268221018,,,,,,,,,
2050,18627.309232085652,,,,,,,,,
2051,18865.74473662622,,,,,,,,,
2052,19104.180241166792,,,,,,,,,
2053,19337.605502792707,,,,,,,,,
2054,19566.020521503968,,,,,,,,,
2055,19789.42529730058,,,,,,,,,
2056,20007.819830182532,,,,,,,,,
2057,20221.204120149836,,,,,,,,,
2058,20429.578167202482,,,,,,,,,
2059,20632.94197134047,,,,,,,,,
2060,20821.863913257628,,,,,,,,,
