Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,490.5239834755743,,,,,,,,,
2015,280.528101470087,,,,,,,,,
2016,544.4127722472228,,,,,,,,,
2017,857.4297454451914,,,,,,,,,
2018,1183.886535061472,,,,,,,,,
2019,2687.298595692826,,,,,,,,,
2020,3704.275049543866,,,,,,,,,
2021,4726.999179181401,,,,,,,,,
2022,5755.470984605432,,,,,,,,,
2023,6789.6904658159565,,,,,,,,,
2024,7829.657622812976,,,,,,,,,
2025,8502.066797336603,,,,,,,,,
2026,8717.539724396054,,,,,,,,,
2027,8931.022148889844,,,,,,,,,
2028,9142.598421248316,,,,,,,,,
2029,9352.35289190182,,,,,,,,,
2030,9560.369911280697,,,,,,,,,
2031,9766.733829815297,,,,,,,,,
2032,9971.528997935959,,,,,,,,,
2033,10174.839766073033,,,,,,,,,
2034,10376.750484656859,,,,,,,,,
2035,10577.34550411779,,,,,,,,,
2036,10776.709174886164,,,,,,,,,
2037,10974.925847392327,,,,,,,,,
2038,11172.079872066628,,,,,,,,,
2039,11368.255599339409,,,,,,,,,
2040,11563.537379641017,,,,,,,,,
2041,11758.009563401794,,,,,,,,,
2042,11951.756501052088,,,,,,,,,
2043,12144.862543022246,,,,,,,,,
2044,12337.412039742609,,,,,,,,,
2045,12529.489341643522,,,,,,,,,
2046,12721.178799155334,,,,,,,,,
2047,12912.564762708385,,,,,,,,,
2048,13103.731582733028,,,,,,,,,
2049,13294.763609659598,,,,,,,,,
2050,13485.745193918447,,,,,,,,,
2051,13676.76068593992,,,,,,,,,
2052,13867.894436154358,,,,,,,,,
2053,14059.23079499211,,,,,,,,,
2054,14250.85411288352,,,,,,,,,
2055,14442.848740258933,,,,,,,,,
2056,14635.299027548694,,,,,,,,,
2057,14828.289325183148,,,,,,,,,
2058,15021.90398359264,,,,,,,,,
2059,15216.227353207514,,,,,,,,,
2060,15411.343784458119,,,,,,,,,
