"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
World Watch Institute (2013),http://www.worldwatch.org/global-air-transport-continues-expand-0,World,,,2012,,1827.0,km,,,,,False
IATA (2006),https://www.iata.org/whatwedo/Documents/economics/airline_cost_performance.pdf,World,,,2004,,1225.0,km,,,,,False
IPCC (2007),https://www.ipcc.ch/publications_and_data/ar4/wg3/en/ch5s5-3-3.html,World,,,2005,,1239.0,km,,,,,False
Oliver Wyman (2011),http://emmanuelcombe.org/wyman.pdf,World,,,2010,,1609.0,km,,,,,False
Oliver Wyman (2014),http://www.oliverwyman.com/content/dam/oliver-wyman/global/en/2014/nov/Airline%20Economic%20Analysis_Screen_OW.pdf,World,,,2013,,2126.0,km,,,,,False
Oliver Wyman (2015),http://www.oliverwyman.com/content/dam/oliver-wyman/global/en/2016/jan/oliver-wyman-airline-economic-analysis-2015-2016.pdf,World,,,2014,,1874.0,km,,,,,False
Quartz (2013),https://qz.com/94765/the-center-of-the-international-airline-industry-is-in-the-middle-of-rural-poland/,World,,,2013,,2637.151,km,,,,,False
"Zheng, Xinyi Sola, and Dan Rutherford. 2021. “Variation in Aviation Emissions by Itinerary: The Case for Emissions Disclosure.” 16.",https://theicct.org/sites/default/files/publications/variation-aviation-emissions-itinerary-jul2021-1.pdf,World,,,2021,,1596.1,km,,,,,False
"Massachusetts Institute of Technology. 2021. “Global Airline Industry Program: Airline Data Project.” Retrieved September 22, 2021 ",https://web.mit.edu/airlinedata/www/Aircraft&Related.html,USA,,,2021,,1166.0,km,,,,,False
Civil Aviation Administration of China. 2021. 2020 Statistical Bulletin on the Development of the Civil Aviation Industry,https://www.mot.gov.cn/tongjishuju/minhang/202106/P020210616371268778138.pdf,China,,,2020,,2.3612061763992567,hours,2226.617424344499,km,,,False
"Graver, Brandon. 2020. “CO2 Emissions from Commercial Aviation: 2013, 2018, and 2019.” 36.",https://theicct.org/sites/default/files/publications/CO2-commercial-aviation-oct2020.pdf,World,,,2013,,1274.0,km,,,,,False
"Graver, Brandon. 2020. “CO2 Emissions from Commercial Aviation: 2013, 2018, and 2019.” 36.",https://theicct.org/sites/default/files/publications/CO2-commercial-aviation-oct2020.pdf,World,,,2018,,1379.0,km,,,,,False
"Graver, Brandon. 2020. “CO2 Emissions from Commercial Aviation: 2013, 2018, and 2019.” 36.",https://theicct.org/sites/default/files/publications/CO2-commercial-aviation-oct2020.pdf,World,,,2019,,1378.0,km,,,,,False
