Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,,,,,,,,,,
2015,372.41823924056604,,,,,,,,,
2016,380.67974680134176,,,,,,,,,
2017,388.91831899344254,,,,,,,,,
2018,397.1081782950645,,,,,,,,,
2019,405.21914462619014,,,,,,,,,
2020,413.25543789335387,,,,,,,,,
2021,420.8574829305346,,,,,,,,,
2022,428.275606376587,,,,,,,,,
2023,435.4864616395004,,,,,,,,,
2024,442.4597877971126,,,,,,,,,
2025,449.16672196467186,,,,,,,,,
2026,455.58429954682265,,,,,,,,,
2027,461.6930601930558,,,,,,,,,
2028,467.4705130657874,,,,,,,,,
2029,472.89485754194715,,,,,,,,,
2030,477.9442282564837,,,,,,,,,
2031,482.59671935150374,,,,,,,,,
2032,486.8325728205405,,,,,,,,,
2033,490.63673530634645,,,,,,,,,
2034,493.99683558239883,,,,,,,,,
2035,496.9000988423068,,,,,,,,,
2036,499.33322791188755,,,,,,,,,
2037,501.28118640932246,,,,,,,,,
2038,502.7286788662624,,,,,,,,,
2039,503.66077443532305,,,,,,,,,
2040,504.0663789810298,,,,,,,,,
2041,503.6015404345719,,,,,,,,,
2042,502.94363954073646,,,,,,,,,
2043,502.0925602310268,,,,,,,,,
2044,501.04874976382916,,,,,,,,,
2045,499.8129674670434,,,,,,,,,
2046,499.1231461660273,,,,,,,,,
2047,498.4236275884372,,,,,,,,,
2048,497.71418755676046,,,,,,,,,
2049,496.9947489879278,,,,,,,,,
2050,496.2651636378727,,,,,,,,,
2051,410.67509858139306,,,,,,,,,
2052,410.05309953939957,,,,,,,,,
2053,409.4220708433368,,,,,,,,,
2054,408.7817603867592,,,,,,,,,
2055,408.13200619107226,,,,,,,,,
2056,407.4727676618066,,,,,,,,,
2057,406.8041150634999,,,,,,,,,
2058,406.1262257955874,,,,,,,,,
2059,405.43937209749237,,,,,,,,,
2060,404.7438320761123,,,,,,,,,
