Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,2071.1312074625753,,,,,,,,,
2013,2160.9064508460015,,,,,,,,,
2014,2256.8433299979165,,,,,,,,,
2015,2345.8412211786867,,,,,,,,,
2016,2433.5104512989346,,,,,,,,,
2017,2519.576179442608,,,,,,,,,
2018,2603.8074807111484,,,,,,,,,
2019,2686.0319135060645,,,,,,,,,
2020,2766.1483373809415,,,,,,,,,
2021,2844.1221499726144,,,,,,,,,
2022,2919.9942211528823,,,,,,,,,
2023,2993.8746612361856,,,,,,,,,
2024,3065.9320817973526,,,,,,,,,
2025,3136.3648985777418,,,,,,,,,
2026,3205.3746117028136,,,,,,,,,
2027,3273.182020623227,,,,,,,,,
2028,3340.0518856988133,,,,,,,,,
2029,3406.271168712965,,,,,,,,,
2030,3472.1366313936496,,,,,,,,,
2031,3537.945491514039,,,,,,,,,
2032,3604.001252681222,,,,,,,,,
2033,3670.624304306459,,,,,,,,,
2034,3738.1463398696546,,,,,,,,,
2035,3806.9103207829644,,,,,,,,,
2036,3877.273023705518,,,,,,,,,
2037,3949.6064282491025,,,,,,,,,
2038,4024.3014660741724,,,,,,,,,
2039,4101.7734221027295,,,,,,,,,
2040,4182.470186430141,,,,,,,,,
2041,4266.885249018902,,,,,,,,,
2042,4355.557176099342,,,,,,,,,
2043,4449.0722546680145,,,,,,,,,
2044,4548.082833429651,,,,,,,,,
2045,4653.330247514408,,,,,,,,,
2046,4765.668964286755,,,,,,,,,
2047,4886.085215230257,,,,,,,,,
2048,5015.717269761423,,,,,,,,,
2049,5155.896152688997,,,,,,,,,
2050,5308.191769464418,,,,,,,,,
2051,5474.4771868058815,,,,,,,,,
2052,5656.998425047904,,,,,,,,,
2053,5858.471780316716,,,,,,,,,
2054,6082.226734992916,,,,,,,,,
2055,6332.403484073045,,,,,,,,,
2056,6614.2149128733545,,,,,,,,,
2057,6934.324865761184,,,,,,,,,
2058,7301.383833087428,,,,,,,,,
2059,7726.823020273867,,,,,,,,,
2060,8226.052600951778,,,,,,,,,
