Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,32.89136361083638,,,,,,,,,
2015,34.718161445975056,,,,,,,,,
2016,36.54495928111419,,,,,,,,,
2017,38.371757116252866,,,,,,,,,
2018,40.19855495139154,,,,,,,,,
2019,42.025352786530675,,,,,,,,,
2020,43.85215062166935,,,,,,,,,
2021,45.67894845680803,,,,,,,,,
2022,47.50574629194716,,,,,,,,,
2023,49.33254412708584,,,,,,,,,
2024,51.15934196222452,,,,,,,,,
2025,52.98613979736365,,,,,,,,,
2026,54.812937632502326,,,,,,,,,
2027,56.639735467641,,,,,,,,,
2028,58.466533302780135,,,,,,,,,
2029,60.29333113791881,,,,,,,,,
2030,62.12012897305749,,,,,,,,,
2031,63.94692680819617,,,,,,,,,
2032,65.7737246433353,,,,,,,,,
2033,67.60052247847398,,,,,,,,,
2034,69.42732031361265,,,,,,,,,
2035,71.25411814875179,,,,,,,,,
2036,73.08091598389046,,,,,,,,,
2037,74.90771381902914,,,,,,,,,
2038,76.73451165416827,,,,,,,,,
2039,78.56130948930695,,,,,,,,,
2040,80.38810732444563,,,,,,,,,
2041,82.21490515958476,,,,,,,,,
2042,84.04170299472344,,,,,,,,,
2043,85.86850082986211,,,,,,,,,
2044,87.69529866500125,,,,,,,,,
2045,89.52209650013992,,,,,,,,,
2046,91.3488943352786,,,,,,,,,
2047,93.17569217041773,,,,,,,,,
2048,95.00249000555641,,,,,,,,,
2049,96.82928784069509,,,,,,,,,
2050,98.65608567583422,,,,,,,,,
2051,100.4828835109729,,,,,,,,,
2052,102.30968134611157,,,,,,,,,
2053,104.1364791812507,,,,,,,,,
2054,105.96327701638938,,,,,,,,,
2055,107.79007485152806,,,,,,,,,
2056,109.6168726866672,,,,,,,,,
2057,111.44367052180587,,,,,,,,,
2058,113.27046835694455,,,,,,,,,
2059,115.09726619208368,,,,,,,,,
2060,116.06598314804043,,,,,,,,,
