Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,32.89136361083667,,,18.044025021431427,3.961149506472901,10.886189082932358,,,,
2015,33.04536594237797,,,18.170391050415,3.9772571687141998,10.89771772324879,,,,
2016,33.20142261436955,,,18.2979284861039,3.99381591011181,10.909678218153852,,,,
2017,33.359568991315044,,,18.42666542880991,4.010846852682528,10.922056709822625,,,,
2018,33.51984043771814,,,18.55662997884481,4.02837111844315,10.934839340430187,,,,
2019,33.714640437718145,,,18.65402997884481,4.0770711184431505,10.983539340430188,,,,
2020,33.909440437718146,,,18.75142997884481,4.125771118443151,11.032239340430188,,,,
2021,34.10424043771815,,,18.84882997884481,4.174471118443151,11.080939340430188,,,,
2022,34.29904043771815,,,18.946229978844812,4.223171118443151,11.129639340430188,,,,
2023,34.49384043771815,,,19.043629978844812,4.271871118443151,11.178339340430188,,,,
2024,34.68864043771815,,,19.141029978844813,4.3205711184431514,11.227039340430188,,,,
2025,34.88344043771815,,,19.238429978844813,4.369271118443152,11.275739340430189,,,,
2026,35.07824043771815,,,19.335829978844814,4.417971118443152,11.324439340430189,,,,
2027,35.27304043771815,,,19.433229978844814,4.466671118443152,11.373139340430189,,,,
2028,35.46784043771815,,,19.530629978844814,4.515371118443152,11.42183934043019,,,,
2029,35.66264043771815,,,19.628029978844815,4.564071118443152,11.47053934043019,,,,
2030,35.857440437718154,,,19.725429978844815,4.612771118443153,11.51923934043019,,,,
2031,36.052240437718154,,,19.822829978844815,4.661471118443153,11.56793934043019,,,,
2032,36.247040437718155,,,19.920229978844816,4.710171118443153,11.61663934043019,,,,
2033,36.441840437718156,,,20.017629978844816,4.758871118443153,11.66533934043019,,,,
2034,36.63664043771816,,,20.115029978844817,4.807571118443153,11.71403934043019,,,,
2035,36.83144043771816,,,20.212429978844817,4.8562711184431535,11.76273934043019,,,,
2036,37.02624043771816,,,20.309829978844817,4.904971118443154,11.81143934043019,,,,
2037,37.22104043771816,,,20.407229978844818,4.953671118443154,11.860139340430191,,,,
2038,37.41584043771816,,,20.504629978844818,5.002371118443154,11.908839340430191,,,,
2039,37.61064043771816,,,20.60202997884482,5.051071118443154,11.957539340430191,,,,
2040,37.80544043771816,,,20.69942997884482,5.0997711184431544,12.006239340430191,,,,
2041,38.00024043771816,,,20.79682997884482,5.148471118443155,12.054939340430192,,,,
2042,38.19504043771816,,,20.89422997884482,5.197171118443155,12.103639340430192,,,,
2043,38.38984043771816,,,20.99162997884482,5.245871118443155,12.152339340430192,,,,
2044,38.584640437718164,,,21.08902997884482,5.294571118443155,12.201039340430192,,,,
2045,38.779440437718165,,,21.18642997884482,5.343271118443155,12.249739340430192,,,,
2046,38.974240437718166,,,21.28382997884482,5.391971118443156,12.298439340430193,,,,
2047,39.16904043771817,,,21.38122997884482,5.440671118443156,12.347139340430193,,,,
2048,39.36384043771817,,,21.478629978844822,5.489371118443156,12.395839340430193,,,,
2049,39.55864043771817,,,21.576029978844822,5.538071118443156,12.444539340430193,,,,
2050,39.75344043771817,,,21.673429978844823,5.586771118443156,12.493239340430193,,,,
2051,39.94824043771817,,,21.770829978844823,5.6354711184431565,12.541939340430194,,,,
2052,40.14304043771817,,,21.868229978844823,5.684171118443157,12.590639340430194,,,,
2053,40.33784043771817,,,21.965629978844824,5.732871118443157,12.639339340430194,,,,
2054,40.53264043771817,,,22.063029978844824,5.781571118443157,12.688039340430194,,,,
2055,40.72744043771817,,,22.160429978844824,5.830271118443157,12.736739340430194,,,,
2056,40.92224043771817,,,22.257829978844825,5.8789711184431575,12.785439340430194,,,,
2057,41.117040437718174,,,22.355229978844825,5.927671118443158,12.834139340430195,,,,
2058,41.311840437718175,,,22.452629978844826,5.976371118443158,12.882839340430195,,,,
2059,41.506640437718175,,,22.550029978844826,6.025071118443158,12.931539340430195,,,,
2060,41.701440437718176,,,22.647429978844826,6.073771118443158,12.980239340430195,,,,
