Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,32.89136361083667,,,18.044025021431427,3.961149506472901,10.886189082932358,,,,
2015,33.04536594237797,,,18.170391050415,3.9772571687141998,10.89771772324879,,,,
2016,33.20142261436955,,,18.2979284861039,3.99381591011181,10.909678218153852,,,,
2017,33.359568991315044,,,18.42666542880991,4.010846852682528,10.922056709822625,,,,
2018,33.51984043771814,,,18.55662997884481,4.02837111844315,10.934839340430187,,,,
2019,34.52543565084968,,,,,,,,,
2020,35.561198720375174,,,,,,,,,
2021,36.62803468198643,,,,,,,,,
2022,37.72687572244602,,,,,,,,,
2023,38.8586819941194,,,,,,,,,
2024,40.02444245394298,,,,,,,,,
2025,41.22517572756127,,,,,,,,,
2026,42.46193099938811,,,,,,,,,
2027,43.735788929369754,,,,,,,,,
2028,45.04786259725085,,,,,,,,,
2029,46.39929847516837,,,,,,,,,
2030,47.791277429423424,,,,,,,,,
2031,49.22501575230613,,,,,,,,,
2032,50.701766224875314,,,,,,,,,
2033,52.22281921162158,,,,,,,,,
2034,53.789503787970226,,,,,,,,,
2035,55.40318890160933,,,,,,,,,
2036,57.06528456865761,,,,,,,,,
2037,58.77724310571734,,,,,,,,,
2038,60.54056039888886,,,,,,,,,
2039,62.356777210855526,,,,,,,,,
2040,64.22748052718119,,,,,,,,,
2041,66.15430494299662,,,,,,,,,
2042,68.13893409128652,,,,,,,,,
2043,70.1831021140251,,,,,,,,,
2044,72.28859517744586,,,,,,,,,
2045,74.45725303276923,,,,,,,,,
2046,76.6909706237523,,,,,,,,,
2047,78.99169974246487,,,,,,,,,
2048,81.36145073473882,,,,,,,,,
2049,83.80229425678098,,,,,,,,,
2050,86.31636308448441,,,,,,,,,
2051,88.90585397701894,,,,,,,,,
2052,91.5730295963295,,,,,,,,,
2053,94.32022048421939,,,,,,,,,
2054,97.14982709874597,,,,,,,,,
2055,100.06432191170835,,,,,,,,,
2056,103.0662515690596,,,,,,,,,
2057,106.15823911613138,,,,,,,,,
2058,109.34298628961533,,,,,,,,,
2059,112.62327587830379,,,,,,,,,
2060,116.0019741546529,,,,,,,,,
