"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
ITDP/UCD (2015) A Global High Shift Cycling Scenario,https://www.itdp.org/a-global-high-shift-cycling-scenario/,World,,,2015,,0.00115115,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,,
ITDP/UCD (2015) A Global High Shift Cycling Scenario,https://www.itdp.org/a-global-high-shift-cycling-scenario/,World,,,2015,,0.00140502,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,,
City of Seattle DOT,http://www.vtpi.org/tca/tca0506.pdf,OECD90,"Seattle, USA",,2010,,4.90959954360363e-05,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,Estimate comes from assumptions on the flow of cyclists before and after  bike lane installation and rush hour usage. See Annual Use Sources tab.,1.0
Transport & Environment,https://www.transportenvironment.org/news/increase-paris-cycle-lanes-leads-dramatic-rise-bike-commuting,OECD90,"Paris, France",,2020,,0.0012443181818181817,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,,0.0
City of Toronto,https://www.toronto.ca/legdocs/mmis/2021/ie/bgrd/backgroundfile-164864.pdf,OECD90,"Toronto, Canada",,2021,,0.00110396,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,,
City of Toronto,https://www.toronto.ca/legdocs/mmis/2021/ie/bgrd/backgroundfile-164864.pdf,OECD90,"Toronto, Canada",,2021,,0.000221,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,,
City of Toronto,https://www.toronto.ca/legdocs/mmis/2021/ie/bgrd/backgroundfile-164864.pdf,OECD90,"Toronto, Canada",,2021,,0.00031694,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,,
City of Toronto,https://www.toronto.ca/legdocs/mmis/2021/ie/bgrd/backgroundfile-164864.pdf,OECD90,"Toronto, Canada",,2021,,0.000104,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,,
City of Toronto,https://www.toronto.ca/legdocs/mmis/2021/ie/bgrd/backgroundfile-164864.pdf,OECD90,"Toronto, Canada",,2021,,3.64e-05,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,,
City of Toronto,https://www.toronto.ca/legdocs/mmis/2021/ie/bgrd/backgroundfile-164864.pdf,OECD90,"Toronto, Canada",,2021,,0.002184,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,,
City of Toronto,https://www.toronto.ca/legdocs/mmis/2021/ie/bgrd/backgroundfile-164864.pdf,OECD90,"Toronto, Canada",,2021,,0.0001716,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,,
City of Toronto,https://www.toronto.ca/legdocs/mmis/2021/ie/bgrd/backgroundfile-164864.pdf,OECD90,"Toronto, Canada",,2021,,0.0001768,B pkm / km,,billion passenger-km/bike lane km/ car lane km/year,,,
