"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Woolf et al 2010,http://www.nature.com/articles/ncomms1053,World,,,1  - Peer Reviewed,2010,,,Pg/yr,0.0,tons/year,,Rice,
Woolf et al 2010,http://www.nature.com/articles/ncomms1053,World,,,1  - Peer Reviewed,2010,,,Pg/yr,0.0,tons/year,,Other cereals,
Woolf et al 2010,http://www.nature.com/articles/ncomms1053,World,,,1  - Peer Reviewed,2010,,,Pg/yr,0.0,tons/year,,Sugarcane,
Woolf et al 2010,http://www.nature.com/articles/ncomms1053,World,,,1  - Peer Reviewed,2010,,,Pg/yr,0.0,tons/year,,Rice,
Woolf et al 2010,http://www.nature.com/articles/ncomms1053,World,,,1  - Peer Reviewed,2010,,,Pg/yr,0.0,tons/year,,Other cereals,
Woolf et al 2010,http://www.nature.com/articles/ncomms1053,World,,,1  - Peer Reviewed,2010,,,Pg/yr,0.0,tons/year,,Sugarcane,
Woolf et al 2010,http://www.nature.com/articles/ncomms1053,World,,,1  - Peer Reviewed,2010,,,Pg/yr,0.0,tons/year,,Rice,
Woolf et al 2010,http://www.nature.com/articles/ncomms1054,World,,,2  - Peer Reviewed,2011,,,Pg/yr,0.0,tons/year,,Other cereals,
Woolf et al 2010,http://www.nature.com/articles/ncomms1055,World,,,3  - Peer Reviewed,2012,,,Pg/yr,0.0,tons/year,,Sugarcane,
Lehmann et al 2006,"http://www.css.cornell.edu/faculty/lehmann/publ/MitAdaptStratGlobChange%2011,%20403-427,%20Lehmann,%202006.pdf",World,,,1  - Peer Reviewed,2006,,,Pg/yr,0.0,tons/year,,Rice,
Lehmann et al 2006,"http://www.css.cornell.edu/faculty/lehmann/publ/MitAdaptStratGlobChange%2011,%20403-427,%20Lehmann,%202006.pdf",World,,,1  - Peer Reviewed,2006,,,Pg/yr,0.0,tons/year,,Groundnut shell,
Slade et al 2014,https://workspace.imperial.ac.uk/ecosystemsandenvironment/Public/Slade_Global%20bioenergy_resources%202014.pdf,World,,,1  - Peer Reviewed,2014,,,EJ/yr,0.0,tons/year,,agricultural residue,1.0
Slade et al 2014,https://workspace.imperial.ac.uk/ecosystemsandenvironment/Public/Slade_Global%20bioenergy_resources%202014.pdf,World,,,1  - Peer Reviewed,2014,,,EJ/yr,0.0,tons/year,,agricultural residue,1.0
