"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Project Drawdown 2017 (calculated),,Asia (Sans Japan),Malaysia,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,USA,USA,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,USA,USA,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,USA,USA,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,USA,USA,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,OECD90,UK,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,OECD90,UK,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,World,World,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,OECD90,UK and Europe,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,OECD90,UK and Europe,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,OECD90,UK and Europe,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,OECD90,UK,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,OECD90,UK,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,OECD90,UK,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
Project Drawdown 2017 (calculated),,OECD90,Austria,,,,,,617.3076923076923,US$2014 per output tonne biochar,,,
