Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,45.497899999999994,,,,,,,,,
2013,51.38699999999999,,,,,,,,,
2014,55.986,,,,,,,,,
2015,83.6858856902177,,,,,,,,,
2016,102.59017643884945,,,,,,,,,
2017,121.1372980285189,,,,,,,,,
2018,139.3854670600591,,,,,,,,,
2019,157.39136419825866,,,,,,,,,
2020,175.14716763297582,,,,,,,,,
2021,192.90297106769296,,,,,,,,,
2022,210.5246066694343,,,,,,,,,
2023,228.13512874054732,,,,,,,,,
2024,245.79416490332568,,,,,,,,,
2025,263.5614670319329,,,,,,,,,
2026,281.4961931567672,,,,,,,,,
2027,299.65729379155357,,,,,,,,,
2028,318.1044560867604,,,,,,,,,
2029,336.89763232518965,,,,,,,,,
2030,356.3300274361877,,,,,,,,,
2031,375.76242254718585,,,,,,,,,
2032,395.95436701664323,,,,,,,,,
2033,416.7335575180098,,,,,,,,,
2034,438.16112915944143,,,,,,,,,
2035,460.2983001831977,,,,,,,,,
2036,483.20596515211713,,,,,,,,,
2037,506.94512450101064,,,,,,,,,
2038,531.5774232793837,,,,,,,,,
2039,557.1648075572668,,,,,,,,,
2040,584.3084494004138,,,,,,,,,
2041,611.4520912435606,,,,,,,,,
2042,640.2749134826223,,,,,,,,,
2043,670.2982085598142,,,,,,,,,
2044,701.5820689979904,,,,,,,,,
2045,734.1866440796755,,,,,,,,,
2046,768.1726313834284,,,,,,,,,
2047,803.6009599931854,,,,,,,,,
2048,840.5320526314449,,,,,,,,,
2049,879.0261626733802,,,,,,,,,
2050,919.9853015745766,,,,,,,,,
2051,960.9444404757731,,,,,,,,,
2052,1004.4893708956903,,,,,,,,,
2053,1049.8354184078946,,,,,,,,,
2054,1097.038356765483,,,,,,,,,
2055,1146.1546615747657,,,,,,,,,
2056,1197.2428261713424,,,,,,,,,
2057,1250.3633544095574,,,,,,,,,
2058,1305.5771447450802,,,,,,,,,
2059,1362.9463711677517,,,,,,,,,
2060,1439.496278963039,,,,,,,,,
