Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,86.0,,,,,,,,,
2015,86.90401705977843,,,,,,,,,
2016,87.80803411955685,,,,,,,,,
2017,88.71205117933505,,,,,,,,,
2018,89.61606823911347,,,,,,,,,
2019,90.5200852988919,,,,,,,,,
2020,91.4241023586701,,,,,,,,,
2021,92.32811941844852,,,,,,,,,
2022,93.23213647822695,,,,,,,,,
2023,94.13615353800537,,,,,,,,,
2024,95.04017059778357,,,,,,,,,
2025,95.944187657562,,,,,,,,,
2026,96.84820471734042,,,,,,,,,
2027,97.75222177711862,,,,,,,,,
2028,98.65623883689705,,,,,,,,,
2029,99.56025589667547,,,,,,,,,
2030,100.46427295645367,,,,,,,,,
2031,101.3682900162321,,,,,,,,,
2032,102.27230707601052,,,,,,,,,
2033,103.17632413578895,,,,,,,,,
2034,104.08034119556714,,,,,,,,,
2035,104.98435825534557,,,,,,,,,
2036,105.888375315124,,,,,,,,,
2037,106.79239237490219,,,,,,,,,
2038,107.69640943468062,,,,,,,,,
2039,108.60042649445904,,,,,,,,,
2040,109.50444355423724,,,,,,,,,
2041,110.40846061401567,,,,,,,,,
2042,111.31247767379409,,,,,,,,,
2043,112.21649473357252,,,,,,,,,
2044,113.12051179335072,,,,,,,,,
2045,114.02452885312914,,,,,,,,,
2046,114.92854591290757,,,,,,,,,
2047,115.83256297268576,,,,,,,,,
2048,116.73658003246419,,,,,,,,,
2049,117.64059709224261,,,,,,,,,
2050,118.54461415202081,,,,,,,,,
2051,119.44863121179924,,,,,,,,,
2052,120.35264827157766,,,,,,,,,
2053,121.25666533135586,,,,,,,,,
2054,122.16068239113429,,,,,,,,,
2055,123.06469945091271,,,,,,,,,
2056,123.96871651069114,,,,,,,,,
2057,124.87273357046934,,,,,,,,,
2058,125.77675063024776,,,,,,,,,
2059,126.68076769002619,,,,,,,,,
2060,127.58478474980438,,,,,,,,,
