Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,59.56605784547781,,,,,,,,,
2013,65.16141171818359,,,,,,,,,
2014,81.05621900317288,,,,,,,,,
2015,96.73359734299828,,,,,,,,,
2016,112.19354673765976,,,,,,,,,
2017,127.43606718715733,,,,,,,,,
2018,142.46115869149102,,,,,,,,,
2019,157.26882125066078,,,,,,,,,
2020,172.22804857765675,,,,,,,,,
2021,186.2318595335086,,,,,,,,,
2022,200.3872352571867,,,,,,,,,
2023,214.32518203570083,,,,,,,,,
2024,228.04569986905108,,,,,,,,,
2025,241.2118047542663,,,,,,,,,
2026,254.83444870025988,,,,,,,,,
2027,267.9026796981184,,,,,,,,,
2028,280.7534817508131,,,,,,,,,
2029,293.3868548583438,,,,,,,,,
2030,305.2789878635736,,,,,,,,,
2031,318.00131423791356,,,,,,,,,
2032,329.9824005099526,,,,,,,,,
2033,341.7460578368277,,,,,,,,,
2034,353.2922862185389,,,,,,,,,
2035,364.6210856550862,,,,,,,,,
2036,375.7324561464696,,,,,,,,,
2037,386.6263976926891,,,,,,,,,
2038,397.3029102937447,,,,,,,,,
2039,407.7619939496364,,,,,,,,,
2040,417.9574110704758,,,,,,,,,
2041,428.027874425928,,,,,,,,,
2042,437.834671246328,,,,,,,,,
2043,447.42403912156414,,,,,,,,,
2044,456.79597805163627,,,,,,,,,
2045,465.9504880365445,,,,,,,,,
2046,474.8875690762889,,,,,,,,,
2047,483.6072211708694,,,,,,,,,
2048,492.10944432028595,,,,,,,,,
2049,500.3942385245386,,,,,,,,,
2050,508.85087057875194,,,,,,,,,
2051,516.3115400975521,,,,,,,,,
2052,523.9440474663131,,,,,,,,,
2053,531.35912588991,,,,,,,,,
2054,538.5567753683432,,,,,,,,,
2055,545.5369959016125,,,,,,,,,
2056,552.2997874897178,,,,,,,,,
2057,558.8451501326592,,,,,,,,,
2058,565.1730838304366,,,,,,,,,
2059,571.2835885830503,,,,,,,,,
2060,577.1766643905,,,,,,,,,
