Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,53.0,,,,,,,,,
2013,57.24,,,,,,,,,
2014,62.54,,,,,,,,,
2015,64.74,,,,,,,,,
2016,64.84,,,,,,,,,
2017,80.66492744938395,,,,,,,,,
2018,86.76744790857731,,,,,,,,,
2019,92.72800767510142,,,,,,,,,
2020,98.5466067489563,,,,,,,,,
2021,104.22324513014192,,,,,,,,,
2022,109.75792281865833,,,,,,,,,
2023,115.15063981450551,,,,,,,,,
2024,120.40139611768345,,,,,,,,,
2025,124.0,,,,,,,,,
2026,129.477026646032,,,,,,,,,
2027,135.30190087120184,,,,,,,,,
2028,139.98481440370284,,,,,,,,,
2029,144.5257672435346,,,,,,,,,
2030,148.8,,,,,,,,,
2031,153.18179084519042,,,,,,,,,
2032,157.29686160701448,,,,,,,,,
2033,161.2699716761693,,,,,,,,,
2034,165.1011210526549,,,,,,,,,
2035,168.79030973647127,,,,,,,,,
2036,172.33753772761838,,,,,,,,,
2037,175.74280502609628,,,,,,,,,
2038,179.0061116319049,,,,,,,,,
2039,182.1274575450443,,,,,,,,,
2040,184.2,,,,,,,,,
2041,187.94426729331542,,,,,,,,,
2042,190.63973112844712,,,,,,,,,
2043,193.1932342709096,,,,,,,,,
2044,195.60477672070283,,,,,,,,,
2045,197.8743584778269,,,,,,,,,
2046,200.00197954228162,,,,,,,,,
2047,201.9876399140672,,,,,,,,,
2048,203.8313395931835,,,,,,,,,
2049,205.53307857963057,,,,,,,,,
2050,207.09285687340838,,,,,,,,,
2051,208.51067447451697,,,,,,,,,
2052,209.78653138295635,,,,,,,,,
2053,210.92042759872646,,,,,,,,,
2054,211.91236312182735,,,,,,,,,
2055,212.76233795225903,,,,,,,,,
2056,213.47035209002144,,,,,,,,,
2057,214.03640553511462,,,,,,,,,
2058,214.4604982875386,,,,,,,,,
2059,214.7426303472933,,,,,,,,,
2060,214.8828017143788,,,,,,,,,
