"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"IRENA (2018). Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20% (cell G-24 in Additional Current Sheet). IRENA (2018). Renewable Energy Statistics 2018. International Renewable Energy Agency, Abu Dhabi.pp 58-66. Retrieved on 15 November 2018 from https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018. .

",https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018,World,,2 - Public Sector/ Multilateral Agency,2014,,62.54,TWh,,TWh,, Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20%,
"IRENA (2018). Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20% (cell G-24 in Additional Current Adoption Sheet). IRENA (2018). Renewable Energy Statistics 2018. International Renewable Energy Agency, Abu Dhabi.pp 58-66. Retrieved on 15 November 2018 from https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018. .

",https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2029,OECD90,,2 - Public Sector/ Multilateral Agency,2014,,29.28,TWh,,TWh,, Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20%,
"IRENA (2018). Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20% (cell G-24 in Additional Current Adoption Sheet). IRENA (2018). Renewable Energy Statistics 2018. International Renewable Energy Agency, Abu Dhabi.pp 58-66. Retrieved on 15 November 2018 from https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018. .

",https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2030,Eastern Europe,,2 - Public Sector/ Multilateral Agency,2014,,3.2,TWh,,TWh,, Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20%,
"IRENA (2018). Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20% (cell G-24 in Additional Current Sheet). IRENA (2018). Renewable Energy Statistics 2018. International Renewable Energy Agency, Abu Dhabi.pp 58-66. Retrieved on 15 November 2018 from https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018. .

",https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018,Asia (Sans Japan),,2 - Public Sector/ Multilateral Agency,2014,,17.01,TWh,,TWh,, Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20%,
"IRENA (2018). Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20% (cell G-24 in Additional Current Sheet). IRENA (2018). Renewable Energy Statistics 2018. International Renewable Energy Agency, Abu Dhabi.pp 58-66. Retrieved on 15 November 2018 from https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018. .

",https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018,Middle East and Africa,,2 - Public Sector/ Multilateral Agency,2014,,0.58,TWh,,TWh,, Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20%,
"IRENA (2018). Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20% (cell G-24 in Additional Current Sheet). IRENA (2018). Renewable Energy Statistics 2018. International Renewable Energy Agency, Abu Dhabi.pp 58-66. Retrieved on 15 November 2018 from https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018. .

",https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2019,Latin America,,3 - Public Sector/ Multilateral Agency,2014,,12.19,TWh,,TWh,, Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20%,
"IRENA (2018). Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20% (cell G-24 in Additional Current Sheet). IRENA (2018). Renewable Energy Statistics 2018. International Renewable Energy Agency, Abu Dhabi.pp 58-66. Retrieved on 15 November 2018 from https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018. .

",https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018,China,,2 - Public Sector/ Multilateral Agency,2014,,4.67,TWh,,TWh,, Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20%,
"IRENA (2018). Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20% (cell G-24 in Additional Current Sheet). IRENA (2018). Renewable Energy Statistics 2018. International Renewable Energy Agency, Abu Dhabi.pp 58-66. Retrieved on 15 November 2018 from https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018. .

",https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018,India,,2 - Public Sector/ Multilateral Agency,2014,,7.31,TWh,,TWh,, Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20%,
"IRENA (2018). Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20% (cell G-24 in Additional Current Sheet). IRENA (2018). Renewable Energy Statistics 2018. International Renewable Energy Agency, Abu Dhabi.pp 58-66. Retrieved on 15 November 2018 from https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018. .

",https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018,EU,,2 - Public Sector/ Multilateral Agency,2014,,17.08,TWh,,TWh,, Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20%,
"IRENA (2018). Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20% (cell G-24 in Additional Current Adoption Sheet). IRENA (2018). Renewable Energy Statistics 2018. International Renewable Energy Agency, Abu Dhabi.pp 58-66. Retrieved on 15 November 2018 from https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2018. .

",https://www.irena.org/publications/2018/Jul/Renewable-Energy-Statistics-2037,USA,,2 - Public Sector/ Multilateral Agency,2014,,1.77,TWh,,TWh,, Current Adoption derived by adding other solid biofuel and bagasse generation and then applying the % of perennial biomass generation factor @ 20.20%,
