Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,288.0,,,,,,,,,
2013,299.0,,,,,,,,,
2014,311.0,,,,,,,,,
2015,322.0,,,,,,,,,
2016,335.0,,,,,,,,,
2017,348.0,,,,,,,,,
2018,359.0,,,,,,,,,
2019,306.01256843642176,,,,,,,,,
2020,309.05976567351047,,,,,,,,,
2021,311.8786788199897,,,,,,,,,
2022,314.6760100497717,,,,,,,,,
2023,317.4515895135088,,,,,,,,,
2024,320.2003632024983,,,,,,,,,
2025,322.9188321848394,,,,,,,,,
2026,325.6084528829235,,,,,,,,,
2027,328.27320623757424,,,,,,,,,
2028,330.914247055302,,,,,,,,,
2029,333.53284901753494,,,,,,,,,
2030,336.13002959070104,,,,,,,,,
2031,338.7065850236892,,,,,,,,,
2032,341.2643679319501,,,,,,,,,
2033,343.8076511456956,,,,,,,,,
2034,346.3417334955735,,,,,,,,,
2035,348.8705730097518,,,,,,,,,
2036,351.39603132220407,,,,,,,,,
2037,353.91786189456536,,,,,,,,,
2038,356.4351843432671,,,,,,,,,
2039,358.9461143706295,,,,,,,,,
2040,361.44910378085154,,,,,,,,,
2041,363.9439495533877,,,,,,,,,
2042,366.4308626252234,,,,,,,,,
2043,368.90895133331134,,,,,,,,,
2044,371.37718085284575,,,,,,,,,
2045,373.83450233181543,,,,,,,,,
2046,376.2801558459445,,,,,,,,,
2047,378.7133185900042,,,,,,,,,
2048,381.13276173502913,,,,,,,,,
2049,383.53713798649727,,,,,,,,,
2050,380.9784576731923,,,,,,,,,
2051,388.2961636327079,,,,,,,,,
2052,390.6493055205544,,,,,,,,,
2053,392.9831473614819,,,,,,,,,
2054,395.2960744430281,,,,,,,,,
2055,397.58686279398177,,,,,,,,,
2056,399.85477313015696,,,,,,,,,
2057,402.0996758083794,,,,,,,,,
2058,404.32180526193997,,,,,,,,,
2059,406.5217672603709,,,,,,,,,
2060,408.7001079719219,,,,,,,,,
