"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Vink 2004,"Vink, E. T., Rábago, K. R., Glassner, D. A., Springs, B., O'Connor, R. P., Kolstad, J., & Gruber, P. R. (2004). The sustainability of NatureWorks™ polylactide polymers and Ingeo™ polylactide fibers: an update of the future. Macromolecular Bioscience, 4(6), 551-564.",World,,,1  - Peer Reviewed,2004,,,kgCO2-eq/kg,1770000.0,t CO2-eq/MMt of Plastic Produced Annually,,,
Yates 2013 (Vink 2003),"Yates, M. R., & Barlow, C. Y. (2013). Life cycle assessments of biodegradable, commercial biopolymers—a critical review. Resources, Conservation and Recycling, 78, 54-66.",World,,,1  - Peer Reviewed,2003,,,kgCO2-eq/kg,1800000.0000000002,t CO2-eq/MMt of Plastic Produced Annually,,,
Yates 2013 (Vink 2007),"Yates, M. R., & Barlow, C. Y. (2013). Life cycle assessments of biodegradable, commercial biopolymers—a critical review. Resources, Conservation and Recycling, 78, 54-66.",World,,,1  - Peer Reviewed,2007,,,kgCO2-eq/kg,2020000.0,t CO2-eq/MMt of Plastic Produced Annually,,,
Yates 2013 (Vink 2010),"Yates, M. R., & Barlow, C. Y. (2013). Life cycle assessments of biodegradable, commercial biopolymers—a critical review. Resources, Conservation and Recycling, 78, 54-66.",World,,,1  - Peer Reviewed,2010,,,kgCO2-eq/kg,1240000.0,t CO2-eq/MMt of Plastic Produced Annually,,,
Yates 2013 (Bohlmann 2004),"Yates, M. R., & Barlow, C. Y. (2013). Life cycle assessments of biodegradable, commercial biopolymers—a critical review. Resources, Conservation and Recycling, 78, 54-66.",World,,,1  - Peer Reviewed,2004,,,kgCO2-eq/kg,740000.0,t CO2-eq/MMt of Plastic Produced Annually,,,
Yates 2013 (Suwanmanee 2013),"Yates, M. R., & Barlow, C. Y. (2013). Life cycle assessments of biodegradable, commercial biopolymers—a critical review. Resources, Conservation and Recycling, 78, 54-66.",World,,,1  - Peer Reviewed,2013,,,kgCO2-eq/kg,4000000.0,t CO2-eq/MMt of Plastic Produced Annually,,,
Yates 2013 (Madival 2009),"Yates, M. R., & Barlow, C. Y. (2013). Life cycle assessments of biodegradable, commercial biopolymers—a critical review. Resources, Conservation and Recycling, 78, 54-66.",World,,,1  - Peer Reviewed,2009,,,kgCO2-eq/kg,1960000.0,t CO2-eq/MMt of Plastic Produced Annually,,,
Yates 2013 (Gironi 2010),"Yates, M. R., & Barlow, C. Y. (2013). Life cycle assessments of biodegradable, commercial biopolymers—a critical review. Resources, Conservation and Recycling, 78, 54-66.",World,,,1  - Peer Reviewed,2010,,,kgCO2-eq/kg,1120000.0,t CO2-eq/MMt of Plastic Produced Annually,,,
Yates 2013 (Groot 2010),"Yates, M. R., & Barlow, C. Y. (2013). Life cycle assessments of biodegradable, commercial biopolymers—a critical review. Resources, Conservation and Recycling, 78, 54-66.",World,,,1  - Peer Reviewed,2010,,,kgCO2-eq/kg,500000.0,t CO2-eq/MMt of Plastic Produced Annually,,,
"Hottle 2013 (Groot 2010, high)","Hottle, T. A., Bilec, M. M., & Landis, A. E. (2013). Sustainability assessments of bio-based polymers. Polymer Degradation and Stability, 98(9), 1898-1907.",World,,,1  - Peer Reviewed,2010,,,kgCO2-eq/kg,800000.0,t CO2-eq/MMt of Plastic Produced Annually,,,
