Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,9543.664305866554,6654.97567306818,439.790200375292,794.1878035110458,1044.5017258913158,610.2089030207208,303.4552382589609,60.47115255160361,3212.8218069044283,3442.1538661637514
2013,10223.609004510672,6979.78978490925,476.4393837398993,943.3499798049997,1129.1613394635588,694.8685165929637,371.9892111507779,72.56538306192397,3417.835903452214,3561.953881457036
2014,10927.996113721929,7305.9573217977595,514.5545344390912,1105.3393702765643,1217.1193795386162,785.0255076698977,447.486528881871,85.75908907318262,3622.85,3683.1073217977596
2015,11468.677746925263,7445.330397158643,554.1356524728672,1280.155974925743,1308.375846116488,880.6798762515227,529.9471914522383,100.05227058537957,3639.71620997272,3805.614187185922
2016,12207.572927081917,7759.828033953145,595.1827378412272,1467.7997937525324,1402.9307391971752,981.8316223378388,619.3711988618816,115.44492759851482,3830.35355633162,3929.4744776215243
2017,12971.154226319357,8075.922804308726,637.6957905441718,1668.270826756936,1500.7840587806768,1088.4807459288459,715.7585511108009,131.93706011258837,4021.2346112041596,4054.688193104566
2018,13759.343969034395,8393.537032622207,681.6748105817005,1881.5690739389502,1601.9358048669928,1200.627247024544,819.1092481989945,149.52866812759976,4212.281698987161,4181.255333635047
2019,14571.91746988169,8712.44603354824,727.1197979538138,2107.6945352985786,1706.3859774561233,1318.2711256249331,929.423290126464,168.21975164354944,4403.270134335274,4309.175899212967
2020,15408.677748391325,9032.452826616915,774.0307526605111,2346.6472108358175,1814.1345765480692,1441.4123817300133,1046.7006768932079,188.01031066043743,4594.002936778587,4438.449889838326
2021,16269.590516765295,9353.523124030216,822.407674701793,2598.4271005506707,1925.1816021428294,1570.0510153397845,1170.9414084992277,208.9003451782637,4784.4458185190915,4569.077305511126
2022,17154.728172186766,9675.729322971321,872.250564077659,2863.0342044431345,2039.5270542404041,1704.1870264542467,1302.1454849445236,230.88985519702828,4974.671176739959,4701.058146231363
2023,18064.09219482029,9999.072903604774,923.559420788109,3140.4685225132125,2157.1709328407933,1843.8204150734,1440.3129062290936,253.97884071673116,5164.680491605733,4834.392411999041
2024,18997.704606906293,10323.575888171006,976.3342448331437,3430.730054760901,2278.113237943998,1988.9511811972443,1585.4436723529398,278.1673017373719,5354.4957853568485,4969.080102814157
2025,19955.582665575406,10649.255533800646,1030.5750362127624,3733.818801186204,2402.3539695500167,2139.5793248257796,1737.537783316062,303.4552382589509,5544.134315123934,5105.1212186767125
2026,20937.70563288481,10976.091102550869,1086.2817949269656,4049.7347617891173,2529.89312765885,2295.704845959006,1896.5952391184583,329.8426502814682,5733.57534296416,5242.515759586709
