Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,27084.679465527355,11392.481729253297,1038.2074830976617,12047.69751079322,1932.1093754893423,666.8530811795517,10081.74479391983,1937.5411369603369,4388.349570790928,4096.756299672367
2013,27902.478821154487,11537.208465240237,1066.483074453601,12603.617951954848,1991.5592920916856,680.5136266998333,10544.29130337532,2048.3367487137793,4445.951445465215,4136.26347534942
2014,28996.97170277271,10773.683799439132,1067.9289108822327,13652.00835210479,2062.629293409443,698.6025879169815,11085.913704313507,2196.391602655436,7026.072163746551,5212.999200977989
2015,29900.394746989303,10902.63288888872,1100.1290365924424,14292.966814287987,2130.2529713688846,714.2154965492936,11533.582034451887,2358.497493162558,7131.3301993137875,5284.012861378707
2016,30841.79255421539,11031.681063204453,1133.967904741914,14967.190981495824,2202.3045130201817,730.8771697505013,11974.55652827755,2546.513271175304,7236.199087602728,5354.825669300577
2017,31821.67272684967,11160.505949977094,1169.4482250493106,15674.433217671092,2279.592814292522,748.5655904340883,12409.061458533355,2760.3205418989946,7340.54509019883,5425.522651133847
2018,32840.218384197804,11288.338684801041,1206.51675512973,16414.246681751094,2362.9672906085825,767.2733629826631,12836.957556497668,2999.8806004832013,7443.765806356622,5496.328854601343
2019,33897.353449705915,11414.182991640782,1245.1087490766386,17185.943399528143,2453.3128530933236,786.9992565965006,13257.799330937587,3265.200496929007,7545.179303526583,5567.599302877595
2020,34995.95002869163,11537.321422666677,1287.15366874705,17988.948285771185,2551.482738190483,807.737243512239,13671.238272594004,3556.2969339416695,7644.894476990058,5640.135370214841
2021,36107.844360778814,11642.119804577227,1327.458418881829,18810.996404302758,2658.219388879651,828.6362513350318,14060.95386635163,3873.1660742284575,7736.698417763332,5705.5492549874625
2022,37256.32192795629,11742.8778084278,1368.843915830894,19661.17594171183,2774.3560887308813,850.5836049054551,14439.631633993917,4215.768417285308,7819.528070830012,5770.877759341657
2023,38441.73923708249,11839.841540898227,1411.3328133063235,20539.384731188547,2900.572307123843,873.4872717485453,14807.55707401697,4584.058534988534,7899.405483750325,5835.78086203182
2024,39663.79408321998,11933.227220977016,1454.941356798914,21445.271673049225,3037.491783024086,897.1964465719211,15164.627097771017,4977.960363974935,7976.509342158749,5900.449242444025
2025,40922.31623216731,12023.217239710848,1499.6795368727971,22378.46721255938,3185.7657494011964,921.5857618771479,15510.786363532054,5397.395769998196,8050.981634255163,5965.0575068067965
2026,42217.76911784775,12109.927110200199,1545.5462172340685,23338.814423891017,3346.119903010039,946.6017018851068,15846.397666412595,5842.316133016848,8122.959009517756,6029.717176680972
2027,43550.97229218397,12193.456021003583,1592.5320989077004,24326.175471743794,3519.3343916174954,972.2435441848861,16171.915240692406,6312.690827349489,8192.535973190787,6094.532797532353
2028,44922.356511613514,12273.929943976997,1640.6223947829624,25340.09522091864,3706.172492595103,998.4910540537361,16487.35364361315,6808.462703433124,8259.721191234486,6159.6622061537855
2029,46332.360931739095,12351.471801002386,1689.7952957573843,26379.990013028175,3907.4137173328045,1025.3405187688068,16792.611659755097,7329.566809979755,8324.478216388497,6225.269047173373
2030,47781.38873490032,12426.1670170308,1740.026195486335,27445.285173532728,4123.830608559176,1052.7827884211283,17087.639184014355,7875.92517606617,8398.123001710765,6289.530538580395
2031,49269.822015468366,12498.07089476741,1791.302953700745,28535.569278273106,4356.168560220199,1080.7856963171873,17372.557101883907,8447.470697488701,8446.642461153986,6358.390118127453
2032,50798.19214167597,12567.246789510555,1843.623032751192,29650.603491162947,4605.164861758677,1109.3160727488485,17647.75683168552,9044.095609140852,8504.220890327832,6426.012134403526
2033,52367.38820530015,12633.822191815649,1896.993157908753,30790.26494932313,4871.581919268431,1138.3715803714863,17913.89329370172,9665.607787065743,8559.748218535335,6494.324967173908
2034,53978.494319149424,12697.942785528729,1951.427692959071,31954.562614467126,5156.187029308853,1167.9605583584785,18171.81972852459,10311.750061894443,8613.538923951635,6563.261128823909
2035,55632.45021599985,12759.690346022633,2006.932805693193,33143.43900983615,5459.74245961389,1198.0850042550996,18422.244310911577,10982.259330158488,8665.831181100368,6632.755837210815
2036,57329.932482519,12819.106143162575,2063.509597725574,34356.69101037327,5782.99275438031,1228.7338462478697,18665.565176757507,11676.94196779842,8716.754873972082,6702.795563669654
2037,59071.29017024121,12876.102901214645,2121.134879803345,35593.92113438706,6126.680895404703,1259.8807644928984,18901.904405186197,12395.617107396716,8766.289469811214,6773.363665714424
2038,60856.72477734652,12930.462392020723,2179.758148295473,36854.639511200105,6491.56786156096,1291.493817877503,19131.355765473705,13138.019554976505,8814.344686801918,6844.375076514665
2039,62686.234600688695,12981.875918314197,2239.3064330169555,38138.223723771625,6878.422463915302,1323.5330872487953,19353.878782198342,13903.854730377392,8860.746913899025,6915.720868423498
2040,64559.858805405354,13030.080362910798,2299.71255027769,39444.07214816194,7288.010004018667,1355.9609263655893,19569.446664312734,14692.843548722434,8904.84199740513,6990.132039442363
2041,66477.8686193517,13074.964091916201,2360.935180313919,40771.71361943711,7721.085102721162,1388.7504904055208,19778.20712852397,15504.688345801282,8948.134279645901,7059.055270816159
2042,68440.64579116722,13116.45484339018,2422.9510906664023,42120.76738051511,8178.390362029612,1421.8816423747687,19980.309107305424,16339.186323739286,8989.102534345328,7130.9290640933
2043,70448.40428847345,13154.348689690138,2485.7267403189544,43490.79942322714,8660.661195979319,1455.3306604180125,20175.68354860293,17196.291489311494,9028.181209995046,7202.795258674599
2044,72501.3510984627,13188.427998513018,2549.233988757628,44881.39286671546,9168.625547358797,1489.0755821810073,20364.1845204462,18076.080061045774,9065.28457394941,7274.510098513558
2045,74599.67205317067,13218.50697185989,2613.442460625961,46292.10504578864,9703.011994106748,1523.0921318860649,20545.69202595774,18978.604697836592,9100.329468195474,7345.95424629621
2046,76743.56239812351,13244.4378228674,2678.3133853084073,47722.48881694444,10264.548353837316,1557.3559143467294,20720.219620484306,19903.794983517942,9133.243515610573,7417.046110135122
2047,78933.17849773643,13266.143258719649,2743.806085820515,49172.017408367574,10853.973087672617,1591.8364259506998,20887.809828418274,20851.4750294097,9163.966644090666,7487.747283162461
2048,81168.60714738976,13283.594758414203,2809.8854776834746,50640.060143932395,11472.034583567049,1626.4982058155351,21048.397309467397,21821.491835117024,9192.436784541374,7558.035095222018
2049,83449.89693966189,13296.80537535856,2876.5175306686247,52125.920158431516,12119.49055662839,1661.3008154258835,21201.90746379484,22813.650559521742,9218.591876211432,7627.9100649566535
2050,85777.09951428957,13305.761443461473,2943.6677514206026,53628.93710734468,12797.086062563507,1696.206703917469,21348.31280181681,23827.768746443377,9232.605324179314,7695.544245761351
2051,88150.31724635272,13310.423254140807,3011.2984520686746,55148.496505166855,13505.556738459887,1731.1846560711956,21487.587697761493,24863.700912250566,9263.688052458,7766.375337289875
2052,90569.67535985407,13310.6924787675,3079.370159280463,56684.10949728486,14245.611553046803,1766.208258509079,21619.82446145732,25921.34827884815,9282.489885662435,7834.901249877505
2053,93035.27442242188,13306.423292012443,3147.8474562872307,58235.39474150425,15017.935695322165,1801.2505409521157,21745.283601918683,27000.62489884876,9298.62975034392,7902.895987432837
2054,95547.22586260203,13297.446155163496,3216.693670126918,59802.06878486737,15823.190134929957,1836.2872929319497,21864.33618391566,28101.468679625,9311.950235297603,7970.309299392822
2055,98105.65036128511,13283.637417368283,3285.871062489022,61383.79951359902,16662.03966178432,1871.294147179932,21977.298957342544,29223.799766514272,9322.3237340935,8037.108674683242
2056,100710.63528447496,13264.95155968376,3355.339648582949,62980.10759897626,17535.162176124417,1906.2438300995452,22084.376579599964,30367.462629905363,9329.682464048832,8103.279268619069
2057,103362.28251777908,13241.415895773942,3425.0556333169707,64590.398621910135,18443.250093437422,1941.1092635306372,22185.627593531142,31532.278567810823,9334.001834715678,8168.84045979649
2058,106060.75482053189,13213.090701872787,3494.9773612988884,66214.09826790847,19386.98705150333,1975.8664872011261,22281.05752839914,32718.112753716574,9335.278232870083,8233.842395307429
2059,108806.23892170562,13180.076347657227,3565.060012784813,67850.57835987044,20367.060108101472,2010.4936256745773,22370.595445082814,33924.82819226962,9333.532534385906,8298.359830573994
2060,111598.89367423837,13142.467905867405,3635.2598494667545,69499.19705031477,21384.148006307973,2044.9679024734676,22454.216449328083,35152.24030194725,9333.494139038756,8362.893500270724
