Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,15308.701788197573,,,,,,,,,
2013,16178.495499451828,,,,,,,,,
2014,17232.45341427985,,,,,,,,,
2015,18264.90633522467,,,,,,,,,
2016,19377.73253709386,,,,,,,,,
2017,20572.262343640585,,,,,,,,,
2018,21849.670033364557,,,,,,,,,
2019,23211.01723966418,,,,,,,,,
2020,24659.354875634766,,,,,,,,,
2021,26175.308158639844,,,,,,,,,
2022,27775.38909809063,,,,,,,,,
2023,29460.386904127045,,,,,,,,,
2024,31230.502650761577,,,,,,,,,
2025,33085.97766090335,,,,,,,,,
2026,35027.573456932805,,,,,,,,,
2027,37056.368613281214,,,,,,,,,
2028,39173.08051346272,,,,,,,,,
2029,41378.41756000093,,,,,,,,,
2030,43673.04855320079,,,,,,,,,
2031,46057.62836476087,,,,,,,,,
2032,48532.941087634026,,,,,,,,,
2033,51100.10185809353,,,,,,,,,
2034,53760.444490281036,,,,,,,,,
2035,54749.68726881732,,,,,,,,,
2036,55294.416745889,,,,,,,,,
2037,55830.71581895366,,,,,,,,,
2038,56358.466874594225,,,,,,,,,
2039,56877.39180702185,,,,,,,,,
2040,57387.263439455746,,,,,,,,,
2041,57888.066994822206,,,,,,,,,
2042,58379.85387984096,,,,,,,,,
2043,58862.50023118625,,,,,,,,,
2044,59335.858958849385,,,,,,,,,
2045,59799.780459643254,,,,,,,,,
2046,60254.16133531052,,,,,,,,,
2047,60698.888426861944,,,,,,,,,
2048,61133.78387386611,,,,,,,,,
2049,61558.65120646637,,,,,,,,,
2050,61973.30627371028,,,,,,,,,
2051,62377.657476964974,,,,,,,,,
2052,62771.598190249126,,,,,,,,,
2053,63154.91900404657,,,,,,,,,
2054,63527.38560358451,,,,,,,,,
2055,63888.82804180659,,,,,,,,,
2056,64239.156009672835,,,,,,,,,
2057,64578.37894056416,,,,,,,,,
2058,64906.56644623274,,,,,,,,,
2059,65223.84928568896,,,,,,,,,
2060,65530.34997849137,,,,,,,,,
