Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,38860.65714285714,21431.914285714287,1046.2,13883.365714285716,1741.9314285714288,758.2571428571428,10756.057142857142,855.1542857142858,8296.971428571427,
2013,39626.46214285714,21725.589285714286,1062.8850000000002,14278.750714285714,1795.446428571429,764.7771428571427,11104.182142857142,896.6442857142858,8410.961428571429,
2014,40384.68,22016.4,1079.3600000000001,14669.08,1849.4800000000002,771.3199999999999,11441.599999999999,939.0000000000001,8522.64,
2015,41135.31071428571,22304.34642857143,1095.6250000000002,15054.353571428572,1904.032142857143,777.8857142857142,11768.310714285713,982.2214285714288,8632.007142857143,
2016,41878.35428571429,22589.428571428572,1111.68,15434.571428571428,1959.1028571428574,784.4742857142857,12084.314285714285,1026.3085714285717,8739.062857142857,
2017,42613.81071428571,22871.646428571432,1127.525,15809.733571428571,2014.6921428571432,791.0857142857142,12389.610714285713,1071.2614285714287,8843.807142857142,
2018,43341.68,23151.0,1143.16,16179.84,2070.8,797.7199999999999,12684.199999999999,1117.0800000000002,8946.24,
2019,44061.96214285714,23427.489285714288,1158.585,16544.890714285713,2127.426428571429,804.3771428571428,12968.082142857142,1163.764285714286,9046.361428571428,
2020,43908.0,23497.0,1172.0,16302.0,2117.0,821.0,12692.0,1215.0,9039.0,
2021,45479.765,23971.875,1188.805,17259.824999999997,2242.235,817.76,13503.724999999999,1259.7300000000002,9239.67,
2022,46177.28571428572,24239.771428571432,1203.6000000000001,17609.70857142857,2300.417142857143,824.4857142857143,13755.485714285713,1309.0114285714287,9332.857142857143,
2023,46867.21928571429,24504.803571428572,1218.1850000000002,17954.536428571428,2359.1178571428572,831.2342857142856,13996.539285714283,1359.1585714285716,9423.732857142857,
2024,47549.565714285716,24766.97142857143,1232.5600000000002,18294.30857142857,2418.337142857143,838.0057142857142,14226.885714285712,1410.1714285714288,9512.297142857142,
2025,48224.325,25026.275,1246.7250000000001,18629.024999999998,2478.0750000000003,844.8,14446.524999999998,1462.0500000000002,9598.55,
2026,48891.497142857144,25282.714285714286,1260.68,18958.68571428571,2538.3314285714287,851.6171428571428,14655.457142857142,1514.7942857142857,9682.491428571428,
2027,49551.08214285714,25536.289285714287,1274.4250000000002,19283.290714285715,2599.1064285714288,858.4571428571428,14853.682142857142,1568.4042857142858,9764.121428571429,
2028,50203.08,25787.000000000004,1287.96,19602.839999999997,2660.4000000000005,865.3199999999999,15041.199999999999,1622.88,9843.439999999999,
2029,50847.49071428571,26034.84642857143,1301.285,19917.33357142857,2722.212142857143,872.2057142857143,15218.010714285712,1678.2214285714288,9920.447142857143,
2030,52124.0,26448.0,1327.0,20646.0,2828.0,875.0,15752.0,1716.0,10107.0,
2031,52113.55071428571,26521.94642857143,1327.305,20531.15357142857,2847.392142857143,886.0457142857142,15539.510714285712,1791.5014285714287,10067.527142857143,
2032,52735.2,26761.2,1340.0000000000002,20830.48,2910.76,893.0,15684.199999999999,1849.44,10137.6,
2033,53349.262142857144,26997.589285714286,1352.4850000000001,21124.750714285714,2974.6464285714287,899.9771428571428,15818.182142857142,1908.244285714286,10205.361428571428,
2034,53955.73714285714,27231.114285714288,1364.7600000000002,21413.965714285714,3039.051428571429,906.9771428571428,15941.457142857142,1967.914285714286,10270.81142857143,
2035,54554.625,27461.775,1376.8250000000003,21698.125,3103.9750000000004,914.0,16054.024999999998,2028.4500000000003,10333.95,
2036,55145.92571428571,27689.57142857143,1388.6800000000003,21977.22857142857,3169.417142857143,921.0457142857142,16155.885714285712,2089.8514285714286,10394.777142857143,
2037,55729.639285714286,27914.503571428573,1400.3250000000003,22251.27642857143,3235.3778571428575,928.1142857142856,16247.039285714285,2152.1185714285716,10453.292857142857,
2038,56305.76571428571,28136.57142857143,1411.7600000000002,22520.26857142857,3301.857142857143,935.2057142857143,16327.485714285713,2215.2514285714283,10509.497142857143,
2039,56874.305,28355.775,1422.9850000000001,22784.204999999998,3368.8550000000005,942.3199999999999,16397.225,2279.25,10563.39,
2040,57449.0,28552.0,1419.0,23087.0,3446.0,945.0,16515.0,2365.0,10571.0,
2041,57988.622142857144,28785.589285714286,1444.805,23296.910714285714,3504.4064285714285,956.6171428571428,16504.582142857143,2409.8442857142854,10664.24142857143,
2042,58534.4,28996.200000000004,1455.4,23545.68,3572.96,963.8,16542.199999999997,2476.44,10711.2,
2043,59072.59071428572,29203.94642857143,1465.785,23789.39357142857,3642.0321428571433,971.0057142857142,16569.110714285714,2543.9014285714284,10755.847142857143,
2044,59603.194285714286,29408.828571428574,1475.96,24028.05142857143,3711.6228571428574,978.2342857142856,16585.314285714285,2612.2285714285713,10798.182857142856,
2045,60126.21071428571,29610.84642857143,1485.9250000000002,24261.65357142857,3781.732142857143,985.4857142857143,16590.810714285715,2681.4214285714284,10838.207142857143,
2046,60641.64,29810.0,1495.6800000000003,24490.2,3852.3599999999997,992.76,16585.6,2751.48,10875.92,
2047,61149.482142857145,30006.289285714287,1505.2250000000001,24713.690714285716,3923.506428571429,1000.0571428571428,16569.682142857142,2822.4042857142854,10911.321428571428,
2048,61649.73714285714,30199.714285714286,1514.5600000000002,24932.125714285714,3995.171428571429,1007.3771428571428,16543.057142857142,2894.1942857142853,10944.411428571428,
2049,62142.405,30390.275,1523.6850000000002,25145.505,4067.3549999999996,1014.7199999999999,16505.725,2966.85,10975.19,
2050,62514.0,30560.0,1538.0,25262.0,4128.0,1025.0,16367.0,3033.0,11007.0,
2051,63104.97928571428,30762.803571428572,1541.3050000000003,25557.09642857143,4213.277857142857,1029.4742857142855,16398.939285714285,3114.758571428571,11029.812857142857,
2052,63574.885714285716,30944.77142857143,1549.8000000000002,25755.30857142857,4287.017142857143,1036.8857142857141,16329.485714285714,3190.011428571428,11053.657142857142,
2053,64037.205,31123.875,1558.085,25948.465000000004,4361.275,1044.32,16249.325,3266.1299999999997,11075.189999999999,
2054,64491.93714285715,31300.114285714284,1566.1600000000003,26136.565714285716,4436.051428571429,1051.7771428571427,16158.457142857143,3343.1142857142854,11094.41142857143,
2055,64939.08214285714,31473.489285714288,1574.025,26319.610714285714,4511.346428571428,1059.2571428571428,16056.882142857143,3420.964285714285,11111.32142857143,
2056,65378.64,31644.0,1581.6800000000003,26497.600000000002,4587.16,1066.7599999999998,15944.6,3499.6799999999994,11125.92,
2057,65810.61071428572,31811.646428571432,1589.1250000000002,26670.533571428576,4663.492142857142,1074.2857142857142,15821.610714285716,3579.261428571428,11138.207142857143,
2058,66234.99428571429,31976.428571428572,1596.3600000000001,26838.41142857143,4740.342857142857,1081.8342857142857,15687.914285714287,3659.7085714285704,11148.182857142858,
2059,66651.79071428571,32138.34642857143,1603.3850000000002,27001.233571428573,4817.712142857143,1089.405714285714,15543.510714285714,3741.021428571428,11155.847142857143,
2060,67061.0,32297.4,1610.2000000000003,27159.000000000007,4895.599999999999,1097.0,15388.400000000001,3823.199999999999,11161.2,
