"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"IEA 2013, Transition to Sustainable Buildings",http://www.iea.org/publications/freepublications/publication/Building2013_free.pdf,OECD90,,2 - Public Sector/ Multilateral Agency,2010,,317.0,kWh/m2/yr,,kWh/m2/yr,0.18577256807835807,See explanation for weighting methodology,
"IEA 2013, Transition to Sustainable Buildings",http://www.iea.org/publications/freepublications/publication/Building2013_free.pdf,Eastern Europe,,2 - Public Sector/ Multilateral Agency,2010,,550.00000044,kWh/m2/yr,,kWh/m2/yr,0.018414490344523058,See explanation for weighting methodology,
"IEA 2013, Transition to Sustainable Buildings",http://www.iea.org/publications/freepublications/publication/Building2013_free.pdf,Asia (sans Japan),,2 - Public Sector/ Multilateral Agency,2010,,191.66666682,kWh/m2/yr,,kWh/m2/yr,0.23540403618767158,See explanation for weighting methodology,
"IEA 2013, Transition to Sustainable Buildings",http://www.iea.org/publications/freepublications/publication/Building2013_free.pdf,Middle East & Africa,,2 - Public Sector/ Multilateral Agency,2010,,177.77777792,kWh/m2/yr,,kWh/m2/yr,0.03556628799986402,See explanation for weighting methodology,
"IEA 2013, Transition to Sustainable Buildings",http://www.iea.org/publications/freepublications/publication/Building2013_free.pdf,Latin America,,2 - Public Sector/ Multilateral Agency,2010,,173.61111125000002,kWh/m2/yr,,kWh/m2/yr,0.012046130111065713,See explanation for weighting methodology,
"Hinge, Bertoldi, and Waide (2004)",https://www.eceee.org/library/conference_proceedings/ACEEE_buildings/2004/Panel_4/p4_14/,OECD90,,1  - Peer Reviewed,2004,,294.0,kWh/m2/yr,,kWh/m2/yr,0.18577256807835807,See explanation for weighting methodology,
"Hinge, Bertoldi, and Waide (2004)",https://www.eceee.org/library/conference_proceedings/ACEEE_buildings/2004/Panel_4/p4_14/,Eastern Europe,,1  - Peer Reviewed,2004,,253.0,kWh/m2/yr,,kWh/m2/yr,0.018414490344523058,See explanation for weighting methodology,
"Hinge, Bertoldi, and Waide (2004)",https://www.eceee.org/library/conference_proceedings/ACEEE_buildings/2004/Panel_4/p4_14/,Asia (sans Japan),,1  - Peer Reviewed,2004,,248.0,kWh/m2/yr,,kWh/m2/yr,0.23540403618767158,See explanation for weighting methodology,
"Hinge, Bertoldi, and Waide (2004)",https://www.eceee.org/library/conference_proceedings/ACEEE_buildings/2004/Panel_4/p4_14/,Middle East & Africa,,1  - Peer Reviewed,2004,,216.0,kWh/m2/yr,,kWh/m2/yr,0.03556628799986402,See explanation for weighting methodology,
"Hinge, Bertoldi, and Waide (2004)",https://www.eceee.org/library/conference_proceedings/ACEEE_buildings/2004/Panel_4/p4_14/,Latin America,,1  - Peer Reviewed,2004,,216.0,kWh/m2/yr,,kWh/m2/yr,0.012046130111065713,See explanation for weighting methodology,
