Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,117121158563.92409,,,,,,,,,
2013,125577049555.37039,,,,,,,,,
2014,135397567855.56998,,,,,,,,,
2015,143996721884.6336,,,,,,,,,
2016,153560825025.3848,,,,,,,,,
2017,163473927273.83035,,,,,,,,,
2018,173732974898.1535,,,,,,,,,
2019,184333657743.31528,,,,,,,,,
2020,193459550290.7573,,,,,,,,,
2021,206545012998.67773,,,,,,,,,
2022,218151322746.57443,,,,,,,,,
2023,230089323753.00574,,,,,,,,,
2024,242358115106.35324,,,,,,,,,
2025,256006249127.35614,,,,,,,,,
2026,267883462935.4873,,,,,,,,,
2027,281136358299.5316,,,,,,,,,
2028,294714049190.2399,,,,,,,,,
2029,308615316929.28033,,,,,,,,,
2030,323199044971.27124,,,,,,,,,
2031,337383737942.1007,,,,,,,,,
2032,352248345619.528,,,,,,,,,
2033,367431946416.62604,,,,,,,,,
2034,382933869150.49915,,,,,,,,,
2035,399294062691.4272,,,,,,,,,
2036,414889409729.5043,,,,,,,,,
2037,431340772745.5833,,,,,,,,,
2038,448106775355.71796,,,,,,,,,
2039,465186823815.546,,,,,,,,,
2040,481787901647.32697,,,,,,,,,
2041,500285523633.57336,,,,,,,,,
2042,518301482178.2662,,,,,,,,,
2043,536625761882.09186,,,,,,,,,
2044,555255645435.2933,,,,,,,,,
2045,573916971291.184,,,,,,,,,
2046,593421636436.8676,,,,,,,,,
2047,612953101961.7982,,,,,,,,,
2048,632780068602.2428,,,,,,,,,
2049,652899642786.1677,,,,,,,,,
2050,673620665188.3246,,,,,,,,,
2051,694004892666.7909,,,,,,,,,
2052,714984846579.6781,,,,,,,,,
2053,736243566055.4048,,,,,,,,,
2054,757775082905.8702,,,,,,,,,
2055,779574102132.1215,,,,,,,,,
2056,801636851091.7349,,,,,,,,,
2057,823960970935.1672,,,,,,,,,
2058,846544364190.5143,,,,,,,,,
2059,869385737248.4684,,,,,,,,,
2060,892483939256.4799,,,,,,,,,
