Year,World
2012,22374399399366.055
2013,23261588934959.56
2014,12627813321591.922
2015,13436840447479.37
2016,14195233376260.262
2017,14978035642215.102
2018,15795931666635.273
2019,16106413570097.26
2020,16641024552320.287
2021,17318373019010.545
2022,17816665746760.758
2023,18321424552614.28
2024,18834138522495.996
2025,19332478692465.098
2026,19884665180034.496
2027,20424135674450.574
2028,20974072475105.81
2029,21535160206070.223
2030,22078302401256.742
2031,22693432070020.965
2032,23292035990760.438
2033,23904905243256.305
2034,24533209541511.57
2035,25150459322866.523
2036,25840152933238.785
2037,26520270103371.797
2038,27218877742009.88
2039,27936358875617.902
2040,28689651206741.457
2041,29429778010582.27
2042,30206953157179.01
2043,31005181954132.266
2044,31824973434706.402
2045,32717206419468.066
2046,33531208047640.49
2047,34418616530557.375
2048,35329450298135.25
2049,36264083324735.29
2050,37192934777069.82
2051,38206253759005.72
2052,39214598105012.91
2053,40248243389848.92
2054,41307485368223.375
2055,42392624923002.31
2056,43503966524690.4
2057,44641853777731.94
2058,45806671661076.59
2059,46998839515616.35
2060,48218759202328.39
