Year,World
2012,22374399399366.055
2013,23275792425735.008
2014,11701984878378.354
2015,12509837413588.664
2016,13321467385985.11
2017,14129256286019.264
2018,14971567099310.426
2019,14576669853977.184
2020,14260765345504.09
2021,13862961528756.078
2022,13512006776355.697
2023,13166567975531.594
2024,12827875218968.78
2025,12436920941681.846
2026,12175573583850.652
2027,11864301528606.45
2028,11564536304274.951
2029,11277488019867.803
2030,11025935493680.074
2031,10746387151390.123
2032,10504752145932.736
2033,10280699451950.441
2034,10075475597693.36
2035,9898426979826.38
2036,9726473465892.71
2037,9585145277606.0
2038,9467593704729.016
2039,9375080753553.736
2040,9266950903858.059
2041,9270171593144.365
2042,9260235165645.055
2043,9280239327545.887
2044,9331350676168.703
2045,9470041286172.605
2046,9531598479384.99
2047,9683131876978.541
2048,9870520992810.436
2049,10094941012028.162
2050,10336009060305.338
2051,10659577956380.758
2052,11002159190070.441
2053,11386365420981.152
2054,11813205199885.215
2055,12283721042201.168
2056,12799037797861.652
2057,13360358587205.336
2058,13968900906898.959
2059,14625928757339.041
2060,15332715859454.113
