Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,51182988940878.09,,,,,,,,,
2013,52810620007378.75,,,,,,,,,
2014,54519058887489.27,,,,,,,,,
2015,56245483162921.734,,,,,,,,,
2016,57932276697270.586,,,,,,,,,
2017,59664601710193.01,,,,,,,,,
2018,61412356480119.516,,,,,,,,,
2019,63174255270787.31,,,,,,,,,
2020,65038052429617.484,,,,,,,,,
2021,66735341969295.48,,,,,,,,,
2022,68531958404610.23,,,,,,,,,
2023,70337575915614.984,,,,,,,,,
2024,72150908766046.95,,,,,,,,,
2025,73981705037609.69,,,,,,,,,
2026,75795577540141.25,,,,,,,,,
2027,77624341991277.97,,,,,,,,,
2028,79455678836790.61,,,,,,,,,
2029,81288302340416.4,,,,,,,,,
2030,82938224265526.16,,,,,,,,,
2031,84952266376956.14,,,,,,,,,
2032,86781035437344.45,,,,,,,,,
2033,88605948210794.67,,,,,,,,,
2034,90425718961043.92,,,,,,,,,
2035,92342573139020.47,,,,,,,,,
2036,94044691446888.39,,,,,,,,,
2037,95841321709957.97,,,,,,,,,
2038,97627667004775.36,,,,,,,,,
2039,99402441595077.75,,,,,,,,,
2040,101106484693346.16,,,,,,,,,
2041,102912135717086.22,,,,,,,,,
2042,104644483776266.72,,,,,,,,,
2043,106360118185880.92,,,,,,,,,
2044,108057753209666.06,,,,,,,,,
2045,109845116624198.3,,,,,,,,,
2046,111393882154697.86,,,,,,,,,
2047,113029804603418.89,,,,,,,,,
2048,114642584721259.6,,,,,,,,,
2049,116230936771957.14,,,,,,,,,
2050,117740510358007.17,,,,,,,,,
2051,119329213726871.55,,,,,,,,,
2052,120836567158562.77,,,,,,,,,
2053,122314349578059.6,,,,,,,,,
2054,123761275249099.22,,,,,,,,,
2055,125176058435418.78,,,,,,,,,
2056,126557413400755.5,,,,,,,,,
2057,127904054408846.56,,,,,,,,,
2058,129214695723429.17,,,,,,,,,
2059,130488051608240.47,,,,,,,,,
2060,131722836327017.66,,,,,,,,,
