Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,,,,,,,,,
2013,,,,,,,,,,
2014,1295.1461348567154,,,,,,,,,
2015,1380.7004173429489,,,,,,,,,
2016,1469.3025184196522,,,,,,,,,
2017,1560.9467839980275,,,,,,,,,
2018,1655.621553322815,,,,,,,,,
2019,4916.200340049631,,,,,,,,,
2020,8089.501739768793,,,,,,,,,
2021,11230.756175457722,,,,,,,,,
2022,14305.98872767534,,,,,,,,,
2023,17339.29235040528,,,,,,,,,
2024,20339.272017139425,,,,,,,,,
2025,23313.853797644595,,,,,,,,,
2026,26270.32471910723,,,,,,,,,
2027,29215.416647060716,,,,,,,,,
2028,32155.37393246564,,,,,,,,,
2029,35095.979345667816,,,,,,,,,
2030,38111.46346759397,,,,,,,,,
2031,40999.024703335606,,,,,,,,,
2032,43949.94792206362,,,,,,,,,
2033,46888.09406212367,,,,,,,,,
2034,49818.46967047787,,,,,,,,,
2035,52745.67268463486,,,,,,,,,
2036,55673.8992037892,,,,,,,,,
2037,58606.99314091683,,,,,,,,,
2038,61548.50734823047,,,,,,,,,
2039,64501.70773461797,,,,,,,,,
2040,67365.06459010654,,,,,,,,,
2041,70454.91217753108,,,,,,,,,
2042,73460.18694216316,,,,,,,,,
2043,76487.73925701414,,,,,,,,,
2044,79539.69992689404,,,,,,,,,
2045,82618.01611330349,,,,,,,,,
2046,85724.48722927437,,,,,,,,,
2047,88860.73326287317,,,,,,,,,
2048,92028.1848342581,,,,,,,,,
2049,95228.12083164282,,,,,,,,,
2050,98530.78846946951,,,,,,,,,
2051,101730.16374631599,,,,,,,,,
2052,105034.49799834669,,,,,,,,,
2053,108375.66456137372,,,,,,,,,
2054,111754.50962017501,,,,,,,,,
2055,115171.83030670445,,,,,,,,,
2056,118628.38412843843,,,,,,,,,
2057,122124.90752816286,,,,,,,,,
2058,125662.1088706733,,,,,,,,,
2059,129240.67007786204,,,,,,,,,
2060,132844.11137195444,,,,,,,,,
