Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,27084.679465527355,11392.481729253297,1038.2074830976617,12047.69751079322,1932.1093754893423,666.8530811795517,10081.74479391983,1937.5411369603369,4388.349570790928,4096.756299672367
2013,27902.478821154487,11537.208465240237,1066.483074453601,12603.617951954848,1991.5592920916856,680.5136266998333,10544.29130337532,2048.3367487137793,4445.951445465215,4136.26347534942
2014,28962.035860527696,8239.69770282025,1121.2617494471426,12849.862132412958,2222.3125856713227,709.4243925562229,9815.9241764115,2642.5369111096984,3853.5086234125924,4217.211444944425
2015,30435.885212413286,8344.678534926104,1166.000109074038,13633.378270542626,2314.1299015874724,730.0442987914897,10375.680467422855,2849.1893509408014,3909.895597534538,4277.800110870208
2016,31958.39083058744,8449.550535873002,1211.3906283871836,14450.083337118287,2410.6323355713535,752.0561519723427,10928.785527357966,3084.02390241005,3966.6817408299535,4339.456462185692
2017,33529.38879471376,8554.240250745324,1257.4455854378566,15299.493087725381,2512.457598392521,775.4288196563002,11475.302467476999,3346.8750899462502,4023.7859849918837,4402.16155745665
2018,35148.662383883726,8658.717530718686,1304.1723438912434,16181.033347235158,2620.25764825096,800.1332724007585,12015.135761448802,3637.5698972845275,4081.1059411128376,4465.91335732492
2019,36815.92002089736,8762.98998645694,1351.5917565745665,17094.04020040524,2734.6889888330643,826.1376731495042,12548.079933115645,3955.9197358766505,4138.471425882626,4530.703141824907
2020,38512.50269433735,8866.364197044039,1401.135847601675,18026.84576546658,2858.7858767258404,853.4228725203228,13064.21351748623,4304.561562059252,4192.189307716526,4596.963314163923
2021,40293.575811200775,8970.841461733537,1448.5505656577154,19012.14499715058,2986.0445783753116,881.9314442346307,13592.826806372272,4674.8706620829325,4252.897041090035,4663.372620090011
2022,42103.845735009156,9074.280806126968,1498.0737233045575,20016.38380183502,3124.248483519406,911.6729298819854,14104.714534420933,5075.156976401296,4309.939511468399,4731.252672927392
2023,43961.71989897929,9177.392082516084,1548.28410214645,21050.24958362649,3271.6395516709395,942.6125596579803,14609.703095875728,5502.448767636648,4366.853204810035,4800.130575036853
2024,45867.21751594138,9280.219104591086,1599.1763910636043,22113.41541912008,3428.835930133397,974.7268882512157,15107.885909050096,5956.600149096779,4423.625934281269,4869.96514549642
2025,47820.34351164382,9382.777510273305,1650.745856294365,23205.53481867532,3596.4609251416973,1007.9922210439075,15599.350885069049,6437.462773525953,4480.243145871609,4940.725968699017
2026,49821.05116522134,9485.035223454568,1702.9904856865212,24326.196931728628,3775.1493416915914,1042.3837196440813,16084.14609464708,6944.880685674463,4536.674251430875,5012.399716932466
2027,51869.27629349495,9586.911014679277,1755.9084895034066,25474.960560114676,3965.5441652296613,1077.8765154823302,16562.31211534595,7478.692077890504,4592.888957389624,5084.991532347197
2028,53964.99132431091,9688.308787743104,1809.4955505007645,26651.41871863266,4168.2866592620785,1114.4469008186534,17033.929447850307,8038.736517551326,4648.875427054124,5158.512402654927
2029,56108.17345728164,9789.106749859942,1863.7468288375967,27855.163165599562,4384.020948058837,1152.0714347981068,17499.08950696291,8624.851436906247,4704.627202926731,5232.98198481584
2030,58370.49966108797,9890.578736333782,1912.9910401178531,29130.023626231345,4603.858061612863,1190.6834436799293,17996.94740587663,9225.595076790343,4767.361836138621,5306.647233116906
2031,60536.831244428155,9988.483546639982,1974.2287992143654,30342.877003835063,4857.033449404171,1230.387222234561,18410.367438304602,9874.648228966222,4815.374257630737,5384.807961497911
2032,62822.239004639385,10086.9139276794,2030.4572151690418,31626.030229749613,5115.588766741159,1271.0292146106096,18856.616561729163,10538.013860923587,4870.322413892427,5462.154516178921
2033,65155.00440854457,10184.363363916247,2087.347244800629,32934.82931115915,5389.702812825657,1312.6268942547151,19296.74482707931,11226.808646210424,4924.940238967764,5540.465209209203
2034,67535.1149606254,10280.702066243257,2144.904322840405,34268.85609039596,5680.024266484162,1355.1545080619667,19730.882277735043,11940.868019242525,4979.184450454444,5619.7536613578895
2035,69962.55125617306,10375.810805546256,2203.132983490121,35627.69407707696,5987.199246755859,1398.5865412278479,20159.136755158463,12680.029016195209,5033.016809965564,5700.027147484145
2036,72437.27207627177,10469.590527769979,2262.0338705555628,37010.9214320496,6311.870127035511,1442.8980433468962,20581.577744631686,13444.129613078396,5086.409801707759,5781.288135578025
2037,74959.23376394686,10561.960865894454,2321.6069398883333,38418.1259514071,6654.6746344530075,1488.0644327421396,20998.241167268356,14233.012564967083,5139.3444814985605,5863.525683775917
2038,77528.40959306639,10652.844868271195,2381.855477328622,39848.911655275275,7016.248414938865,1534.0610308526673,21409.155873198193,15046.525914823133,5191.801389231222,5946.716429865056
2039,80144.77459557423,10742.174074516703,2442.78346787314,41302.88986299407,7397.2247713936595,1580.8632529560591,21814.333444765303,15884.521646086097,5243.764569736607,6030.828344994177
2040,82703.74436633891,10829.858412707988,2512.895322650815,42713.302178189035,7812.537179841343,1628.5107386861464,22155.186004594245,16763.769199927858,5294.87737259685,6118.486996525849
2041,85518.91126207683,10915.88343010332,2566.68678724037,44278.804114404884,8219.928255262954,1676.7855697816412,22607.513400256084,17633.355720336986,5346.142424110432,6201.728587933999
2042,88276.5632401725,11000.109895922309,2629.6617334366692,45799.883235952846,8662.934620979613,1725.85562483972,22995.538096975193,18543.880108934205,5396.5197415082475,6288.505611467807
2043,91081.15623400787,11082.45188707367,2693.31777302517,47342.452482116234,9127.895900303383,1775.6320913435302,23377.88261633199,19478.262492349266,5446.324306965726,6376.151578312851
2044,93932.58411307582,11162.796303455327,2757.653328236926,48906.05561360239,9615.450592300447,1826.0905927355586,23754.573547162938,20436.33997189578,5495.529317845049,6464.651255746621
2045,96830.74488380771,11241.047918395898,2822.666140826173,50490.23609839185,10126.237574263565,1877.206461187261,24125.61568872384,21417.950788637056,5544.113316365575,6553.993919561602
2046,99775.55363990883,11317.120026694807,2888.354791991314,52094.549608762725,10660.895511032311,1928.9547864411645,24491.000715829727,22422.934943077165,5592.055920637606,6644.170786629461
2047,102766.93188403384,11390.967947936175,2954.715849496873,53718.54882561061,11220.064141078423,1981.3101426228113,24850.677699305117,23451.13594328125,5639.349569037587,6735.182668298507
2048,105804.7883788608,11462.591325236164,3021.741952507658,55361.76666040613,11804.384886915679,2034.2466855358941,25204.550970515385,24502.39948703759,5686.00153091467,6827.041450193306
2049,108889.029777774,11532.017704313977,3089.4236531080714,57023.728095575374,12414.500000420272,2087.7382438877694,25552.49574041518,25576.57335127972,5732.027888967555,6919.765968560128
2050,112087.25516145704,11597.886749515703,3152.0847538343937,58748.19872517358,13041.518539416895,2141.7159476533384,25933.468421740243,26662.223760055862,5770.66115000394,7011.603230750721
2051,115196.3069581344,11664.249664744331,3226.723520832191,60402.014647109725,13714.67843537346,2196.282831153954,26230.25712776406,27793.03304258136,5822.22225570449,7107.8591681458365
2052,118419.17486455334,11726.934802898491,3296.3329168243877,62117.43488055514,14406.021368958192,2251.285004144674,26560.0247000416,28935.000946077267,5866.365007652474,7203.228366705306
2053,121688.02009019844,11787.232830581228,3366.5744692821213,63849.72546572578,15125.718394039905,2306.7398025072675,26883.563265668272,30099.24193949884,5909.850039490503,7299.485146995983
2054,125002.67951281725,11845.05701025823,3437.441741680205,65598.37824620839,15874.407468796207,2362.6217088968087,27200.701759630683,31285.58741228268,5952.658300843204,7396.636562975459
2055,128363.01845471984,11900.324296222117,3508.928891676472,67362.90428314176,16652.727169737824,2418.9051825771116,27511.329510811465,32493.870077778218,5994.770889717585,7494.687462571791
2056,131768.9515149291,11952.972642840852,3581.031781299342,69142.84429994215,17461.31745326048,2475.5646741727446,27815.41379373417,33723.92803811046,6036.1746673900825,7593.641404421299
2057,135220.43475742577,12002.94006510507,3653.7466216882785,70937.77193853965,18300.81894551913,2532.574563938728,28113.020098866706,34975.601481777245,6076.854576369746,7693.49721141996
2058,138717.43090228393,12050.14184058542,3727.068690981106,72747.27500507362,19171.87178193257,2589.909156405018,28404.267725292775,36248.727130480846,6116.78697469123,7794.248696877507
2059,142259.92283011114,12094.486976505914,3800.99328287479,74570.96020313786,20075.116242041255,2647.5427120760346,28689.330683196382,37543.14154189876,6155.944895953803,7895.8862767850305
2060,145831.4717038916,12136.575818253461,3876.933758171323,76397.37216738607,21013.575896955484,2705.460241996187,28958.59824028526,38861.50206992902,6197.748793136418,7998.844115532505
