"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Arasteh et al (2006) (Commercial, Low-e) - Arasteh, Dariush, Steve Selkowitz, Josh Apte, and Marc LaFrance. “Zero Energy Windows,” May 17, 2006, 16.",http://eta-publications.lbl.gov/sites/default/files/60049.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2006,,0.38823529411764707,,,,,,True
"Arasteh et al (2006) (Commercial, Triple Pane Low-e) - Arasteh, Dariush, Steve Selkowitz, Josh Apte, and Marc LaFrance. “Zero Energy Windows,” May 17, 2006, 16.",http://eta-publications.lbl.gov/sites/default/files/60049.pdf,OECD90,USA,2 - Public Sector/ Multilateral Agency,2006,,0.5294117647058824,,,,,,True
"Plum et al (2015) (Large office clear panel). Plum, Christopher, Guustav Brandstrom, Kerry Haglund, and John Carmody. “Window Retrofit Technologies.” Minneapolis, MN: Center for Energy and Environment, March 2015. https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx.",https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx,OECD90,USA,2 - Public Sector/ Multilateral Agency,2015,,0.057,,,,,,
"Plum et al (2015) (Large office low-e panel). Plum, Christopher, Guustav Brandstrom, Kerry Haglund, and John Carmody. “Window Retrofit Technologies.” Minneapolis, MN: Center for Energy and Environment, March 2015. https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx.",https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx,OECD90,USA,2 - Public Sector/ Multilateral Agency,2015,,0.083,,,,,,
"Plum et al (2015) (Medium office clear panel). Plum, Christopher, Guustav Brandstrom, Kerry Haglund, and John Carmody. “Window Retrofit Technologies.” Minneapolis, MN: Center for Energy and Environment, March 2015. https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx.",https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx,OECD90,USA,2 - Public Sector/ Multilateral Agency,2015,,0.042,,,,,,
"Plum et al (2015) (Medium office low-e panel). Plum, Christopher, Guustav Brandstrom, Kerry Haglund, and John Carmody. “Window Retrofit Technologies.” Minneapolis, MN: Center for Energy and Environment, March 2015. https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx.",https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx,OECD90,USA,2 - Public Sector/ Multilateral Agency,2015,,0.059,,,,,,
"Plum et al (2015) (Small office clear panel). Plum, Christopher, Guustav Brandstrom, Kerry Haglund, and John Carmody. “Window Retrofit Technologies.” Minneapolis, MN: Center for Energy and Environment, March 2015. https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx.",https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx,OECD90,USA,2 - Public Sector/ Multilateral Agency,2015,,0.029,,,,,,
"Plum et al (2015) (Small office low-e panel). Plum, Christopher, Guustav Brandstrom, Kerry Haglund, and John Carmody. “Window Retrofit Technologies.” Minneapolis, MN: Center for Energy and Environment, March 2015. https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx.",https://www.mncee.org/getattachment/Resources/Projects/Window-Retrofits-Increasing-Window-Efficiency-Wit/Window-Retrofit-Technologies-Final-Report.pdf.aspx,OECD90,USA,2 - Public Sector/ Multilateral Agency,2015,,0.039,,,,,,
"Menzies & Wherrett (2005) (double-glazed air, low-e) - Menzies, Gf, and Jr Wherrett. “Multiglazed Windows: Potential for Savings in Energy, Emissions and Cost.” Building Services Engineering Research and Technology 26, no. 3 (August 2005): 249–58. https://doi.org/10.1191/0143624405bt132tn.",http://journals.sagepub.com/doi/10.1191/0143624405bt132tn,OECD90,EU,1  - Peer Reviewed,2005,,0.08,,,,,,
"Menzies & Wherrett (2005) (double-glazed argon, low-e) - Menzies, Gf, and Jr Wherrett. “Multiglazed Windows: Potential for Savings in Energy, Emissions and Cost.” Building Services Engineering Research and Technology 26, no. 3 (August 2005): 249–58. https://doi.org/10.1191/0143624405bt132tn.",http://journals.sagepub.com/doi/10.1191/0143624405bt132tn,OECD90,EU,1  - Peer Reviewed,2005,,0.095,,,,,,
"Menzies & Wherrett (2005) (double-glazed krypton, low-e) - Menzies, Gf, and Jr Wherrett. “Multiglazed Windows: Potential for Savings in Energy, Emissions and Cost.” Building Services Engineering Research and Technology 26, no. 3 (August 2005): 249–58. https://doi.org/10.1191/0143624405bt132tn.",http://journals.sagepub.com/doi/10.1191/0143624405bt132tn,OECD90,EU,1  - Peer Reviewed,2005,,0.117,,,,,,
"Menzies & Wherrett (2005) (triple-glazed argon, low-e) - Menzies, Gf, and Jr Wherrett. “Multiglazed Windows: Potential for Savings in Energy, Emissions and Cost.” Building Services Engineering Research and Technology 26, no. 3 (August 2005): 249–58. https://doi.org/10.1191/0143624405bt132tn.",http://journals.sagepub.com/doi/10.1191/0143624405bt132tn,OECD90,EU,1  - Peer Reviewed,2005,,0.14,,,,,,
"Menzies & Wherrett (2005) (triple-glazed krypton, low-e) - Menzies, Gf, and Jr Wherrett. “Multiglazed Windows: Potential for Savings in Energy, Emissions and Cost.” Building Services Engineering Research and Technology 26, no. 3 (August 2005): 249–58. https://doi.org/10.1191/0143624405bt132tn.",,OECD90,EU,1  - Peer Reviewed,2005,,0.156,,,,,,
"Raji et al (2016) - Raji, Babak, Martin J. Tenpierik, and Andy van den Dobbelsteen. “An Assessment of Energy-Saving Solutions for the Envelope Design of High-Rise Buildings in Temperate Climates: A Case Study in the Netherlands.” Energy and Buildings 124 (July 2016): 210–21. https://doi.org/10.1016/j.enbuild.2015.10.049.",https://www.sciencedirect.com/science/article/pii/S0378778815303637,OECD90,EU,1  - Peer Reviewed,2016,,0.09633333333333333,,,,,,
