Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,,270.30449556635824,19.433010763288003,110.59625872120357,199.4828604275316,88.89759252780352,90.31559605937242,111.50207876633739,82.71013932324676,54.34358236801642
2013,,292.85824983974203,21.054468625573623,119.8242252688086,216.12737611125158,96.31505871964964,97.85137809033468,120.80562542100297,89.6113347854432,58.87791983989448
2014,,315.5154663404472,22.68336470146689,129.09452383622235,232.8482462078311,103.76655151141287,105.42172947875648,130.1518508087616,96.54418852701272,63.43305795757991
2015,,338.25754524878926,24.318361793466277,138.3995442264125,249.63174417814506,111.24595380471519,113.02043555255892,139.53308240254282,103.50300921206296,68.00525730552606
2016,,362.77872321558783,26.081263717679054,148.4324907258131,267.7282050291585,119.31046520925847,121.21358380009032,149.6482020618314,111.00621422444922,72.93513703914806
2017,,377.2049900964018,27.118411838288466,154.33506049620726,278.374690862278,124.05496785684063,126.03376590443287,155.59911583660372,115.42048984027427,75.83547734187914
2018,,384.56844233565596,27.64779277337267,157.34784897102514,283.8088680195252,126.47665594379464,128.4940822844825,158.6365800484112,117.67362351210872,77.315868455754
2019,,391.82765926753075,28.16967991577698,160.31798911696978,289.166120236142,128.86406318069095,130.91957100139362,161.63104662738496,119.89486235075628,78.77530349932616
2020,,399.0433597795395,28.688438530652128,163.2703243306656,294.4912576339051,131.23715876156615,133.33051977737506,164.60756244580867,122.10278565374314,80.22598974964426
2021,,406.0362373891334,29.191177730637918,166.13149058576585,299.65195326073376,133.5369724699248,135.6670177633128,167.492162601624,124.24252765155218,81.6318783922663
2022,,413.0331934947429,29.694210146083567,168.99432557523022,304.815658789598,135.83812751179013,138.00487847833833,170.3784451592914,126.38351762332839,83.03858699936468
2023,,419.93527824112465,30.190421971508552,171.81834353589014,309.90934990722667,138.10808131367054,140.31104026309023,173.22559276381233,128.49547802486728,84.42622211856657
2024,,426.74613205817195,30.680074928469345,174.60503396545255,314.93571322586723,140.34803113812941,142.58671947764057,176.03510711237405,130.57952278682336,85.7955156429962
2025,,432.9344876750925,31.12497460007376,177.13702655193816,319.5026771500874,142.3832540999136,144.65440623585928,178.58783755803765,132.47309009203912,87.03965852151572
2026,,441.27175022048755,31.724365714311613,180.54825374431294,325.65551962207815,145.12520838004838,147.44009736805128,182.02700383266608,135.02419877877875,88.7158301031616
2027,,449.53345185506095,32.31832452528642,183.92856486174443,331.7525986610722,147.84231222975586,150.20054168115004,185.43500081944217,137.55218667557978,90.37681048137435
2028,,457.72144211029246,32.90698400143098,187.27871664807301,337.79527920859334,150.53517392192296,152.93635715058986,188.8125914601894,140.05761971829932,92.02297149668182
2029,,465.83857622498687,33.490549414530754,190.59987733666046,343.78566841126064,153.2047324859036,155.6484977841611,192.16095355648827,142.5413715779388,93.65488718284118
2030,,474.3107608744205,34.09964048841779,194.06630849408288,350.038082468963,155.99105987275524,158.47926981751345,195.65577593494996,145.1337649129394,95.35818428623882
2031,,481.8714554035682,34.64320177050083,197.1597995087461,355.6178230808719,158.47761689457272,161.00548985537134,198.77460366717418,147.44725250986616,96.8782301332132
2032,,489.6620073660797,35.20328820125823,200.34733769090477,361.36719689922046,161.03976930154226,163.60851109869733,201.9882488443923,149.8310738994225,98.44448785075502
2033,,497.3926664898865,35.759068754021435,203.510370457898,367.07237021413704,163.58222418494915,166.19152062369812,205.17718789896603,152.19656875310918,99.99870436488813
2034,,505.0671545819621,36.31081100079223,206.65042060321872,372.7360896935951,166.10620557060585,168.75576198059483,208.3429560965721,154.54487590205312,101.5416279292566
2035,,512.706420140229,36.8600209926807,209.77605929580446,378.37381518512143,168.61860298888627,171.3082345945079,211.4941948068648,156.882405351305,103.07747015129216
2036,,520.2565747053293,37.40282452475167,212.86523783838592,383.9457773759849,171.10169363317576,173.83093296272656,214.60867474643044,159.19266783762828,104.59539698280892
2037,,527.7795436311388,37.94367359868522,215.94329325854136,389.4976767518483,173.57584347949884,176.34454791850828,217.71194046150768,161.49461182370385,106.10785825584534
2038,,535.2624465262186,38.48164220403912,219.00495548815348,395.0200076723324,176.0368164318655,178.84477579598956,220.79867872037323,163.78429605443625,107.61226442185675
2039,,542.7096219412674,39.01704225239388,222.05199966409,400.5159719580423,178.4860393504224,181.3330662151318,223.87067919885456,166.06304807760463,109.10948772822022
2040,,549.6341560049167,39.514868027387756,224.88520286044283,405.626230517562,180.7633762713101,183.6467288868589,226.7270872691956,168.18187771805506,110.50163618827304
2041,,557.496967750881,40.08014943334025,228.1023064469398,411.42893155959143,183.3492934357694,186.2738939587956,229.9705400012208,170.58780978965657,112.08242143146971
2042,,564.683213847737,40.59679048089381,231.04259025870869,416.73233180135725,185.71270206493142,188.67500126671143,232.93490571273819,172.786720372467,113.5271859954592
2043,,571.8509079651303,41.11209777032461,233.97528344747985,422.0220408097529,188.07000932938104,191.06990988718132,235.89161863153757,174.97995425795548,114.96822076197749
2044,,579.0047462493613,41.626408921846526,236.90230746191483,427.3015243084802,190.42275969510794,193.46018892193777,238.84261594358244,177.16894841413838,116.40646987149383
2045,,586.1642662302869,42.14112854779202,239.83165616723699,432.5852008603283,192.7773786540913,195.85236635584042,241.79595698650397,179.35968110568754,117.84586126224254
2046,,593.2731977910287,42.65221121863668,242.74030640065536,437.831543505681,195.11536012151282,198.22764091392136,244.7284300301709,181.53493430891822,119.27508206380675
2047,,600.3392478491876,43.16021100808312,245.63141148098975,443.0462398967724,197.439238744157,200.58858767305998,247.64321422013012,183.69706625404487,120.69568171956726
2048,,607.3749835670709,43.66603140758036,248.51011331729723,448.23856451303453,199.75314760339074,202.93940564131256,250.54549357937952,185.849922351567,122.11018680466869
2049,,614.3821950513393,44.169801113330564,251.3771443394952,453.4098384408828,202.0576754284994,205.2806929387723,253.4360065366805,187.99405035401452,123.51895721252882
2050,,621.2648858178788,44.66461864666941,254.19322716904395,458.4892169346468,204.32125094904973,207.58037470236974,256.27515401873427,190.10007641557354,124.90269325362328
2051,,628.3179497670301,45.17168482531669,257.0790189264586,463.6943296665199,206.64085870736858,209.93698247272067,259.18458136789656,192.2582347572163,126.32068210676647
2052,,635.2498258529884,45.670038440582914,259.91522614313715,468.81000658805556,208.92061026847963,212.25309830054394,262.0440180624863,194.3793109740206,127.71430664953579
2053,,642.159848952606,46.16682097832088,262.74249211551233,473.9095561558268,211.19317483156777,214.56191249069784,264.8944402810159,196.49370042247844,129.1035377412798
2054,,649.0495784099827,46.66214454451172,265.5614548559973,478.99412915506474,213.45906523285532,216.86394605964392,267.7364912614317,198.6018802443683,130.48868888157367
2055,,655.920535361047,47.15611849823511,268.37273674396573,484.0648481736326,215.7187817426824,219.15970725752348,270.5707984806011,200.70431589019734,131.87006588840038
2056,,662.7742051316742,47.648849624077315,271.1769455069528,489.1228093718206,217.9728128541989,221.44969236942978,273.3979746435493,202.8014618529989,133.24796738028226
