Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,920.5743920599226,184.86812392921178,51.81469186845992,458.2048325491039,103.5608807892994,127.4874933278681,,,,
2013,952.7443944049426,185.89628374213765,53.62524643280212,474.9971283799733,110.21183139164306,131.71398383077917,,,,
2014,983.9457041822615,186.91135243977533,55.3056422804315,491.6164580255325,116.78572127157821,135.74512336741662,,,,
2015,1010.3033714491154,188.7242884689589,56.21734676966262,504.4142233121941,121.79113834169351,139.15637455660624,,,,
2016,1046.1434236965624,188.94011854661184,58.73652283432018,524.9654473789993,129.92117088826058,143.58016404837065,,,,
2017,1073.437202365021,189.84791110431328,59.90781488853283,540.557178700991,136.24557491449715,146.87872275668664,,,,
2018,1100.1345712944333,190.7565927945962,60.969097532821635,555.7699208287671,142.5877559152797,150.05120422296855,,,,
2019,1126.1966909660434,191.66685314529988,61.92401126644908,570.566063146075,148.94253455862668,153.0972288495928,,,,
2020,1152.2149179446153,192.6317795379951,63.18828057438103,584.6877768674498,155.3618966844798,156.34518428030955,,,,
2021,1176.2917330361702,193.4939095262798,63.52761938923261,598.791459803472,161.66975683923116,158.80898747795476,,,,
2022,1200.8542653120728,194.36788427393645,64.35929146497509,612.5547188587044,168.1981976397239,161.37417307473294,,,,
2023,1224.7318535160566,195.24542764574596,65.09839504557658,625.8483741630511,174.73018115052943,163.8094755111536,,,,
2024,1247.9309190085748,196.1283648442409,65.74854565065762,638.6786925127435,181.2602587673666,166.11505723356623,,,,
2025,1269.170844997852,196.67871260509992,66.71475540628126,652.6364404061967,184.45376986073077,168.68716671954357,,,,
2026,1285.923864239616,197.91334229060976,66.79684155849448,661.6056908964274,189.26736638220677,170.34062311187773,,,,
2027,1306.8945305610441,198.81395368523843,67.20215803493136,672.9793604007365,195.63490651002186,172.26415193011604,,,,
2028,1327.2098331797806,199.7164296293869,67.53411141551608,683.9010313147351,201.99330298488192,174.06495783526074,,,,
2029,1346.8855662927,200.61667168472826,67.79774178614389,694.3804034639586,208.34443682831784,175.7463125295514,,,,
2030,1368.5212576365184,201.00001138346832,68.19471031341598,706.5445480348578,215.32139285068837,177.46059505408795,,,,
2031,1384.38683167664,202.3983438710149,68.13957477052082,714.0548292838405,221.02989913504126,178.76418461622265,,,,
2032,1400.859830385982,203.16874668348333,68.21104857168207,722.2704868698684,227.19223278112688,180.01731547982126,,,,
2033,1416.7638507527329,203.9287188409096,68.23429143785243,730.0906696313106,233.34625285205522,181.16391799060503,,,,
2034,1432.124008719875,204.67630848119214,68.21561920541639,737.5291125500908,239.49503649225295,182.20793199092284,,,,
2035,1446.8958979763736,205.77571681615268,68.025307917824,744.8781486697421,245.08918900430655,183.1275355683483,,,,
2036,1461.3215532915742,206.12724032426823,68.07444502594933,751.3264819609761,251.7880453882405,184.00534059214021,,,,
2037,1475.217290773861,206.82747340309382,67.96049488916753,757.7245975878294,257.9366727576457,184.76805213612454,,,,
2038,1488.685569711305,207.5095070237442,67.82312615557682,763.8179339965857,264.08815332940156,185.44684920599687,,,,
2039,1501.7589823218393,208.17269588826954,67.66623702059196,769.6300438096096,270.24289613501224,186.04710946835593,,,,
2040,1509.3507895850262,208.74324648274137,67.255603470681,772.3502565047731,274.8552518108874,186.1464313159434,,,,
2041,1526.8599130211057,209.43871292087752,67.30844919800487,780.508831633422,282.5702872021892,187.03363206661217,,,,
2042,1537.3080757192517,209.94223122699853,67.06445838911098,784.447757376475,288.5056036200713,187.34802510659594,,,,
2043,1547.5109066254736,210.42257928620356,66.81438648453191,788.2158746650119,294.4526390908557,187.60542709887036,,,,
2044,1557.5046494084281,210.87920881481213,66.55992899052838,791.8383474146281,300.4158732342036,187.8112909542559,,,,
2045,1567.0722173383454,211.74789341851624,66.23395247995964,793.9405311020446,307.1062448548153,188.04359548300954,,,,
2046,1577.1741197594456,212.48144189200033,66.12210378102682,798.9713062297201,313.9814237911915,188.12632424321544,,,,
2047,1586.370091532238,213.06450378512673,65.9229741772104,802.148123315217,320.59224306227526,188.19807369556162,,,,
2048,1595.201099023972,213.6344745629649,65.74009265668586,805.1010188336148,327.2823612006857,188.22521107876992,,,,
2049,1603.684898948961,214.19135422551486,65.57776530180624,807.8442209600278,334.0563770178855,188.2121698898148,,,,
2050,1611.839248021518,214.73514277277658,65.44029819492462,810.3912791599016,340.91888932533755,188.16338362567092,,,,
2051,1619.681902955956,215.2658402047501,65.33199741839414,812.7550621686224,347.8744969345045,188.08328578331276,,,,
2052,1627.2306204665883,215.7834465214354,65.25716905456781,814.9477625733373,354.9277986568493,187.97630985971497,,,,
2053,1634.5031572677274,216.28796172283248,65.22011918579875,816.980906848431,362.08339330383467,187.84688935185218,,,,
2054,1641.5172700736869,216.77938580894136,65.22515389444001,818.865369820965,369.34587968692347,187.69945775669888,,,,
2055,1648.2907155987796,217.25771877976197,65.2765792628447,820.6113926622962,376.71985661757844,187.53844857122965,,,,
2056,1654.8412505573178,217.72296063529438,65.37870137336589,822.2286036151819,384.20992290726247,187.36829529241913,,,,
2057,1661.186631663616,218.1751113755386,65.53582630835663,823.7260407708053,391.8206773674382,187.19343141724184,,,,
2058,1667.344615631986,218.61417100049457,65.75226015017003,825.1121763065969,399.5567188095685,187.01829044267237,,,,
2059,1673.3329591767417,219.0401395101623,66.03230898115916,826.3949416832664,407.42264604511615,186.84730586568537,,,,
2060,1679.1694190121957,219.45301690454187,66.3802788836771,827.5817533781202,415.42305788554404,186.6849111832553,,,,
