"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Hoornweg & Bhada-Tata (2012) What a Waste - A Global Review of Solid Waste Management. World Bank Urban Development Series Knowledge Papers No.15.,https://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/What_a_Waste2012_Final.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,20.0,US$2012/tonne,20600000.0,US$2014/million tonne,0.024951170826983747,Low-Income Countries,
Hoornweg & Bhada-Tata (2012) What a Waste - A Global Review of Solid Waste Management. World Bank Urban Development Series Knowledge Papers No.15.,https://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/What_a_Waste2012_Final.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,50.0,US$2012/tonne,51500000.0,US$2014/million tonne,0.024951170826983747,Low-Income Countries,
Hoornweg & Bhada-Tata (2012) What a Waste - A Global Review of Solid Waste Management. World Bank Urban Development Series Knowledge Papers No.15.,https://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/What_a_Waste2012_Final.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,30.0,US$2012/tonne,30900000.000000004,US$2014/million tonne,0.126719752741946,Lower Middle-Income Countries,
Hoornweg & Bhada-Tata (2012) What a Waste - A Global Review of Solid Waste Management. World Bank Urban Development Series Knowledge Papers No.15.,https://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/What_a_Waste2012_Final.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,75.0,US$2012/tonne,77250000.0,US$2014/million tonne,0.126719752741946,Lower Middle-Income Countries,
Hoornweg & Bhada-Tata (2012) What a Waste - A Global Review of Solid Waste Management. World Bank Urban Development Series Knowledge Papers No.15.,https://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/What_a_Waste2012_Final.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,40.0,US$2012/tonne,41200000.0,US$2014/million tonne,0.0834495932690865,Upper Middle-Income Countries,
Hoornweg & Bhada-Tata (2012) What a Waste - A Global Review of Solid Waste Management. World Bank Urban Development Series Knowledge Papers No.15.,https://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/What_a_Waste2012_Final.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,90.0,US$2012/tonne,92700000.0,US$2014/million tonne,0.0834495932690865,Upper Middle-Income Countries,
Hoornweg & Bhada-Tata (2012) What a Waste - A Global Review of Solid Waste Management. World Bank Urban Development Series Knowledge Papers No.15.,https://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/What_a_Waste2012_Final.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,85.0,US$2012/tonne,87550000.0,US$2014/million tonne,0.264879483161984,High-Income Countries,
Hoornweg & Bhada-Tata (2012) What a Waste - A Global Review of Solid Waste Management. World Bank Urban Development Series Knowledge Papers No.15.,https://siteresources.worldbank.org/INTURBANDEVELOPMENT/Resources/336387-1334852610766/What_a_Waste2012_Final.pdf,World,,2 - Public Sector/ Multilateral Agency,2012,,250.0,US$2012/tonne,257500000.0,US$2014/million tonne,0.264879483161984,High-Income Countries,
Adhikari et al. Urban food waste generation: challenges and opportunities,10.1504/IJEWM.2009.024696,USA,,1  - Peer Reviewed,,,16.0,$/ton,21920000.0,US$2014/million tonne,,,
"Bogner, Waste Management Ch. 10",http://www.seas.columbia.edu/earth/RRC/documents/Waste%20Management%20Report.pdf,World,,,,,9.0,$/ton,9000000.0,US$2014/million tonne,,,
"Bogner, Waste Management Ch. 10",http://www.seas.columbia.edu/earth/RRC/documents/Waste%20Management%20Report.pdf,World,,,,,380.0,$/ton,380000000.0,US$2014/million tonne,,,
