Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,5.043,4.745,,,,,0.001017334669098022,0.001017334669098022,3.784,0.959
2013,6.223,5.796,,,,,0.0010192722338189881,0.0010192722338189881,4.779,1.014
2014,9.005,8.159,,,,,0.010034163421525372,0.010034163421525372,5.467,2.688
2015,9.132331954576916,8.156826463031472,,,,,0.013180802351935273,0.013180802351935273,5.765493858868375,2.8755624129763957
2016,9.47057342396487,8.24842979856357,,,,,0.19895813084062536,0.19895813084062536,6.063987717736751,3.0631248259527917
2017,10.376287389228521,8.50075637559335,,,,,0.3610929373329604,0.3610929373329604,6.144449968929098,3.2506872389291877
2018,12.134531357198766,8.99443367549166,,,,,0.5373088351042541,0.5373088351042541,6.13215063823546,3.4382496519055836
2019,15.031282604796475,9.810000544655237,,,,,0.7652215279584655,0.7652215279584655,6.079357896507186,3.6258120648819796
2020,19.35340376054164,11.027813740096724,,,,,0.46015312196689073,0.46015312196689073,6.038297633064109,3.8133744778583756
2021,24.454168566833715,14.39093702229378,,,,,0.7242323388626751,0.7242323388626751,6.061272803385763,4.4579646548601435
2022,31.245782334457296,16.400376331805976,,,,,2.0378409941756943,2.0378409941756943,6.200577473964662,5.102554831861911
2023,39.97285221300363,18.685223858258237,,,,,3.657241247806147,3.657241247806147,6.508312357129222,6.343870681600463
2024,50.88098170951743,21.27197205836451,,,,,5.582406028684019,5.582406028684019,7.036480717365091,7.71546702248004
2025,64.21677437960696,24.18715658109777,,,,,8.242449732499866,7.891695534355373,7.99894538995344,9.20792643693026
2026,80.22763898317774,27.45735912905002,,,,,10.350077834214833,10.350077834214833,8.96141006254179,10.81183150738074
2027,99.16188719065194,31.10905851265722,,,,,13.19261503265806,13.19261503265806,10.461405482363999,12.517764816261096
2028,121.26925205492138,35.16854226187373,,,,,16.341059460041805,16.341059460041805,12.388516247934662,14.316308946000941
2029,146.80090880178201,39.66183734210933,,,,,19.795606894305028,19.795606894305028,14.794336163238283,16.198046479029898
2030,172.8404903351555,45.7132645572508,,,,,23.87944054641062,23.709900594853313,17.253798481351733,18.218104221471098
2031,180.00225513335374,50.053928803011495,,,,,27.939202747262215,27.624194295401598,19.713260799465182,20.19208746896509
2032,213.3196727837218,56.00521594180446,,,,,31.998964948113812,31.998964948113812,22.310365809285287,22.28000096308522
2033,252.01329823935248,62.49457655135291,,,,,36.68157764966496,36.68157764966496,25.162177303546407,24.411780805643787
2034,296.5427307485425,69.54755172147513,,,,,41.67303666057033,41.67303666057033,28.277923688401774,26.5777790888811
2035,347.37031919987686,77.18958901807164,,,,,46.97450434153279,46.97450434153279,31.666762970190568,28.768399460827556
2036,404.9612450084393,85.44613341238392,,,,,52.58716751446409,52.58716751446409,35.3379447835325,30.973988718177043
2037,469.7837313165274,94.34280868690374,,,,,58.51217091619703,58.51217091619703,39.3007990200386,33.18486808196692
2038,542.3092313320692,103.90541057544847,,,,,64.75071400472784,64.75071400472784,43.56452418987416,35.391480502041745
2039,623.0125115349888,114.15999991899349,,,,,71.30394630886022,71.30394630886022,48.13829099879368,37.58432570076808
2040,692.1424433426018,120.83825443766179,,,,,78.19667309587206,78.03415026138988,52.90545404718719,39.67542623073057
2041,751.1232370586531,129.88733094564833,,,,,85.35918187088166,85.35918187088166,58.25243004005457,41.89117218067393
2042,828.0174117762599,139.20289234368082,,,,,92.86365330122605,92.86365330122605,63.8109408304039,43.986681657604436
2043,909.3729435825815,148.7761835672285,,,,,100.68790066851784,100.68790066851784,69.71537625882681,46.03139887185353
2044,995.2838758086839,158.59844955176072,,,,,108.8334686821932,108.8334686821932,75.97407857480387,48.01630219179099
2045,1085.8442517856338,168.6609352327468,,,,,117.30169525577865,117.30169525577865,82.59542413839753,49.93247395505667
2046,1181.1481148444975,178.95488554565588,,,,,126.0937278383038,126.0937278383038,89.58760912022862,51.770942037214894
2047,1281.2895083163419,189.4715454259574,,,,,135.2099816867133,135.2099816867133,96.95948200802847,53.52294630299286
2048,1386.3624755322323,200.20215980912064,,,,,144.64984615466238,144.64984615466238,104.72108121161259,55.18012745031272
2049,1496.461059823236,211.13797363061485,,,,,154.4116620801859,154.4116620801859,112.88353782981974,56.734350996749406
2050,1611.679304520419,222.27023182590932,,,,,163.25000152917792,163.25000152917792,120.73929914598033,57.91559214671005
2051,1765.2121718333035,237.3363062032613,,,,,174.89399440009586,174.89399440009586,130.45462418398267,59.500621332753724
2052,1887.0319648233813,248.38194279985302,,,,,185.61202560480655,185.61202560480655,139.88281068195462,60.695273432411405
2053,2013.5163870358658,259.51730726184064,,,,,196.64286090898307,196.64286090898307,149.75138682281764,61.752596522439994
2054,2144.7151891721833,270.72828225646975,,,,,207.98008890138877,207.98008890138877,160.0683890370697,62.66375327636356
2055,2280.6787763991897,282.0007032508152,,,,,219.61747977993716,219.61747977993716,170.84182030534396,63.419816325033736
2056,2421.460371918488,293.32145528830864,,,,,231.54982464502064,231.54982464502064,182.0805711732487,64.01193391633436
2057,2567.1171498454387,304.6773708839369,,,,,243.77408369665298,243.77408369665298,193.79385436479066,64.4310353486206
2058,2717.708009907763,316.0536982254441,,,,,256.28878719919584,256.28878719919584,205.98988545990207,64.66764265043435
2059,2873.2949232048195,327.43500104800614,,,,,269.09456039071586,269.09456039071586,218.67653016881607,64.71207592478623
2060,3033.9400459485587,338.8059610545577,,,,,282.1921178473158,282.1921178473158,231.86161547251237,64.55476079800536
