Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,5.043,4.745,,0.012,0.285,,0.001017334669098022,0.001017334669098022,3.784,0.959
2013,6.223,5.796,,0.091,0.335,,0.0010192722338189881,0.0010192722338189881,4.779,1.014
2014,9.005,8.159,,0.334,0.511,,0.010034163421525372,0.010034163421525372,5.467,2.688
2015,10.259174547906676,8.749485834295806,,0.6876838286213032,1.8010865944295207,,0.01511557087737529,0.01511557087737529,5.598176543782019,3.7131544355754547
2016,10.354479019169279,9.751940326720403,,1.0947803223701573,2.9027663430666064,,0.05066637451291913,0.05066637451291913,5.729353087564039,4.432146042717495
2017,10.455970277468449,10.645274403514087,,1.5007496408139303,4.979726581074239,,0.14730462898037483,0.14730462898037483,6.090334280210584,5.080216957839407
2018,10.966708546424893,11.495692421242673,,1.8500777431733422,8.18521630088132,,0.3358060125978231,0.3358060125978231,6.451315472857129,5.687126299559115
2019,12.29112568025684,12.369497131136177,,2.0869982880777327,12.674102621820493,,0.6470487218818571,0.6470487218818571,6.812296665503673,6.282413257828165
2020,25.845971164030964,11.86673065010408,,2.155581251880724,19.46564536109511,,1.1119340394121102,1.1119340394121102,7.173277858150218,6.895499925215442
2021,19.005404884689344,14.451751724546533,,3.9507146364223558,26.130925457135344,0.10076358104045151,1.683825073891342,1.683825073891342,7.534259050796763,8.491928406007284
2022,25.21063455455291,15.791792885593635,,5.738615899920264,35.417126449389265,0.2349774990535524,2.4548514758068447,2.4548514758068447,7.8952402434433075,9.39079743153322
2023,33.860310929874544,17.41882739860681,,8.174162261981401,46.62272312615135,0.40746253928579795,3.4283455003977057,3.4283455003977057,8.256221436089852,10.296654493685605
2024,45.3655205673538,19.39867755384695,,11.363129843470363,59.90917158573139,0.6230510327423815,4.627707830109161,4.627707830109161,8.617202628736397,11.209316929012122
2025,60.1388896293304,21.797128563052095,,15.411535554746342,75.43872939334004,0.8865875984535991,6.076437248248585,6.076437248248585,8.978183821382942,12.128572261972543
2026,78.59444724120274,24.679962890391973,,20.425473807800703,93.37528956792964,1.2029289511279027,7.797977195035049,7.797977195035049,9.339165014029486,13.054317874487916
2027,101.14772132360807,28.11285603472318,,26.511105787518225,113.88481622774937,1.5769461354798417,9.815728438563818,9.815728438563818,9.700146206676031,13.986472177701888
2028,128.21629580896365,32.16131407106074,,33.77501161318071,137.13458469701152,2.013529465339834,12.15336183717239,12.15336183717239,10.061127399322576,14.924798597932462
2029,160.21992644140823,36.8906047950455,,42.324208652580324,163.29382265212794,2.517591617222263,14.834827470908161,14.834827470908161,10.42210859196912,15.869000398669902
2030,183.76585970613286,44.119809157937446,,52.28100244264047,194.15935027117735,2.5527182270949345,17.883871879421307,17.883871879421307,10.761054295984561,20.628160699970557
2031,240.72269290639917,48.65261852337714,,84.19804383648966,225.02487789022678,2.5878448369676055,31.919297859021345,31.919297859021345,11.1,23.15135135264375
2032,290.0727352098024,55.81618945589569,,105.65739047941166,260.94115446448325,3.6177358428582296,40.80324092936839,40.80324092936839,11.5,26.240209502950847
2033,346.0600921309652,63.92159355242678,,130.43731057105455,300.45809882223017,4.904486185732122,51.188813820106,51.188813820106,12.061893578741554,29.71990876510084
2034,409.11681806376015,73.03345779443605,,158.77391723377073,343.75411722286924,6.4737294593543435,63.19323171286134,63.19323171286134,14.297973896058682,33.61839531624994
2035,479.6778409113082,83.21622136722766,,190.9044463404435,391.00913734424586,8.351191909503553,76.93507770817749,76.93507770817749,16.969372273636257,37.963488305889584
2036,558.1810088756739,94.53422326764237,,227.06740063504128,442.40427483874157,10.562702243675663,92.5345105880705,92.5345105880705,20.111197917860924,42.78273689717293
2037,645.0673129913789,107.05191105460952,,267.5028563573486,498.12040867570204,13.134206060082384,110.11294218067124,110.11294218067124,23.75854021507026,48.10343540141319
2038,740.7810805714904,120.83386360102273,,312.45261339305125,558.337716003695,16.091771768789567,129.79258441039372,129.79258441039372,27.946348550242345,53.95281895471374
2039,845.7700232807075,135.9449321830478,,362.16038792080826,623.2352534810353,19.461605666956537,151.69621400898316,151.69621400898316,32.709480971987894,60.35798328769063
2040,969.2969112762427,151.35185254364657,,427.89871349999584,691.3374735830217,23.374966443269894,179.24496280503834,179.24496280503834,38.74858613190157,67.2783004036599
2041,1085.3802238069186,170.41363348766833,,476.8327570423084,767.7930981295129,27.543528070444502,202.67217620360873,202.67217620360873,44.10063037073052,74.9436710570906
2042,1220.9123226722777,189.90023468957838,,542.2918386997724,847.8209189654049,32.30860441346317,231.99698408795956,231.99698408795956,50.79783044991794,83.17817959344755
2043,1367.5400588405512,210.97390351575154,,613.4970108841636,933.2613202864724,37.59205699266941,264.0493775797987,264.0493775797987,58.208384372674715,92.07643277444811
2044,1525.7240308968637,233.69848338390295,,690.6967689854467,1024.3006362821097,43.42087716480084,298.95730405992043,298.95730405992043,66.3660028926252,101.66545443219219
2045,1695.9273306947448,258.1379798745844,,774.1404548007655,1121.1260885298525,49.82218596993903,336.8490082544519,336.8490082544519,75.30424955388894,111.97238393780303
2046,1878.6163660711736,284.3560283638443,,864.0795924935476,1223.9251237778406,56.8231569494097,377.8539762853781,377.8539762853781,85.05635234061506,123.02415971778052
2047,2074.260408504837,312.4174966105321,,960.7668173429595,1332.8859404649254,64.45093309880174,422.1007056460485,422.1007056460485,95.65600066785098,134.84814839619625
2048,2283.330139761807,342.3897813862072,,1064.4536105733694,1448.1984148921606,72.73263139353524,469.71396066796717,469.71396066796717,107.13802490776524,147.4728010404872
2049,2506.2979917081734,374.3426614462085,,1175.3908774801562,1570.053687249922,81.69524035406492,520.8146572200532,520.8146572200532,119.53851302568849,160.92749149890116
2050,2741.4639616887075,408.61229144010935,,1291.266867996294,1695.4387768320814,92.27240962253259,574.8679832485172,574.8679832485172,133.8875637154198,174.5323191321996
2051,2995.8282244579595,444.4689420399583,,1420.024562785829,1834.160657575933,101.77105002163873,633.9586445820066,633.9586445820066,147.23943901807394,190.4446222838467
2052,3263.34660256816,482.7777094663696,,1554.2294924359487,1976.7972926828236,112.93832998789038,696.2463426611431,696.2463426611431,162.61006053247013,206.56456376363266
2053,3546.6642480147725,523.338421918368,,1696.6942504793922,2126.747853074959,124.89329390765069,762.4987876467236,762.4987876467236,179.03969631751846,223.63059938541636
2054,3846.247837385634,566.2152429831417,,1847.6657249583761,2284.207493975704,137.66080529902678,832.8243118195685,832.8243118195685,196.56130159741681,241.67164894659228
2055,4162.566070209284,611.4719873071575,,2007.3919697199854,2449.371916446489,151.26547557317826,907.3306023439966,907.3306023439966,215.20761159902622,260.71652951887654
2056,4496.093767101152,659.1745482054677,,2176.1230958477177,2622.4379890240066,165.73207765137386,986.1228290281437,986.1228290281437,235.0123347706609,280.7946127071827
2057,4847.314430269408,709.3887368289022,,2354.11600389313,2803.6022318901014,181.08599943330128,1069.3142535432498,1069.3142535432498,256.0095501101581,301.93460429496986
2058,5216.7165648860855,762.1765680647147,,2541.635480305531,2993.0597622393766,197.3529885158423,1157.0329578079866,1157.0329578079866,278.23197624033224,324.1633222156016
2059,5604.796541528777,817.5978315217096,,2738.9552096141083,3191.004871469405,214.5594665380281,1249.4218441933247,1249.4218441933247,301.7117208310857,347.50610584681607
2060,6012.053318369109,875.7118300838451,,2946.3512987125687,3397.632910866981,232.7317334621251,1346.6247827943253,1346.6247827943253,326.4806764011439,371.98809290532364
