Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,5.043,,,,,,,,,
2013,6.223,,,,,,,,,
2014,9.005,,,,,,,,,
2015,12.03356794746611,,,,,,,,,
2016,14.268955181103637,,,,,,,,,
2017,16.472389388055912,,,,,,,,,
2018,18.71603568569481,,,,,,,,,
2019,21.072059191392196,,,,,,,,,
2020,23.410344742060012,,,,,,,,,
2021,26.2113665828915,,,,,,,,,
2022,29.354974412198736,,,,,,,,,
2023,32.906823323296024,,,,,,,,,
2024,36.937279856940144,,,,,,,,,
2025,41.38432840800911,,,,,,,,,
2026,46.71594221694853,,,,,,,,,
2027,52.60516839301613,,,,,,,,,
2028,59.2552483877758,,,,,,,,,
2029,66.73708124157979,,,,,,,,,
2030,71.65317250951003,,,,,,,,,
2031,84.48030405510234,,,,,,,,,
2032,94.8841812292112,,,,,,,,,
2033,106.40493764707301,,,,,,,,,
2034,119.1144223906615,,,,,,,,,
2035,132.74077300241476,,,,,,,,,
2036,148.38790543948065,,,,,,,,,
2037,165.09640461959813,,,,,,,,,
2038,183.2829290003535,,,,,,,,,
2039,203.02053135180822,,,,,,,,,
2040,223.23044902097695,,,,,,,,,
2041,247.44206842653537,,,,,,,,,
2042,272.2727431285878,,,,,,,,,
2043,298.9476856799333,,,,,,,,,
2044,327.5399224363979,,,,,,,,,
2045,358.0802107555032,,,,,,,,,
2046,390.76874818681443,,,,,,,,,
2047,425.55210837823336,,,,,,,,,
2048,462.54578435958473,,,,,,,,,
2049,501.82284665502647,,,,,,,,,
2050,543.5329358698057,,,,,,,,,
2051,587.5191171085919,,,,,,,,,
2052,634.0843131244536,,,,,,,,,
2053,683.2226498629835,,,,,,,,,
2054,735.0036770653079,,,,,,,,,
2055,789.4970132612253,,,,,,,,,
2056,846.7733578202781,,,,,,,,,
2057,906.9046840583176,,,,,,,,,
2058,969.9632254361604,,,,,,,,,
2059,1036.0221807506741,,,,,,,,,
2060,1105.1550836392053,,,,,,,,,
