Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,5.043,,,0.012,0.285,,0.001017334669098022,0.001017334669098022,3.784,0.959
2013,6.223,,,0.091,0.335,,0.0010192722338189881,0.0010192722338189881,4.779,1.014
2014,9.005,,,0.334,0.511,,0.010034163421525372,0.010034163421525372,5.467,2.688
2015,18.74852598899797,,,,,,,,,
2016,22.43500003796686,,,,,,,,,
2017,25.003207258139543,,,,,,,,,
2018,26.71862690923176,,,,,,,,,
2019,27.847570993958563,,,,,,,,,
2020,20.189198311128408,,,,,,,,,
2021,29.41630736046655,,,,,,,,,
2022,30.393818126779397,,,,,,,,,
2023,31.86025193849386,,,,,,,,,
2024,34.086937762006,,,,,,,,,
2025,37.34606346574614,,,,,,,,,
2026,41.910586364599425,,,,,,,,,
2027,48.05436940889998,,,,,,,,,
2028,56.05245451244973,,,,,,,,,
2029,66.18106623887815,,,,,,,,,
2030,92.67487601669556,,,,,,,,,
2031,93.94099611698589,,,,,,,,,
2032,112.1311538244806,,,,,,,,,
2033,133.5697780238683,,,,,,,,,
2034,158.54008978977257,,,,,,,,,
2035,187.32699166604309,,,,,,,,,
2036,220.21712422643375,,,,,,,,,
2037,257.4989899788102,,,,,,,,,
2038,299.46306735577747,,,,,,,,,
2039,346.40186712746157,,,,,,,,,
2040,389.1568779126937,,,,,,,,,
2041,456.3836249194416,,,,,,,,,
2042,520.021395736718,,,,,,,,,
2043,589.8230124457366,,,,,,,,,
2044,666.0897383475354,,,,,,,,,
2045,749.1245360354012,,,,,,,,,
2046,839.2324307622498,,,,,,,,,
2047,936.7203223337889,,,,,,,,,
2048,1041.8963259570608,,,,,,,,,
2049,1155.0698992291952,,,,,,,,,
2050,1278.9462490622004,,,,,,,,,
2051,1406.654976410168,,,,,,,,,
2052,1545.693086689844,,,,,,,,,
2053,1693.9767924347896,,,,,,,,,
2054,1851.8149571061626,,,,,,,,,
2055,2019.5176210513648,,,,,,,,,
2056,2197.398018253414,,,,,,,,,
2057,2385.7739202637713,,,,,,,,,
2058,2584.9659315234685,,,,,,,,,
2059,2795.298964028011,,,,,,,,,
2060,3017.0996754876574,,,,,,,,,
